,fucci_time,cell
532,0.465,914
533,0.466,1032
534,0.467,808
535,0.46799999999999997,1029
536,0.469,160
537,0.47,1054
538,0.47100000000000003,1066
539,0.47200000000000003,733
540,0.47200000000000003,135
541,0.473,127
542,0.474,688
543,0.475,838
544,0.47600000000000003,346
545,0.47700000000000004,118
546,0.478,1028
547,0.479,313
548,0.479,904
549,0.48,1069
550,0.48100000000000004,572
551,0.48200000000000004,923
552,0.483,634
553,0.484,1049
554,0.485,463
555,0.486,486
556,0.486,837
557,0.48700000000000004,473
558,0.488,1074
559,0.489,788
560,0.49,146
561,0.491,1019
562,0.49200000000000005,1030
563,0.493,826
564,0.493,1070
565,0.494,651
566,0.495,1010
567,0.496,929
568,0.49700000000000005,556
569,0.498,397
570,0.499,1027
571,0.5,215
572,0.5,1031
573,0.501,588
574,0.502,353
575,0.503,96
576,0.504,1061
577,0.505,1063
578,0.506,196
579,0.506,291
580,0.507,1133
581,0.508,892
582,0.509,30
583,0.51,753
584,0.511,930
585,0.512,490
586,0.513,580
587,0.513,1077
588,0.514,823
589,0.515,1075
590,0.516,721
591,0.517,736
592,0.518,801
593,0.519,858
594,0.52,411
595,0.52,915
596,0.521,1009
597,0.522,1022
598,0.523,217
599,0.524,1016
600,0.525,542
601,0.526,536
602,0.527,1040
603,0.527,875
604,0.528,1068
605,0.529,513
606,0.53,1043
607,0.531,641
608,0.532,1146
609,0.5329999999999999,839
610,0.534,1141
611,0.534,421
612,0.535,796
613,0.536,603
614,0.537,798
615,0.5379999999999999,367
616,0.539,860
617,0.54,278
618,0.541,846
619,0.542,1053
620,0.5429999999999999,1008
621,0.544,1145
622,0.545,1098
623,0.546,1149
624,0.547,1150
625,0.547,1036
626,0.5479999999999999,361
627,0.5489999999999999,284
628,0.55,37
629,0.551,1087
630,0.552,1038
631,0.5529999999999999,516
632,0.5539999999999999,548
633,0.5539999999999999,1134
634,0.555,1130
635,0.556,1091
636,0.557,889
637,0.5579999999999999,1114
638,0.5589999999999999,1120
639,0.56,1080
640,0.561,1148
641,0.561,552
642,0.562,1093
643,0.563,1045
644,0.564,101
645,0.565,159
646,0.5660000000000001,874
647,0.5670000000000001,1095
648,0.568,1131
649,0.568,359
650,0.569,715
651,0.57,795
652,0.5710000000000001,1110
653,0.5720000000000001,1096
654,0.573,193
655,0.574,1151
656,0.575,1101
657,0.575,1144
658,0.5760000000000001,725
659,0.5770000000000001,1116
660,0.578,1104
661,0.579,1136
662,0.58,1084
663,0.581,1121
664,0.5820000000000001,1143
665,0.5820000000000001,928
666,0.583,478
667,0.584,700
668,0.585,509
669,0.586,1034
670,0.5870000000000001,896
671,0.588,128
672,0.589,1113
673,0.589,1107
674,0.59,1044
675,0.591,1086
676,0.5920000000000001,1142
677,0.593,535
678,0.594,1023
