,well_plate,does_vary_cell,does_vary_nuc,does_vary_cyto,does_perc_vary_cell,does_perc_vary_nuc,does_perc_vary_cyto
501,B09_55355986,False,False,False,False,False,False
502,B09_55365987,False,False,False,False,False,False
503,B09_55375988,False,False,False,False,False,False
504,B09_55385989,False,False,False,False,False,False
505,B09_55395990,True,True,True,False,False,False
506,B09_55405991,True,False,True,False,False,False
507,B09_6717,False,False,False,False,False,False
508,B09_6718,False,False,False,False,False,False
509,B09_6719,False,False,False,False,False,False
510,B09_6720,False,True,False,False,False,False
511,B09_6721,False,False,False,False,False,False
512,B09_6722,True,True,False,False,False,False
513,B09_6724,False,True,True,False,False,False
514,B09_6725,False,True,True,False,False,False
515,B09_6731,False,True,False,False,False,False
516,B09_6734,True,True,True,False,False,False
517,B09_6735,False,False,False,False,False,False
518,B09_6736,False,False,False,False,False,False
519,B09_6745,False,False,False,False,False,False
520,B09_75836284,False,False,False,False,False,False
521,B10_55185977,True,True,True,False,False,False
522,B10_55195978,False,False,False,False,False,False
523,B10_55205980,False,False,True,False,False,False
524,B10_55215982,True,True,True,False,False,False
525,B10_55225983,False,False,False,False,False,False
526,B10_55235979,False,False,False,False,False,False
527,B10_55245981,False,False,False,False,False,False
528,B10_55335984,True,False,True,False,False,False
529,B10_55345985,False,False,False,False,False,False
530,B10_55355986,True,False,True,False,False,False
531,B10_55365987,True,False,True,False,False,False
532,B10_55375988,True,False,False,True,True,False
533,B10_55385989,False,False,False,False,False,False
534,B10_55395990,False,False,False,False,False,False
535,B10_55405991,False,False,False,False,False,False
536,B10_6717,False,False,False,False,False,False
537,B10_6720,True,True,True,False,False,False
538,B10_6721,False,False,False,False,False,False
539,B10_6722,True,True,False,True,True,False
540,B10_6725,True,False,False,False,False,False
541,B10_6731,False,False,False,False,False,False
542,B10_6734,True,True,True,False,False,False
543,B10_6735,True,True,True,False,False,False
544,B10_6736,False,False,False,False,False,False
545,B10_6745,False,True,False,False,False,False
546,B10_75836284,True,True,False,False,False,False
