,well_plate,result,var_cell,var_nuc,var_cyto,var_mt,wp_cell_levene_gtvariability_adj,wp_nuc_levene_gtvariability_adj,wp_cyto_levene_gtvariability_adj
23,E10_55395990,NA,0.022503967075185607,0.02464957707031192,0.027522017631585332,0.06561263161292864,9.95553638871263e-16,1.884044867184255e-13,1.7702146781996543e-10
24,B04_55335984,NA,0.0309853505531301,0.02762596135617654,0.0415140870332012,0.09979080989608446,6.176936923175588e-15,5.0092682532686425e-18,1.2656486603345369e-08
25,B02_55335984,NA,0.02244823253403699,0.027867818167826044,0.026535392298466746,0.0668016147100099,9.542041423105736e-15,7.273217486461814e-10,1.1760668256393186e-10
26,D07_55385989,NA,0.1076469730267539,0.18784748352588104,0.07154874085188849,0.03482065165091754,2.0682058673133277e-14,9.23985468523496e-31,3.4939761296646427e-06
27,B01_55335984,NA,0.023666982787897597,0.022843320343057624,0.03173028899905967,0.06419018362573652,2.0682058673133277e-14,1.4472952660630399e-15,2.177906131874412e-07
28,D08_55335984,NA,0.02725210245876918,0.02696097293035512,0.0352898754657964,0.0896883472030091,3.0720263579494196e-14,1.2783602678260145e-14,6.63663570821022e-09
29,H04_55335984,NA,0.020961538671479093,0.026447293711639046,0.02540055879713223,0.051588213915702924,3.0720263579494196e-14,3.415706935286928e-08,6.63663570821022e-09
30,H11_55335984,NA,0.02143457320489074,0.022259996832334566,0.02981803123364635,0.06629586415011597,3.7832119471392384e-14,1.9977697780159735e-13,2.533550492689319e-07
31,G08_55335984,NA,0.02700201137738303,0.027541336462390358,0.03420113379288508,0.0933437631058128,7.42504109529566e-14,1.3713259717103946e-13,3.2027124252633002e-09
32,C04_6724,FN,0.036189643766633056,0.045005852737368846,0.04099268510561621,0.11728815380604818,1.739748025646076e-13,2.4064116074705674e-09,8.350651550501697e-11
33,D08_55355986,NA,0.06157148194035614,0.05702800419828129,0.07081357334574023,0.021964767346997358,2.788895098336713e-13,1.3008837397639928e-11,9.091415467592673e-17
34,D02_55185977,NA,0.0638424369019989,0.09640922167401815,0.06979425013257569,0.36497192540408446,2.944183183414594e-13,2.6923785129467925e-08,6.891162988140671e-12
35,H06_55335984,NA,0.021190681952834023,0.01820423011962169,0.030950672072288826,0.07510365849016126,3.140823215194748e-13,1.9398431362911233e-16,9.303019904834539e-07
36,H01_55335984,NA,0.02267635842008494,0.026521974349940563,0.02673960443534678,0.05636444641569521,3.140823215194748e-13,2.2413223603665118e-09,6.394367183373141e-09
37,C08_55335984,NA,0.026147041406020175,0.022375067644628537,0.034856811897734465,0.0788481061628552,3.664033609984508e-13,5.464367003591e-17,2.1932257277736265e-07
38,G02_55335984,NA,0.019345308344063977,0.02204656140431018,0.025527113556019,0.04665477520393884,4.344233299247176e-13,9.715777933796353e-10,2.5755448357043793e-06
39,C09_55335984,NA,0.022158979841021283,0.020135762276072118,0.030215713897229324,0.07710371414870469,4.763624607144864e-13,4.6057054702614384e-15,1.4489627252610848e-07
40,E10_55335984,NA,0.021850395803444764,0.01903146851466643,0.03744625355340264,0.06936329300045209,1.0810569115055042e-12,9.062647562713485e-16,0.00047904570191545815
41,G10_55335984,NA,0.030426170514030168,0.031241198053043002,0.03768747638252389,0.09299438915467859,1.125543783370453e-12,3.2285756441386425e-12,2.0874037410862815e-08
