,0
1045,IQCC
1046,MSL2
1047,GGA3
1048,PFDN6
1049,CES3
1050,RTKN
1051,IPO5P1
1052,MDGA2
1053,MPHOSPH9
1054,SCRN3
1055,PIGT
1056,CORT
1057,XDH
1058,STK11
1059,MID1
1060,XPA
1061,LRP6
1062,FGFR4
1063,C2orf27A
1064,CPT1B
1065,COX15
1066,LEPR
1067,ZNF619
1068,SLC24A1
1069,KAT6B
1070,IFIT1
1071,UBB
1072,IRX4
1073,DQX1
1074,SCO2
1075,SHKBP1
1076,TMEM183A
1077,TUBA3D
1078,MSL3
1079,NOM1
1080,MTSS1L
1081,CD97
1082,TTC5
1083,PUF60
1084,ZNF845
1085,PCED1B
1086,BOD1
1087,CCDC28B
1088,POLR2F
1089,CEP95
1090,FAM104B
1091,DNAJB6
1092,BRD4
1093,C19orf52
1094,SCRN2
1095,DCAF15
1096,SAMD1
1097,THAP3
1098,TP53I13
1099,OTULIN
1100,CDKN1A
1101,KLC4
1102,ABHD3
1103,POLR3H
1104,PPP4R4
1105,MYEOV2
1106,JOSD2
1107,FAM122A
1108,ZNF675
1109,RHBDL3
1110,NBPF8
1111,PPP2R2D
1112,ALG8
1113,ZFP3
1114,TMEM74
1115,MTIF3
1116,PAOX
1117,ENKUR
1118,C9orf72
1119,PDCD2
1120,MBNL2
1121,SCEL
1122,TANGO2
1123,RIOK1
1124,DYNLT1
1125,C18orf8
1126,CISH
1127,YTHDF2
1128,IDS
1129,RFWD3
1130,ADAR
1131,TSR1
1132,ADARB1
1133,ACHE
1134,GAS7
1135,NLRP3
1136,TYW1
1137,DET1
1138,RPS24
1139,CHORDC1
1140,ADK
1141,ARID4B
1142,RFC5
1143,GTF2H2C_2-1
1144,CD99L2
1145,ZNF296
1146,SLC35G2
1147,PRPF39
1148,SRGAP2C
1149,FLCN
1150,EMBP1
1151,TCN1
1152,EXT2
1153,KDM2B
1154,CTNND1
1155,CTNND2
1156,TULP4
1157,CASP7
1158,RAP2C
1159,GABPB2
1160,SRGAP2B
1161,GTF3C1
1162,RAD51D
1163,GAS2L1
1164,RAD51B
1165,C10orf35
1166,CADM4
1167,ZNF627
1168,FARSB
1169,WDR90
1170,TVP23C
1171,ZBTB49
1172,ZUFSP
1173,RBM45
1174,KDM1B
1175,UPRT
1176,SOCS5
1177,ZNF75A
1178,STARD13
1179,TRMT2A
1180,TUSC3
1181,ATPIF1
1182,NNT
1183,DNAH14
1184,TNFAIP8L1
1185,CDH24
1186,VSTM4
1187,ZFC3H1
1188,NUF2
1189,PRKAB2
1190,MDFIC
1191,SMARCA4
1192,CSGALNACT1
1193,BHLHB9
1194,POMT1
1195,RANGRF
1196,MSRB1
1197,PLGRKT
1198,SFMBT1
1199,ITFG2
1200,BRK1
1201,PRR13
1202,NUSAP1
1203,IQCB1
1204,ATRX
1205,LOC642361
1206,ZNF44
1207,PQLC1
1208,OPA1
1209,GLT1D1
1210,DNHD1
