,well_plate,var_cell_test_p,var_nuc_test_p,var_cyto_test_p,wp_cell_levene_gtvariability_adj,wp_nuc_levene_gtvariability_adj,wp_cyto_levene_gtvariability_adj
1547,E08_6736,0.24439057392336394,0.41144368917988694,0.07532037942711216,0.3907555349135966,0.5865445066462838,0.1729652688515302
1548,E08_6745,0.33860569303021304,0.2708864687065065,0.8221952167467392,0.47866782052078305,0.477250047093582,0.8628423275424985
1549,E08_75836284,0.010456507353143024,0.051131027662847064,0.0007946635954227712,0.043855735616785595,0.18263079784910216,0.004600591236471964
1550,E09_55185977,4.551081828431994e-05,0.14225495497858703,5.084739340247739e-05,0.0005740519156539099,0.34138574214070844,0.0004593859659995449
1551,E09_55195978,0.4321811595381435,0.26740051016057853,1.2399884199534355,0.5622446475107586,0.4738133550732238,1.0
1552,E09_55205980,0.059716802519733776,0.001073150246674912,0.1674779653368864,0.15195900449124325,0.011075080213708281,0.30214767861442354
1553,E09_55215982,0.02529411579833596,0.02376630952711938,0.33300497098797815,0.08307287591126439,0.10845209945818325,0.4854695584866616
1554,E09_55225983,0.18698415963883214,0.0017602048710754431,0.2066653295181155,0.32818953296646564,0.016069562651671265,0.34790662499793656
1555,E09_55245981,0.011594280255742696,0.4684365330134907,0.11231443694752455,0.04678928245400955,0.6271143215088582,0.23108983047280268
1556,E09_55335984,0.0006575614911313946,0.03314632591309701,0.2490096413885952,0.004976501603895859,0.13480538467148956,0.3975485730864133
1557,E09_55345985,0.32461160139819095,7.81187870541028e-06,0.4096010627056405,0.464926435134765,0.0002159830577606063,0.5578864761212453
1558,E09_55365987,1.817088690172711,0.5309175481500146,0.1698837521566974,1.0,0.6629631883309453,0.30451824302488906
1559,E09_55375988,0.5826563553163716,0.005493291979034886,0.2203905491727264,0.6701831470180821,0.03715799315352355,0.36328265397095244
1560,E09_55385989,0.20999853903876145,0.058989952741914986,0.15595482019413806,0.35627432451605334,0.20055047735565107,0.28736629183267076
1561,E09_55395990,0.17118208076630984,0.1970692238653794,0.17076314614649526,0.30974818759206263,0.40047977154094755,0.30451824302488906
1562,E09_55405991,0.8277039870036493,0.21037942685905012,0.6333783874324153,0.8582744678580335,0.412697733680676,0.6891254679544233
1563,E09_6717,0.00042160152833389065,0.02808681616800884,0.18451740728529287,0.0035200215731409504,0.12181840035659648,0.3203290893762631
1564,E09_6718,0.6326315517840275,0.6351834652576789,1.462348362680094,0.6764308647091307,0.6629631883309453,1.0
1565,E09_6719,0.5611082268178589,0.30755612805287774,0.3197978177800973,0.6584014409875716,0.5071600474402703,0.47152698351070566
1566,E09_6720,0.6261623608851429,0.5799158319285265,0.6280089914685925,0.6764308647091307,0.6629631883309453,0.6891254679544233
1567,E09_6721,0.5713299375725529,0.5619367991845521,0.02075015478454024,0.6651061668576157,0.6629631883309453,0.06527548691859587
1568,E09_6722,0.5174892921231335,0.4878063291059896,0.4585946876275583,0.6262496098080361,0.638697845240187,0.6024931100741849
1569,E09_6724,0.015841106912678926,0.32260929378024483,0.0032760781491218936,0.06011792172820447,0.5164517878971302,0.014896099739030487
1570,E09_6725,0.0004969342152244599,0.31362538858529665,0.00761075118290688,0.003990849170799043,0.5102030464773891,0.029527000503075582
1571,E09_6731,0.3419603265986707,0.4228721794072005,0.11152867331160235,0.4821049744865708,0.5942514857008614,0.22983533229407557
1572,E09_6734,0.14957387093701127,0.16895882323397698,0.0012216915758294631,0.2867381622735216,0.3744919248420322,0.00671544569366469
1573,E09_6735,0.604065997069449,0.5220580253645474,0.976754938366261,0.6764308647091307,0.6610540757647105,1.0
1574,E09_6736,0.3172452644689606,1.6951854474317511,0.31528198442026756,0.45814567783653554,1.0,0.46719708361028295
1575,E09_6745,0.26833714570770917,0.25849508890102696,0.6410219368427796,0.41335002209016436,0.4635512892311685,0.6919008999985522
1576,E09_75836284,0.00011870485554310566,0.0439778456571003,0.006285204990856949,0.0013022620916934827,0.16465403930862266,0.025641672236136708
1577,E10_55185977,0.08050207251846979,0.19864494862358487,0.6145590543875059,0.18507429011290186,0.401441146173514,0.6891254679544233
1578,E10_55195978,1.6640433838182467e-05,0.7027427388674323,1.5979411911043757e-05,0.00026819859723144706,0.7235257457345685,0.00018140106304232717
1579,E10_55205980,0.31458078342599977,0.2874100936969061,0.13412586430833712,0.4558104470173615,0.49047565662916465,0.2606693222030598
1580,E10_55215982,0.5002642781952737,0.009783900576138463,0.15075573913205367,0.6136100023599953,0.05541380564923542,0.2807652216755831
1581,E10_55225983,0.0792254826000395,0.2762698023860513,0.08390493494242508,0.1837102442883687,0.48213548961094665,0.18740443553008715
1582,E10_55235979,0.060894793723029556,0.0018588775467944963,0.013252755279369852,0.1533233427298266,0.01673630784372562,0.04583171395289362
1583,E10_55245981,0.007875085023860444,0.056923095802427555,0.045011496639638285,0.035692845041354324,0.19633580335553283,0.11895244709118984
1584,E10_55335984,0.002902718507402046,3.658766917331244e-07,0.21673124115065795,0.016693828244111766,1.51635562240506e-05,0.35860917024357913
1585,E10_55345985,1.711702626092785,0.0042968034982481815,0.5736273781112494,1.0,0.030991585452834258,0.6789397480727435
1586,E10_55355986,0.6366608352249443,1.041836487656735,0.636017401829321,0.6764308647091307,1.0,0.6891254679544233
1587,E10_55365987,3.0145316675423613e-09,0.25814866308089024,2.817919019590644e-09,1.6397796216568969e-07,0.46324821945306144,1.015173157834394e-07
1588,E10_55375988,0.019595154886239242,0.0024938579385586075,0.17819820799042502,0.06979938527690403,0.02054089298920039,0.31226545037785214
1589,E10_55385989,0.20919047235922872,0.03643535659376442,0.33771316517963407,0.3551341504095879,0.14327216275048027,0.489683034083547
1590,E10_55395990,0.15225260242097383,0.15225268852110863,0.1522526024157178,0.2891138508517547,0.3534428877329509,0.28253841144807335
1591,E10_55405991,0.02538888945168664,0.003568960578177443,0.08214472509457807,0.0832793848723038,0.02725531717466572,0.18441949890106907
1592,E10_6717,0.14810322483410998,0.15932604305404116,0.006462445491360207,0.28475516939754136,0.3621337422274219,0.026241749887933905
1593,E10_6718,0.5543917773175133,0.44106032999914074,0.5572579926796074,0.6535065149327437,0.6063752522590329,0.6695169406702719
1594,E10_6719,0.44762375698857837,0.488247028900712,0.22148356656311619,0.57432217665709,0.638697845240187,0.3648540014487674
1595,E10_6720,0.0025535426533402276,0.0327785711561403,0.006541834763702267,0.014915659659667414,0.13393560139073915,0.026359152111152192
1596,E10_6721,0.23500808345956578,0.5907586798189559,1.7574773508618588e-05,0.38254744757663733,0.6629631883309453,0.00019610142577351766
1597,E10_6722,0.4025191868074329,0.6311023526679389,0.0024249842623996387,0.5375281886044587,0.6629631883309453,0.01178052858969486
1598,E10_6724,0.3796579985444803,0.41140324742017875,0.41124448247607004,0.5166262881994916,0.5865445066462838,0.5595410858494105
1599,E10_6725,0.03174869401353559,0.5743851728342289,0.04940779190438278,0.09706772841843259,0.6629631883309453,0.12746957315737842
1600,E10_6731,0.0007165442626972565,3.968667266230233e-05,1.2078449468234425,0.005315048494041298,0.0008183992469256033,1.0
1601,E10_6734,0.04337559264169409,0.5763077193703898,0.0881352879329083,0.12190922754301751,0.6629631883309453,0.19427119441926588
1602,E10_6735,0.31172652776801385,0.4896002138696793,0.5921947962372038,0.4524279955543547,0.6394928256196761,0.6884330422864378
1603,E10_6736,0.017087575567516795,0.00024029814257943644,0.12558808368231456,0.06346466544350832,0.0034909601443145815,0.2497414215495227
1604,E10_6745,0.009954255917259574,0.005096836649299234,9.706467101918652e-06,0.04253774500812561,0.03520592722571508,0.00011842797010798878
1605,E10_75836284,0.0005311629141994326,0.040084600141533984,0.011711334618588242,0.004127578479091424,0.15391307495521359,0.04129550658975959
1606,E11_55185977,0.48562992399697846,0.008805990509643393,0.32120594717231793,0.6043754678532463,0.0513224134390154,0.47275576553941495
1607,E11_55195978,5.273782533045277e-08,7.47925082148074e-08,5.241301087658297e-08,1.8862803005179752e-06,3.829083116644355e-06,1.2555079944840197e-06
1608,E11_55205980,0.6355245333953078,0.6355291161407368,0.6355345443795599,0.6764308647091307,0.6629631883309453,0.6891254679544233
1609,E11_55215982,0.5806971432721589,0.2079084480418977,0.5403367794184173,0.6694040799486123,0.4109378938965896,0.6561950377030175
1610,E11_55225983,0.18943374506080635,0.44144121371089784,0.02774899503322064,0.3310652666357198,0.6063752522590329,0.08355914939926554
1611,E11_55335984,0.4711549007219711,0.6264190729147221,0.43029353458485664,0.5928604558000321,0.6629631883309453,0.5788604098791481
1612,E11_55345985,0.23835206109535648,8.562394200664107e-05,0.4939642916964082,0.38601241981828943,0.0014805570369492704,0.6300638815922432
1613,E11_55365987,0.3613264304363172,0.5185246431343785,0.18064795714998996,0.49969454971886873,0.6602139762059905,0.3147976260976736
1614,E11_55375988,0.6556018129902839,0.3679173457384378,0.7412220607656563,0.6924661544165175,0.5549579374483311,0.7857615918226263
1615,E11_55385989,1.7913821155276048,2.2360788693267205e-06,1.888528878348689e-08,1.0,7.582340165989697e-05,5.242928316084144e-07
1616,E11_6718,0.2824973607331445,0.2792528065191828,0.1653294833604316,0.42586640235233275,0.4851158202405763,0.2991512689217512
