protein_name,median_melting_point,transcript_reg,nontranscr_reg
"ALPHA-ENOLASE, LUNG SPECIFIC.",52.12,False,False
ALPK1,50.98,False,False
ALS2,49.48,False,False
ALX1,56.32,False,False
ALYREF,57.4,False,False
AMBP,51.31,False,False
AMBRA1,46.065,False,False
AMD1,51.12,False,False
AMDHD1,52.235,False,False
AMDHD2,51.66,False,False
AMFR,49.59,False,False
AMMECR1,47.61,False,False
AMMECR1L,48.5,False,False
AMN,50.94,False,False
AMN1,50.12,False,False
AMOTL1,48.58,False,False
AMOTL2,48.35,False,False
AMPD2,52.5,False,False
AMPD3,50.96,False,False
AMT,50.26,False,False
AMZ2,48.41,False,False
ANAPC1,48.629999999999995,False,False
ANAPC10,49.52,False,False
ANAPC11,62.81,False,False
ANAPC13,52.06,False,False
ANAPC16,48.53,False,False
ANAPC2,48.79,False,False
ANAPC4,49.49,False,False
ANAPC5,48.66,False,False
ANAPC7,48.7,False,False
ANGEL2,50.485,False,False
ANK1,46.875,False,False
ANK2,51.06,False,False
ANK3,51.89,False,False
ANKFY1,46.88,False,False
ANKHD1,51.02,False,False
ANKHD1-EIF4EBP3,45.01,False,False
ANKIB1,63.16,False,False
ANKLE2,47.19,False,False
ANKMY2,49.55,False,False
ANKRD10,48.335,False,False
ANKRD11,64.12,False,False
ANKRD13A,49.61,False,False
ANKRD13C,55.08,False,False
ANKRD16,45.76,False,False
ANKRD17,47.71,False,False
ANKRD18A,52.66,False,False
ANKRD2,52.150000000000006,False,False
ANKRD26,49.59,False,False
ANKRD27,45.72,False,False
ANKRD28,49.795,False,False
ANKRD36C,53.96,False,False
ANKRD39,47.215,False,False
ANKRD40,45.58,False,False
ANKRD44,55.46,False,False
ANKRD46,52.03,False,False
ANKRD49,52.96,False,False
ANKRD50,49.095,False,False
ANKRD52,47.83,False,False
ANKRD54,50.37,False,True
ANKRD57,48.25,False,False
ANKS1A,47.6,False,False
ANKS3,48.775000000000006,False,False
ANKS4B,55.89,False,False
ANKS6,61.65,False,False
ANKZF1,48.96,False,False
ANLN,47.195,True,False
ANO10,51.16,False,False
ANO6,51.79,False,False
ANP32A,53.5,False,False
ANP32B,53.17,False,False
ANP32D,50.21,False,False
ANP32E,44.43,False,False
ANTXR1,59.935,False,False
ANTXR2,50.35,False,False
ANXA1,49.22,False,False
ANXA11,48.25,False,False
ANXA13,48.16,False,False
ANXA2,52.879999999999995,False,False
ANXA3,50.77,False,False
ANXA4,49.28,False,False
ANXA5,48.39,False,False
ANXA6,49.46,False,False
ANXA7,50.08,False,False
ANXA8,50.035,False,False
ANXA8L2,50.3,False,False
AOX1,47.41,False,False
AP1B1,52.03,False,False
AP1G1,48.27,False,False
AP1G2,47.27,False,False
AP1GBP1,49.25,False,False
AP1M1,48.55,False,False
AP1S1,48.43,False,False
AP1S2,48.15,False,False
AP1S3,50.55500000000001,False,False
AP2A1,51.15,False,False
AP2A2,51.745000000000005,False,False
