,well_plate,ENSG,in_firstbatch,in_secondbatch,is_variable,is_variable_comp,is_dianaccd,is_newccd
926,C10_55385989,ENSG00000138271,True,False,True,True,False,False
927,C10_55395990,ENSG00000131737,True,False,True,True,False,False
928,C10_55405991,ENSG00000168411,True,True,True,True,False,False
929,C10_6717,ENSG00000163608,True,True,True,True,False,False
930,C10_6718,ENSG00000163449,False,True,True,True,False,False
931,C10_6719,ENSG00000173334,False,True,True,True,False,False
932,C10_6720,ENSG00000100401,True,True,True,True,False,False
933,C10_6721,ENSG00000167123,False,True,True,True,False,False
934,C10_6722,ENSG00000109323,False,True,True,True,False,False
935,C10_6724,ENSG00000183828,False,True,True,False,False,False
936,C10_6725,ENSG00000159792,False,True,True,True,False,False
937,C10_6731,ENSG00000105939,False,True,True,True,False,False
938,C10_6734,ENSG00000004700,False,True,True,True,False,False
939,C10_6735,ENSG00000159348,False,True,True,True,False,False
940,C10_6736,ENSG00000147119,False,True,True,True,False,False
941,C10_6745,ENSG00000166483,True,True,True,True,False,True
942,C11_55185977,ENSG00000143079,True,False,True,True,False,True
943,C11_55195978,ENSG00000140105,True,True,True,False,False,False
944,C11_55205980,ENSG00000198959,True,False,True,True,True,False
945,C11_55215982,ENSG00000172731,True,False,True,True,False,False
946,C11_55225983,ENSG00000166582,True,False,True,True,True,True
947,C11_55235979,ENSG00000105220,True,False,True,True,False,False
948,C11_55245981,ENSG00000213390,True,False,True,True,False,False
949,C11_55335984,ENSG00000105698,True,False,True,True,False,False
950,C11_55345985,ENSG00000114315,True,False,True,True,False,False
951,C11_55355986,ENSG00000117000,True,False,True,False,False,False
952,C11_55365987,ENSG00000145391,True,False,True,True,False,False
953,C11_55375988,ENSG00000173889,True,True,True,False,False,False
954,C11_55385989,ENSG00000158402,True,True,True,False,False,False
955,C11_55395990,ENSG00000185869,True,False,True,False,False,False
956,C11_55405991,ENSG00000170004,True,True,True,True,False,False
957,C11_6717,ENSG00000067992,False,True,True,False,False,False
958,C11_6718,ENSG00000135218,False,True,True,True,False,False
959,C11_6719,ENSG00000164347,False,True,True,True,False,True
960,C11_6720,ENSG00000135334,True,True,True,True,False,False
961,C11_6721,ENSG00000108861,False,True,True,True,False,False
962,C11_6724,ENSG00000023228,False,True,True,True,False,False
963,C11_6725,ENSG00000240344,True,True,True,True,False,False
964,C11_6731,ENSG00000181830,False,True,True,True,False,False
965,C11_6734,ENSG00000187240,False,True,True,True,False,False
966,C11_6735,ENSG00000101255,False,True,True,False,False,False
967,C11_6736,ENSG00000083123,False,True,True,True,False,False
968,C11_75836284,ENSG00000163382,True,True,True,True,False,True
969,C12_55185977,ENSG00000120697,True,False,True,True,False,False
970,C12_55195978,ENSG00000180353,True,False,True,False,False,False
971,C12_55205980,ENSG00000117419,True,False,True,False,True,False
972,C12_55215982,ENSG00000161642,True,False,True,True,False,False
973,C12_55225983,ENSG00000213965,True,False,True,True,False,False
974,C12_55235979,ENSG00000117133,True,False,True,True,False,False
975,C12_55245981,ENSG00000196455,True,True,True,True,False,True
976,C12_55335984,ENSG00000101746,True,False,True,False,False,False
977,C12_55345985,ENSG00000155621,True,False,True,True,False,False
978,C12_55365987,ENSG00000175197,True,False,True,False,False,False
979,C12_55385989,ENSG00000119559,True,False,True,True,False,False
980,C12_6717,ENSG00000120314,False,True,True,True,False,False
981,C12_6718,ENSG00000129932,False,True,True,True,False,False
982,C12_6719,ENSG00000184371,False,True,True,True,False,False
983,C12_6720,ENSG00000131931,True,True,True,True,False,False
984,C12_6721,ENSG00000109956,False,True,True,True,False,False
985,C12_6722,ENSG00000068078,False,True,True,True,False,False
986,C12_6724,ENSG00000139180,False,True,True,True,False,False
987,C12_6725,ENSG00000130714,False,True,True,False,False,False
988,C12_6731,ENSG00000120156,False,True,True,True,False,False
989,C12_6734,ENSG00000154305,False,True,True,True,False,False
990,C12_6735,ENSG00000112855,False,True,True,True,False,False
991,C12_6736,ENSG00000007402,False,True,False,False,False,False
992,D01_55195978,ENSG00000023171,True,False,True,True,False,False
993,D01_55205980,ENSG00000117280,True,False,True,True,True,False
994,D01_55215982,ENSG00000118492,True,False,True,True,False,False
995,D01_55225983,ENSG00000178922,True,False,True,False,False,False
996,D01_55235979,ENSG00000239857,True,False,True,True,True,True
997,D01_55245981,ENSG00000133119,True,False,True,True,False,False
998,D01_55335984,ENSG00000006634,True,False,True,False,True,False
999,D01_55345985,ENSG00000233927,True,True,True,False,False,False
1000,D01_55355986,ENSG00000137434,True,False,True,True,False,False
1001,D01_55365987,ENSG00000215183,True,False,True,True,False,False
1002,D01_55375988,ENSG00000275718,True,False,True,True,False,False
1003,D01_55385989,ENSG00000171163,True,False,True,False,False,False
1004,D01_55395990,ENSG00000203727,True,False,True,False,False,False
1005,D01_55405991,ENSG00000148773,True,False,True,True,True,True
1006,D01_6717,ENSG00000116747,False,True,True,True,False,False
1007,D01_6718,ENSG00000160789,False,True,True,False,False,False
1008,D01_6719,ENSG00000166226,False,True,True,True,False,False
1009,D01_6720,ENSG00000197142,False,True,True,True,False,True
1010,D01_6721,ENSG00000197299,False,True,True,True,False,False
1011,D01_6722,ENSG00000004961,False,True,True,True,False,False
1012,D01_6724,ENSG00000132382,False,True,True,True,False,False
1013,D01_6725,ENSG00000139410,False,True,True,True,False,False
1014,D01_6731,ENSG00000111700,False,True,True,True,False,False
1015,D01_6734,ENSG00000025708,False,True,True,True,False,False
1016,D01_6735,ENSG00000117479,False,True,True,True,False,False
1017,D01_6736,ENSG00000104312,False,True,True,True,False,False
1018,D01_6745,ENSG00000188266,False,True,True,True,False,False
1019,D01_75836284,ENSG00000133466,True,False,True,True,False,False
1020,D02_55185977,ENSG00000100823,True,True,True,False,False,False
1021,D02_55195978,ENSG00000138160,True,False,True,True,True,True
1022,D02_55205980,ENSG00000111846,True,True,True,True,False,False
1023,D02_55215982,ENSG00000109814,True,False,True,True,True,False
1024,D02_55225983,ENSG00000060069,True,True,True,True,False,False
1025,D02_55235979,ENSG00000116128,True,False,True,True,False,False
1026,D02_55335984,ENSG00000109736,True,False,True,False,False,False
1027,D02_55345985,ENSG00000232112,True,False,True,True,True,False
1028,D02_55355986,ENSG00000157045,True,True,True,True,False,False
1029,D02_55365987,ENSG00000123268,True,True,True,True,False,False
1030,D02_55375988,ENSG00000107864,True,False,True,True,False,False
1031,D02_55385989,ENSG00000083817,True,False,True,True,False,False
1032,D02_55395990,ENSG00000171462,True,False,True,True,False,False
1033,D02_55405991,ENSG00000171953,True,False,True,True,False,False
1034,D02_6717,ENSG00000114423,True,True,True,True,False,False
1035,D02_6718,ENSG00000161036,False,True,True,True,False,False
1036,D02_6719,ENSG00000167333,False,True,True,True,False,False
1037,D02_6720,ENSG00000067369,True,True,True,True,False,False
1038,D02_6721,ENSG00000086232,False,True,True,True,False,False
1039,D02_6722,ENSG00000079150,False,True,True,True,False,False
1040,D02_6724,ENSG00000185624,False,True,True,True,False,False
1041,D02_6725,ENSG00000132334,False,True,True,True,False,False
1042,D02_6731,ENSG00000165238,False,True,True,True,False,False
1043,D02_6734,ENSG00000100714,False,True,True,True,False,False
1044,D02_6735,ENSG00000113456,False,True,True,True,False,False
1045,D02_6736,ENSG00000157350,False,True,True,True,False,False
1046,D02_6745,ENSG00000102978,False,True,True,True,False,True
1047,D02_75846286,ENSG00000117758,True,False,True,True,False,False
1048,D03_55185977,ENSG00000125351,True,False,True,True,False,False
1049,D03_55195978,ENSG00000081087,True,False,True,True,False,False
1050,D03_55205980,ENSG00000080189,True,True,True,False,False,False
1051,D03_55215982,ENSG00000080345,True,True,True,True,False,False
1052,D03_55225983,ENSG00000122515,True,False,True,True,False,False
1053,D03_55235979,ENSG00000145386,True,False,True,True,True,True
1054,D03_55245981,ENSG00000089123,True,False,True,True,False,False
1055,D03_55345985,ENSG00000204950,True,False,True,True,True,False
1056,D03_55365987,ENSG00000118495,True,False,True,True,True,False
1057,D03_55375988,ENSG00000100983,True,True,True,True,False,False
1058,D03_55385989,ENSG00000175309,True,False,True,True,True,True
1059,D03_55395990,ENSG00000111530,True,False,True,True,False,False
1060,D03_55405991,ENSG00000134077,True,False,True,True,False,False
1061,D03_6717,ENSG00000108465,False,True,True,True,False,False
1062,D03_6718,ENSG00000160752,True,True,True,False,False,False
1063,D03_6719,ENSG00000185811,True,True,True,True,False,False
1064,D03_6720,ENSG00000162688,False,True,True,True,False,False
1065,D03_6721,ENSG00000116791,False,True,True,True,False,False
1066,D03_6722,ENSG00000127080,False,True,True,True,False,False
1067,D03_6724,ENSG00000164951,False,True,True,True,False,False
1068,D03_6725,ENSG00000099381,False,True,True,False,False,False
1069,D03_6731,ENSG00000176170,False,True,True,True,False,False
1070,D03_6734,ENSG00000106415,False,True,True,True,False,False
1071,D03_6735,ENSG00000156515,False,True,True,True,False,False
1072,D03_6736,ENSG00000164543,False,True,True,True,False,False
1073,D03_6745,ENSG00000169592,False,True,True,True,False,False
1074,D03_75836284,ENSG00000099194,True,False,True,True,False,False
1075,D03_75846286,ENSG00000139116,True,False,True,True,False,False
1076,D04_55185977,ENSG00000156011,True,False,True,False,True,False
1077,D04_55195978,ENSG00000182795,True,False,True,False,False,False
1078,D04_55205980,ENSG00000118518,True,False,True,True,False,False
1079,D04_55215982,ENSG00000162526,True,True,True,False,False,False
1080,D04_55225983,ENSG00000102921,True,False,True,True,False,False
1081,D04_55235979,ENSG00000142556,True,False,True,True,False,False
1082,D04_55245981,ENSG00000100612,True,False,True,False,False,False
1083,D04_55335984,ENSG00000105063,True,False,True,True,True,False
1084,D04_55345985,ENSG00000162512,True,False,True,True,False,False
1085,D04_55355986,ENSG00000152242,True,False,True,True,False,False
1086,D04_55365987,ENSG00000171405,True,False,True,True,False,False
1087,D04_55375988,ENSG00000143512,True,False,True,False,False,False
1088,D04_55385989,ENSG00000077420,True,False,True,True,False,False
1089,D04_55395990,ENSG00000164535,True,True,True,True,False,False
1090,D04_55405991,ENSG00000135972,True,False,True,True,False,False
1091,D04_6717,ENSG00000111181,False,True,True,True,False,False
1092,D04_6718,ENSG00000162408,False,True,True,True,False,False
1093,D04_6719,ENSG00000214575,False,True,True,True,False,False
1094,D04_6720,ENSG00000011198,False,True,True,True,False,False
1095,D04_6721,ENSG00000117593,False,True,True,True,False,False
1096,D04_6722,ENSG00000070610,False,True,True,True,False,False
1097,D04_6724,ENSG00000185808,False,True,True,True,False,True
1098,D04_6725,ENSG00000106628,False,True,True,True,False,True
1099,D04_6731,ENSG00000078140,False,True,True,True,False,False
1100,D04_6734,ENSG00000165092,False,True,True,True,False,True
1101,D04_6735,ENSG00000071073,True,True,True,True,False,False
1102,D04_6736,ENSG00000178952,False,True,True,True,False,False
1103,D04_6745,ENSG00000117399,True,True,True,True,False,True
1104,D04_75836284,ENSG00000132437,True,False,True,False,False,False
1105,D05_55195978,ENSG00000106268,True,False,True,True,False,False
1106,D05_55205980,ENSG00000072682,True,False,True,False,False,False
1107,D05_55215982,ENSG00000179988,True,False,True,False,False,False
1108,D05_55225983,ENSG00000130590,True,False,True,True,False,False
1109,D05_55235979,ENSG00000130713,True,False,True,False,False,False
1110,D05_55245981,ENSG00000025156,True,False,True,True,False,False
1111,D05_55335984,ENSG00000148291,True,False,True,True,False,False
1112,D05_55345985,ENSG00000172175,True,False,True,False,True,False
1113,D05_55355986,ENSG00000196388,True,True,True,False,False,False
1114,D05_55365987,ENSG00000170091,True,False,True,True,False,False
1115,D05_55375988,ENSG00000181090,True,False,True,True,False,False
1116,D05_55385989,ENSG00000051382,True,False,True,True,True,False
1117,D05_55395990,ENSG00000172493,True,False,True,True,False,False
1118,D05_55405991,ENSG00000145425,True,False,True,False,False,False
1119,D05_6717,ENSG00000066336,False,True,True,True,False,False
1120,D05_6718,ENSG00000135316,False,True,True,True,False,False
1121,D05_6719,ENSG00000185112,False,True,True,True,False,False
1122,D05_6720,ENSG00000107937,True,True,True,True,False,False
1123,D05_6721,ENSG00000162174,False,True,True,True,False,False
1124,D05_6722,ENSG00000141401,False,True,True,True,False,False
1125,D05_6724,ENSG00000214357,False,True,True,True,False,True
1126,D05_6725,ENSG00000143224,False,True,True,True,False,True
1127,D05_6731,ENSG00000144744,True,True,True,True,False,False
1128,D05_6734,ENSG00000102226,False,True,True,True,False,False
1129,D05_6735,ENSG00000111261,False,True,True,True,False,False
1130,D05_6736,ENSG00000119705,True,True,True,False,True,False
1131,D05_6745,ENSG00000175198,False,True,True,False,False,False
1132,D05_75846286,ENSG00000041988,True,False,True,True,False,False
1133,D06_55195978,ENSG00000146426,True,False,True,True,False,False
1134,D06_55225983,ENSG00000162066,True,False,True,True,False,False
1135,D06_55235979,ENSG00000067369,True,True,True,True,False,False
1136,D06_55245981,ENSG00000169733,True,False,True,True,False,False
