ccd_prots_withmitotic,knownCCD
ENSG00000166321,False
ENSG00000166582,True
ENSG00000167065,False
ENSG00000167470,False
ENSG00000167548,True
ENSG00000167685,True
ENSG00000167755,True
ENSG00000167771,False
ENSG00000167889,False
ENSG00000167984,True
ENSG00000168159,True
ENSG00000168286,True
ENSG00000168385,True
ENSG00000168497,False
ENSG00000168505,True
ENSG00000168671,False
ENSG00000169217,False
ENSG00000169607,True
ENSG00000169740,False
ENSG00000170322,True
ENSG00000170345,True
ENSG00000171161,False
ENSG00000171241,True
ENSG00000171320,True
ENSG00000171490,True
ENSG00000171608,False
ENSG00000171766,True
ENSG00000171848,True
ENSG00000172059,True
ENSG00000172167,True
ENSG00000172216,True
ENSG00000172349,True
ENSG00000172361,False
ENSG00000172461,False
ENSG00000172578,False
ENSG00000172590,False
ENSG00000172818,True
ENSG00000172985,False
ENSG00000172986,False
ENSG00000173153,True
ENSG00000173599,False
ENSG00000173848,False
ENSG00000174206,False
ENSG00000174444,True
ENSG00000174485,False
ENSG00000174579,True
ENSG00000174788,False
ENSG00000175063,True
ENSG00000175175,False
ENSG00000175182,False
ENSG00000175309,False
ENSG00000175832,True
ENSG00000175946,False
ENSG00000175970,False
ENSG00000176208,True
ENSG00000176476,False
ENSG00000177551,False
ENSG00000177606,True
ENSG00000177853,False
ENSG00000177868,False
ENSG00000177990,False
ENSG00000178691,True
ENSG00000178999,True
ENSG00000179008,True
ENSG00000179029,False
ENSG00000179041,True
ENSG00000179528,False
ENSG00000179532,False
ENSG00000179954,False
ENSG00000180089,False
ENSG00000180376,False
ENSG00000180881,False
ENSG00000181035,False
ENSG00000181163,True
ENSG00000181355,True
ENSG00000181450,False
ENSG00000181513,False
ENSG00000182272,False
ENSG00000182325,True
ENSG00000182481,True
ENSG00000182674,False
ENSG00000182768,False
ENSG00000183248,False
ENSG00000183340,False
ENSG00000183856,True
ENSG00000184277,False
ENSG00000184661,True
ENSG00000184838,False
ENSG00000184867,False
ENSG00000185024,False
ENSG00000185298,False
ENSG00000185324,True
ENSG00000185808,False
ENSG00000186063,False
ENSG00000186185,True
ENSG00000188167,False
ENSG00000188175,True
ENSG00000188368,False
ENSG00000188486,True
ENSG00000188620,False
ENSG00000188739,True
ENSG00000188976,True
ENSG00000189060,True
ENSG00000189120,False
ENSG00000196352,True
ENSG00000196420,False
ENSG00000196505,False
ENSG00000196872,False
ENSG00000197191,False
ENSG00000197498,True
ENSG00000197724,False
ENSG00000197747,False
ENSG00000198000,True
ENSG00000198722,False
ENSG00000198824,True
ENSG00000198901,True
ENSG00000198934,False
ENSG00000198945,False
ENSG00000198959,True
ENSG00000203867,False
ENSG00000204103,False
ENSG00000204315,True
ENSG00000204653,False
ENSG00000204764,False
ENSG00000204843,True
ENSG00000205089,True
ENSG00000205476,False
ENSG00000214274,True
ENSG00000214367,True
ENSG00000216937,False
ENSG00000221932,False
ENSG00000221944,False
ENSG00000225830,True
ENSG00000225921,False
ENSG00000232112,False
ENSG00000235194,False
ENSG00000239857,False
ENSG00000241484,False
ENSG00000243156,True
ENSG00000243660,False
ENSG00000250571,False
ENSG00000254221,False
ENSG00000255112,True
ENSG00000256806,False
ENSG00000258890,False
ENSG00000259120,False
ENSG00000261236,True
ENSG00000262655,False
ENSG00000262919,True
ENSG00000270806,False
ENSG00000273899,True
ENSG00000276045,False
