,well_plate,var_cell_test_p,var_nuc_test_p,var_cyto_test_p,wp_cell_levene_gtvariability_adj,wp_nuc_levene_gtvariability_adj,wp_cyto_levene_gtvariability_adj
712,C02_6731,0.0025305294095604998,1.1104041733836345e-07,0.03030586990470472,0.0029735428840515143,1.6984565299968775e-07,0.03453890280278657
713,C02_6734,5.883539711891093e-44,3.182473812822661e-39,1.2047206155551026e-43,5.90843161067217e-42,1.5108071136872668e-37,1.965953454508983e-41
714,C02_6735,7.578119659569986e-15,2.7281854431478345e-11,1.998699795302224e-20,2.2561539830259102e-14,5.3238357190276495e-11,1.3415437443532409e-19
715,C02_6736,4.3061886656445825e-08,9.797063237192931e-12,1.322357391465209e-06,6.777250515972275e-08,1.98603510188748e-11,2.0050378334005e-06
716,C02_6745,6.35481245656391e-07,6.239153681104325e-11,4.30092201014475e-06,9.218008513382426e-07,1.1813219913969102e-10,6.252621029224912e-06
717,C02_75836284,0.0002894482093399063,0.0011566124447961754,1.5421603111066057e-05,0.0003568221315328118,0.0013677151690954772,2.1765300390807283e-05
718,C03_55185977,6.3543975452692916e-09,2.796816376145244e-08,0.00011628494349334705,1.0752645489758988e-08,4.4554530555919655e-08,0.00015380951745751225
719,C03_55205980,8.970776018689583e-14,3.9211840147943776e-23,1.9337197302444385e-11,2.4097424058434674e-13,2.437669395863838e-22,4.5079841211323476e-11
720,C03_55215982,3.71868437169659e-17,9.203013765529745e-32,0.00011794324236162281,1.4666895611026884e-16,1.8627185226200124e-30,0.00015576621436833442
721,C03_55225983,6.863137645348405e-09,1.0399372287506953e-07,2.2310506000518425e-11,1.1598480512624392e-08,1.5972212378047445e-07,5.1674401436839886e-11
722,C03_55235979,4.2197483100619026e-08,6.4551396335964e-07,4.185566985665397e-09,6.649223197086076e-08,9.332430555548283e-07,7.82844942662776e-09
723,C03_55245981,4.233545115694163e-08,3.530422768710961e-08,1.3712539741887016e-08,6.666939865547322e-08,5.6002028244862207e-08,2.4607176127881097e-08
724,C03_55335984,0.00026598286930075486,7.67437854188188e-05,0.002198412297513845,0.0003285152657257668,9.731812711439334e-05,0.0026735232924120396
725,C03_55345985,4.427894601900035e-27,2.922578057683268e-14,9.770142261350531e-22,6.053001468880101e-26,7.267477436772392e-14,7.569685888541909e-21
726,C03_55355986,4.9653701590369903e-17,4.4619485870181264e-14,1.3045933753012023e-17,1.9350121619769526e-16,1.0918601462703213e-13,5.986455716891809e-17
727,C03_55365987,9.421388489249599e-09,1.5015095314207646e-07,1.8785580672492675e-08,1.5728417740045206e-08,2.2714028890727787e-07,3.325366178703619e-08
728,C03_55375988,4.905248237644189e-10,2.2386382775877943e-07,8.918810323463332e-11,9.05130964557525e-10,3.338140801131771e-07,1.9668085941353682e-10
729,C03_55385989,1.072105858115204,0.07337132381828716,1.7441840550304692,1.0,0.07893387988856522,1.0
730,C03_55395990,3.1008888784498696e-30,2.7073105555467752e-14,6.437179020970164e-24,6.838038661087431e-29,6.777361323617096e-14,6.669632707838532e-23
731,C03_55405991,1.6036560403664937e-35,4.620229433116417e-31,1.1915749448877675e-31,6.753461163543411e-34,8.616727892762118e-30,3.381741501197784e-30
732,C03_6717,3.4006410257355907e-06,1.494451749423875e-11,7.25681828180264e-08,4.67565756619043e-06,2.9831907628025523e-11,1.218492124359273e-07
733,C03_6718,4.947396425525649e-07,6.6465636415392465e-12,1.975471402148046e-09,7.244897401597011e-07,1.3632504059747818e-11,3.826376729234828e-09
734,C03_6719,3.74013337842701e-16,1.3046746953871742e-16,3.3364554728331474e-12,1.2806010546306275e-15,4.079647460665763e-16,8.384490124703896e-12
735,C03_6720,2.829987098956827e-15,7.901171812074661e-20,1.3778575765309427e-10,8.765238808275535e-15,3.455604623337846e-19,2.9658583118897705e-10
736,C03_6721,5.915459860192444e-13,2.4228624329605014e-24,2.4722951701026577e-09,1.444833086525956e-12,1.7237312840490108e-23,4.722138031556722e-09
737,C03_6722,6.618825538197163e-26,3.0318548189450956e-33,2.4826563493136026e-25,8.11349928649427e-25,7.398292460061351e-32,3.0432937690412287e-24
738,C03_6724,3.1687374371574357e-10,2.725633989560189e-10,0.0007690866089238494,5.947932026181212e-10,4.952421953195306e-10,0.0009631103769305375
739,C03_6725,9.348243467499298e-27,3.5649519300772113e-41,1.2116964769189752e-18,1.2389981570375973e-25,2.1646719742864183e-39,6.443461305978502e-18
740,C03_6731,3.9461494186084725e-12,7.054471852959757e-10,4.521035321481437e-12,8.928419525118477e-12,1.244542297843103e-09,1.1178431083700787e-11
741,C03_6734,7.847864210610467e-23,3.281139811074123e-36,9.58285112722875e-21,6.463966389244142e-22,1.0844374742676626e-34,6.654474546062305e-20
742,C03_6735,2.402350513820101e-19,6.434925322780933e-13,9.306595508590107e-36,1.2085813471260663e-18,1.4059907964670304e-12,4.645515564732074e-34
743,C03_6736,3.50388858106711e-14,2.7512341225521168e-17,2.4600116960218777e-09,9.816151378933717e-14,9.341316377091778e-17,4.702116060258508e-09
744,C03_6745,5.007226438827519e-07,1.3696078308469004e-14,0.7399829531207922,7.324295928167312e-07,3.5162694654289647e-14,0.7703730026309363
745,C03_75836284,4.184150513090071e-09,8.691861045446935e-13,0.0007644128529219079,7.177934947226133e-09,1.8893040660609814e-12,0.0009581766485737405
746,C03_75846286,3.3632871831097182e-09,2.597428574256338e-10,1.3278548038989828e-06,5.82609700740661e-09,4.729348680183612e-10,2.012204813105191e-06
747,C04_55185977,0.0005132212694032717,0.005638848212040061,5.632512429911083e-05,0.0006259648535072331,0.00641806132590959,7.635768408358172e-05
748,C04_55195978,0.00013633303026311098,6.587193110426696e-06,0.0005084976242904394,0.0001725475240024153,8.902257355757817e-06,0.0006429478435943523
749,C04_55205980,6.357755052894875e-12,7.102050890619927e-05,1.2510980434579844e-14,1.4127743355837039e-11,9.023579014797386e-05,4.193346587251345e-14
750,C04_55215982,9.485082363787268e-14,4.992933062800973e-09,1.672435388256253e-14,2.540056415574211e-13,8.27192146381557e-09,5.534510518044456e-14
751,C04_55235979,0.00012595007923361563,3.445010134777454e-05,0.00024884517981070954,0.00015994924945475213,4.4529314167841244e-05,0.00032228906968539815
752,C04_55245981,0.10398279908361359,1.34944088294905,0.0002559745608907444,0.11246855360700707,1.0,0.00033119404285715244
753,C04_55335984,1.2720572186022649e-08,2.1228437024903934e-10,0.002853566123516585,2.0954835317164124e-08,3.8951123732975523e-10,0.0034366518212646693
754,C04_55345985,6.151537529532104e-22,1.7131925354851916e-06,2.0768769617291446e-22,4.4492145400577076e-21,2.4023338937442725e-06,1.7721325970832667e-21
755,C04_55355986,5.537993639900361e-16,9.245286694596704e-14,3.3559064509222026e-17,1.856187598688042e-15,2.1885261613410691e-13,1.4652628333374365e-16
756,C04_55365987,1.5925195516663415e-10,2.2110960219940546e-12,1.5544197742806947e-05,3.061906148306935e-10,4.6860160011578545e-12,2.19264723427709e-05
757,C04_55375988,4.643442816607341e-15,4.343121212226236e-18,7.906172673956298e-11,1.418015110428277e-14,1.5971675331158734e-17,1.75386719215802e-10
758,C04_55385989,3.665573940886686e-21,4.320810753414663e-11,5.10327992274344e-21,2.3987001402644453e-20,8.258884975963166e-11,3.660621944583275e-20
759,C04_55395990,3.911597415879547e-18,0.005665316920200552,9.145263548202082e-17,1.710750561618341e-17,0.006445377986337099,3.8205252998969013e-16
760,C04_55405991,2.7174167325475887e-14,4.944401356704548e-12,7.537951857279284e-14,7.670459555331627e-14,1.0254036491148194e-11,2.307337901448559e-13
761,C04_6717,2.7854770399386337e-12,5.320307462295069e-12,2.0412154648304908e-12,6.4475891412054726e-12,1.1007387309074822e-11,5.2560291702883745e-12
762,C04_6718,1.7642624927093688e-20,2.1136034055864012e-16,1.2050740268004226e-26,1.0614030802912816e-19,6.439461484231148e-16,1.710026241291252e-25
763,C04_6719,9.677566342790737e-17,2.760110987162043e-23,1.5351070741930803e-16,3.5841313079470377e-16,1.7534427706764218e-22,6.252986849794279e-16
764,C04_6720,3.550913574327927e-23,1.5093864467975668e-24,5.455496948220986e-26,3.1112199136141673e-22,1.1070247226372042e-23,7.230610422236038e-25
765,C04_6721,1.138284405867567e-20,3.415444694469879e-22,9.386721800865795e-18,7.040632511376475e-20,1.9513623845209747e-21,4.3765590396536766e-17
766,C04_6722,6.471708818275976e-19,1.223169320658797e-32,1.5736818130134468e-16,3.1004828852327657e-18,2.777126170643582e-31,6.400129616476806e-16
767,C04_6724,0.2628986875906356,1.0450159463209867,0.041809017103794074,0.2777937973691419,1.0,0.0473388307276697
768,C04_6725,6.556867066329147e-10,7.080746279163969e-11,5.909961272942776e-09,1.1921991580909057e-09,1.3348612660575542e-10,1.0920671538325258e-08
769,C04_6731,1.5842859078719685e-08,5.23486859980083e-15,6.409147565212031e-08,2.5885923062914328e-08,1.4076459231802232e-14,1.0824245984973229e-07
770,C04_6734,6.0062180106671995e-28,1.6310211024996956e-32,3.9940751736972517e-28,9.621003206044207e-27,3.63982572532197e-31,6.642375973581862e-27
771,C04_6736,5.769587662885827e-23,4.813634496286142e-29,3.2623278597902718e-21,4.843856394789355e-22,6.614947194633219e-28,2.3595396237984487e-20
