cell,phase
I5_357,G1
I6_355,G2M
I6_356,G2M
I6_357,
I7_355,
I7_356,S-ph
I7_357,S-ph
I8_355,G1
I8_356,G2M
I8_357,G1
I9_355,
I9_356,G1
I9_357,G1
J10_355,S-ph
J10_356,G1
J10_357,G1
J11_355,S-ph
J11_356,G2M
J11_357,G1
J12_355,G1
J12_356,G2M
J12_357,G2M
J13_355,G1
J13_356,G2M
J13_357,S-ph
J14_355,G2M
J14_356,S-ph
J14_357,S-ph
J15_355,G1
J15_356,
J15_357,G2M
J16_355,G1
J16_356,S-ph
J16_357,G1
J17_355,S-ph
J17_356,G2M
J17_357,G2M
J18_355,G1
J18_356,G1
J18_357,G2M
J19_355,G1
J19_356,G2M
J19_357,G1
J1_355,
J1_356,G1
J1_357,S-ph
J20_355,G2M
J20_356,G1
J20_357,G2M
J21_355,G1
J21_356,G1
J21_357,G2M
J22_355,S-ph
J22_356,S-ph
J22_357,G2M
J23_355,G2M
J23_356,
J23_357,G2M
J24_355,
J24_356,S-ph
J24_357,S-ph
J2_355,G1
J2_356,G1
J2_357,S-ph
J3_355,G2M
J3_356,S-ph
J3_357,G1
J4_355,S-ph
J4_356,G2M
J4_357,S-ph
J5_355,G2M
J5_356,G1
J5_357,G1
J6_355,G2M
J6_356,G2M
J6_357,G1
J7_355,G2M
J7_356,S-ph
J7_357,G1
J8_355,G2M
J8_356,S-ph
J8_357,S-ph
J9_355,G2M
J9_356,G1
J9_357,G1
K10_355,G1
K10_356,S-ph
K10_357,G1
K11_355,G2M
K11_356,G2M
K11_357,S-ph
K12_355,G1
K12_356,G2M
K12_357,G2M
K13_355,G2M
K13_356,G2M
K13_357,G1
K14_355,G1
K14_356,S-ph
K14_357,G2M
K15_355,G1
K15_356,S-ph
K15_357,G1
K16_355,
K16_356,S-ph
K16_357,G1
K17_355,G2M
K17_356,G2M
K17_357,G1
K18_355,G1
K18_356,G2M
K18_357,G2M
K19_355,
K19_356,S-ph
K19_357,S-ph
K1_355,S-ph
K1_356,G1
K1_357,G2M
K20_355,S-ph
K20_356,S-ph
K20_357,G1
K21_355,G1
K21_356,
K21_357,G1
K22_355,G2M
K22_356,G1
K22_357,G2M
K23_355,G2M
K23_356,G1
K23_357,G2M
K24_355,G1
K24_356,G2M
K24_357,G2M
K2_355,G2M
K2_356,G1
K2_357,G1
K3_355,G1
K3_356,S-ph
K3_357,G2M
K4_355,G1
K4_356,G2M
K4_357,G2M
K5_355,G2M
K5_356,
K5_357,
K6_355,G1
K6_356,
K6_357,
K7_355,G2M
K7_356,S-ph
K7_357,S-ph
K8_355,S-ph
K8_356,G2M
K8_357,S-ph
K9_355,G1
K9_356,G2M
K9_357,G1
L10_355,S-ph
L10_356,S-ph
L10_357,G1
L11_355,S-ph
L11_356,S-ph
L11_357,G1
L12_355,S-ph
L12_356,G1
L12_357,G2M
L13_355,S-ph
L13_356,
L13_357,G2M
L14_355,G2M
L14_356,G2M
L14_357,G2M
L15_355,G1
L15_356,S-ph
L15_357,G2M
L16_355,S-ph
L16_356,G1
L16_357,S-ph
L17_355,G1
L17_356,G2M
L17_357,G2M
L18_355,G2M
L18_356,
L18_357,G1
L19_355,G1
L19_356,G2M
L19_357,G1
L1_355,G1
L1_356,S-ph
L1_357,G1
L20_355,G2M
L20_356,S-ph
L20_357,
L21_355,G2M
L21_356,G2M
L21_357,G2M
L22_355,S-ph
L22_356,S-ph
L22_357,G2M
L23_355,G2M
L23_356,G2M
L23_357,
L24_355,S-ph
L24_356,S-ph
L24_357,S-ph
L2_355,G1
L2_356,G1
L2_357,G2M
L3_355,G1
L3_356,S-ph
L3_357,
L4_355,S-ph
L4_356,G2M
L4_357,G1
L5_355,S-ph
L5_356,
L5_357,G2M
L6_355,G2M
L6_356,G2M
L6_357,G1
L7_355,G1
L7_356,G2M
L7_357,G1
L8_355,S-ph
L8_356,G1
L8_357,S-ph
L9_355,G1
L9_356,G1
L9_357,G2M
M10_355,G1
M10_356,G2M
M10_357,G2M
M11_355,S-ph
M11_356,G1
M11_357,G2M
M12_355,S-ph
M12_356,S-ph
M12_357,
M13_355,S-ph
M13_356,S-ph
M13_357,S-ph
M14_355,S-ph
M14_356,S-ph
M14_357,G1
M15_355,G2M
M15_356,G2M
M15_357,G1
M16_355,G1
M16_356,G2M
M16_357,S-ph
M17_355,G1
M17_356,G1
M17_357,G1
M18_355,G1
M18_356,S-ph
M18_357,G1
M19_355,G2M
M19_356,S-ph
M19_357,G1
M1_355,G1
M1_356,S-ph
M1_357,S-ph
M20_355,S-ph
M20_356,G1
M20_357,S-ph
M21_355,G2M
M21_356,S-ph
M21_357,G2M
M22_355,G1
M22_356,S-ph
M22_357,G1
M23_355,G2M
M23_356,G2M
M23_357,G1
M24_355,G2M
M24_356,S-ph
M24_357,
M2_355,G1
M2_356,G2M
M2_357,S-ph
