,well_plate,variability_compartment_p,variability_compartment_adj_p
33,A07_6735,2.1137447263757817e-42,1.9710669573454163e-40
34,E01_6720,3.0749643109562414e-42,2.7685282123816367e-40
35,F03_6722,1.007464923575383e-40,8.22028411079789e-39
36,C03_6725,9.348243467499298e-27,1.2389981570375973e-25
37,H02_6725,2.9094864656839767e-41,2.450538439322859e-39
38,E11_55345985,2.238019648014337e-29,4.393585940575514e-28
39,A01_55185977,1.138804096277524e-13,3.024839771496048e-13
40,F04_6722,1.3295400235256047e-40,1.0519481822501072e-38
41,G08_55375988,3.0588323390661233e-40,2.3490033050887202e-38
42,G08_55355986,5.5929209658917805e-40,4.172319040555268e-38
43,E09_55385989,7.187865128431976e-40,5.213198847315525e-38
44,E06_6725,9.201299669653122e-42,8.0081978124881e-40
45,D03_55395990,1.3420459661191343e-39,9.47049193928935e-38
46,H02_6722,2.3559160844660948e-39,1.5772556144976855e-37
47,F02_6719,3.51495947250684e-39,2.29438979567884e-37
48,A01_6735,4.4923788214030275e-39,2.8608783177276352e-37
49,B10_6722,6.955499259390953e-34,2.454163319766186e-32
50,E06_55235979,1.6029052907809724e-38,9.964727891021711e-37
51,D04_55345985,4.456645703618796e-38,2.6446140754883357e-36
52,B11_55365987,4.843229353847641e-29,9.163530320939268e-28
53,C10_55355986,4.483323914212232e-32,1.2193707020841808e-30
54,G02_55405991,1.8803195097661705e-35,7.792879746030908e-34
55,A07_6731,9.383876714475746e-38,5.2130430003183344e-36
56,H10_55345985,1.2020775234912225e-37,6.538800862157461e-36
57,A04_6731,2.930630119372274e-38,1.779505870158374e-36
58,E01_55405991,2.5309545076648526e-37,1.3486371876557002e-35
59,G01_6735,7.64007886127657e-37,3.989649181358625e-35
60,D11_55395990,9.430829259648305e-37,4.828214744498378e-35
61,F03_6735,1.1029456177145778e-36,5.538059630486081e-35
62,A01_6719,1.5548134463750882e-36,7.659656431104444e-35
63,A01_55245981,3.7131917151103936e-36,1.7953969570654145e-34
64,B04_6725,5.3789919037376e-36,2.4639557650278725e-34
65,B09_6725,6.49016108180612e-36,2.921691480102721e-34
66,C10_55215982,9.834403304427339e-36,4.279604504643297e-34
67,A02_6734,1.5108194356728507e-33,5.057371213515145e-32
68,D10_6722,3.171598002332465e-26,4.0199234874223628e-25
69,H04_6734,1.565931616395533e-35,6.702700738374978e-34
70,C03_55405991,1.6036560403664937e-35,6.753461163543411e-34
71,D02_6722,1.9448964170287085e-35,7.93456960134681e-34
72,E06_6722,2.5908126168311677e-25,3.0064941077983014e-24
73,F07_6725,5.766971825094373e-25,6.3267073257652966e-24
74,B05_6725,2.3441101321784466e-35,9.416110084796807e-34
75,F06_55205980,2.795366803066457e-35,1.1058640489100787e-33
76,D04_6725,1.0562759050445514e-19,5.605561764372609e-19
77,G01_55185977,3.905985711100654e-35,1.4997836311299718e-33
78,B09_6721,5.291052170272559e-35,2.0021648139973406e-33
79,D08_6736,5.383847365137525e-20,2.959415888499806e-19
