well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,perc_var_rng_wilcoxon_p_adj,pass_percvar_rng,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
G10_55185977,ENSG00000170322,0.000450714,0.363045954,TRUE,0.085779161,FALSE,2.55E-164,TRUE,FALSE,TRUE,TRUE,NFRKB
G10_55205980,ENSG00000156802,0.002181911,0.489203205,TRUE,3.24E-20,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,ATAD2
G10_55215982,ENSG00000136010,0.000122746,0.050091691,FALSE,0.584613273,FALSE,6.09E-78,FALSE,FALSE,TRUE,FALSE,ALDH1L2
G10_55225983,ENSG00000159871,0.000115242,0.078993859,FALSE,0.349167983,FALSE,2.09E-163,TRUE,FALSE,TRUE,FALSE,LYPD5
G10_55235979,ENSG00000164989,0.000175114,0.247484277,TRUE,5.41E-06,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,CCDC171
G10_55245981,ENSG00000138376,0.000465116,0.095784971,FALSE,0.005118041,TRUE,3.88E-24,TRUE,FALSE,TRUE,FALSE,BARD1
G10_55335984,ENSG00000196505,0.001471449,0.201092345,TRUE,0.121973566,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,GDAP2
G10_55345985,ENSG00000108424,0.000162903,0.15511661,TRUE,3.33E-06,TRUE,2.55E-164,TRUE,TRUE,FALSE,FALSE,KPNB1
G10_55355986,ENSG00000167207,0.000108159,0.072630528,FALSE,0.058242305,FALSE,6.60E-93,TRUE,FALSE,TRUE,FALSE,NOD2
G10_55365987,ENSG00000183513,1.18E-05,0.085956496,FALSE,0.150385953,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,COA5
G10_55385989,ENSG00000205078,8.66E-05,0.078726529,FALSE,0.023226046,TRUE,0.273761507,FALSE,FALSE,TRUE,FALSE,SYCE1L
G10_55395990,ENSG00000091651,0.033190854,0.726289207,TRUE,1.37E-29,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,ORC6
G10_55405991,ENSG00000142669,8.46E-05,0.173285817,TRUE,5.22E-05,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,SH3BGRL3
G10_6736,ENSG00000073111,8.88E-05,0.315449476,TRUE,2.18E-12,TRUE,2.55E-164,TRUE,TRUE,FALSE,FALSE,MCM2
G11_55195978,ENSG00000198900,0.008822996,0.125831846,FALSE,0.889632333,FALSE,1.86E-83,FALSE,FALSE,TRUE,FALSE,TOP1
G11_55205980,ENSG00000115112,0.000100008,0.226156881,TRUE,0.000412193,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,TFCP2L1
G11_55215982,ENSG00000136155,0.000325935,0.13305545,FALSE,0.156721452,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,SCEL
G11_55225983,ENSG00000105447,0.003481318,0.162921591,TRUE,0.000416262,TRUE,5.15E-154,TRUE,TRUE,FALSE,FALSE,GRWD1
G11_55245981,ENSG00000129116,0.001241017,0.05235612,FALSE,0.715473686,FALSE,0.000195161,TRUE,FALSE,TRUE,FALSE,PALLD
G11_55335984,ENSG00000152443,0.013895423,0.030596258,FALSE,0.340002427,FALSE,1.28E-141,TRUE,FALSE,TRUE,FALSE,ZNF776
G11_55345985,ENSG00000181355,0.000759968,0.200927066,TRUE,0.00035799,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,OFCC1
G11_55355986,ENSG00000152061,0.001004576,0.174236952,TRUE,0.00164244,TRUE,4.48E-164,TRUE,TRUE,FALSE,FALSE,RABGAP1L
G11_55365987,ENSG00000172059,0.000230346,0.1906922,TRUE,0.002883201,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,KLF11
G11_55395990,ENSG00000138650,0.000404698,0.177823951,TRUE,0.587743039,FALSE,4.80E-164,TRUE,FALSE,TRUE,FALSE,PCDH10
G11_6717,ENSG00000052749,7.47E-05,0.075237774,FALSE,0.479152104,FALSE,2.11E-150,TRUE,FALSE,TRUE,FALSE,RRP12
