,well_plate,variability_compartment_p,variability_compartment_adj_p
1780,C11_6720,1.469657971815241e-11,3.837276964409594e-08
1781,H10_6725,3.355015498680824e-06,0.008759945467055632
1782,G06_55245981,1.3570145497057003e-12,3.5431649892815834e-09
1783,C11_55235979,1.3784070652075107e-12,3.5990208472568103e-09
1784,E09_6719,4.365780318058066e-06,0.011399052410449612
1785,E05_55215982,2.7304032328558225e-08,7.129082840986553e-05
1786,G11_6717,1.418546885058198e-12,3.703825916886955e-09
1787,F01_55185977,1.0647366296300082e-06,0.0027800273399639515
1788,A06_55245981,1.492891135177117e-12,3.897938753947453e-09
1789,A12_55185977,1.5297006938498516e-12,3.994048511641962e-09
1790,G11_6725,1.5474827688397582e-12,4.040477509440608e-09
1791,H10_55225983,1.5866569594838863e-12,4.1427613212124275e-09
1792,D02_6717,1.6059864134718825e-12,4.193230525575085e-09
1793,C07_6735,1.1871378436217191e-07,0.00030996169096963083
1794,E06_55205980,1.7832050431793464e-12,4.6559483677412735e-09
1795,F08_55185977,1.9540743049414207e-12,5.102088010202049e-09
1796,F01_55215982,2.1784372996602414e-12,5.68789978941289e-09
1797,C11_6718,2.279599542517653e-12,5.9520344055135926e-09
1798,A02_6718,2.331515161567991e-12,6.087586086854025e-09
1799,G06_55385989,2.511340994118275e-12,6.557111335642817e-09
1800,E06_6735,2.6671409258751677e-16,6.963904957460063e-13
1801,D12_6734,3.3732501175785203e-12,8.807556056997516e-09
1802,B07_75846286,3.466228720963507e-12,9.050323190435718e-09
1803,E10_55385989,4.168546775899459e-13,1.0884075631873486e-09
1804,G04_55195978,4.22926342906684e-12,1.1042606813293519e-08
1805,G02_55345985,0.9541978665011299,2491.41062943445
1806,G02_6719,5.2658964855270175e-12,1.3749255723711043e-08
1807,B10_55205980,5.876650298200609e-12,1.534393392860179e-08
1808,G01_55245981,5.942928616856251e-12,1.551698661861167e-08
1809,B12_55375988,6.525451375685062e-12,1.7037953541913695e-08
1810,A09_55225983,6.673467410427849e-12,1.7424423408627114e-08
1811,C10_55345985,6.684569852919245e-12,1.745341188597215e-08
1812,D08_55235979,0.0007057134123288446,1.8426177195906133
1813,F09_55345985,2.2096626385798205e-19,5.769429149331911e-16
1814,E06_55185977,0.841142566181136,2196.223240298946
1815,A11_6725,7.723679191454361e-12,2.0166526368887337e-08
1816,B04_6719,8.349885856463618e-12,2.1801551971226504e-08
1817,C05_55365987,2.8469493991835444e-09,7.4333848812682345e-06
1818,A09_55185977,1.7237717424068696e-06,0.004500768019424337
1819,E08_55235979,0.00015322687846534508,0.400075379673016
1820,B08_55195978,0.090664949250285,236.72618249249413
1821,E08_55355986,9.374831826414263e-12,2.447768589876764e-08
1822,B05_55185977,9.817203129567029e-12,2.5632717371299514e-08
1823,H09_55195978,9.988856475813785e-12,2.6080904258349793e-08
1824,D06_55335984,9.343031103087273e-10,2.439465421016087e-06
1825,G08_6735,3.8697361233621804e-14,1.0103881018098653e-10
1826,E08_6736,3.7341390589070833e-07,0.0009749837082806394
1827,B02_55365987,1.1826534539024511e-11,3.0879081681393e-08
1828,D03_55185977,1.2795524426052606e-11,3.3409114276423354e-08
1829,B05_55385989,1.3177183744742171e-11,3.440562675752181e-08
1830,B03_6717,1.323925574183955e-11,3.456769674194306e-08
1831,D05_55215982,1.3454683950206721e-11,3.513017979398975e-08
1832,E03_55345985,1.4406997342339665e-11,3.761667006084887e-08
1833,D01_55215982,1.4747364037799573e-11,3.8505367502694686e-08
1834,B06_6724,1.4857688992702404e-11,3.8793425959945975e-08
1835,E03_75846286,1.4638292949622415e-05,0.03822058289146413
1836,A07_55375988,0.26708694463510385,697.3640124422561
1837,E02_6720,1.8096904966744965e-11,4.725101886817111e-08
1838,F02_55245981,1.9343357794492664e-12,5.050550720142035e-09
1839,A05_55185977,1.882142169487068e-11,4.914273204530735e-08
1840,B04_55335984,1.9067232487924957e-11,4.978454402597206e-08
1841,D03_75836284,1.9438639570180025e-11,5.075428791774004e-08
