well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
H08_55365987,ENSG00000131153,11980.79724,0.451608341,TRUE,5.07E-23,TRUE,TRUE,FALSE,FALSE,GINS2
H08_55375988,ENSG00000169217,97084.91489,0.565247446,TRUE,2.24E-18,TRUE,TRUE,FALSE,TRUE,CD2BP2
H08_55385989,ENSG00000169016,13985.32899,0.372582461,TRUE,1.03E-14,TRUE,TRUE,FALSE,FALSE,E2F6
H08_55395990,ENSG00000136169,102174.1162,0.22215774,FALSE,1.68E-08,TRUE,FALSE,TRUE,FALSE,SETDB2
H08_55405991,ENSG00000168958,75054.98057,0.163507746,FALSE,3.17E-07,TRUE,FALSE,TRUE,FALSE,MFF
H08_6717,ENSG00000111640,793852.7713,0.144713142,FALSE,0.676512702,FALSE,FALSE,TRUE,FALSE,GAPDH
H08_6720,ENSG00000041357,20071.75603,0.273808185,TRUE,0.013305836,TRUE,TRUE,FALSE,FALSE,PSMA4
H08_75836284,ENSG00000182481,18396.41137,0.278236931,TRUE,1.54E-08,TRUE,TRUE,FALSE,TRUE,KPNA2
H09_55185977,ENSG00000168496,9407267.613,0.193451834,FALSE,6.23E-05,TRUE,FALSE,TRUE,FALSE,FEN1
H09_55195978,ENSG00000121871,48718.78259,0.22245584,FALSE,1.23E-11,TRUE,FALSE,TRUE,FALSE,SLITRK3
H09_55205980,ENSG00000119711,33029.64317,0.239557804,FALSE,6.43E-09,TRUE,FALSE,TRUE,FALSE,ALDH6A1
H09_55215982,ENSG00000177613,47179.49207,0.311037012,TRUE,5.66E-14,TRUE,TRUE,FALSE,FALSE,CSTF2T
H09_55225983,ENSG00000167216,392949.8465,0.165959518,FALSE,6.89E-06,TRUE,FALSE,TRUE,FALSE,KATNAL2
H09_55235979,ENSG00000171408,9924.516137,0.428454968,TRUE,2.48E-12,TRUE,TRUE,FALSE,FALSE,PDE7B
H09_55245981,ENSG00000124370,100295.7861,0.268106217,TRUE,1.31E-08,TRUE,TRUE,FALSE,TRUE,MCEE
H09_55335984,ENSG00000107021,84734.45185,0.191025547,FALSE,9.50E-05,TRUE,FALSE,TRUE,FALSE,TBC1D13
H09_55345985,ENSG00000083799,3412.248068,0.242194175,FALSE,0.000616459,TRUE,FALSE,TRUE,TRUE,CYLD
H09_55365987,ENSG00000138346,166026.2844,0.197844132,FALSE,7.39E-09,TRUE,FALSE,TRUE,FALSE,DNA2
H09_55385989,ENSG00000168904,163182.0483,0.190761296,FALSE,3.24E-06,TRUE,FALSE,TRUE,FALSE,LRRC28
H09_55395990,ENSG00000143147,30832.79494,0.181685032,FALSE,1.24E-06,TRUE,FALSE,TRUE,FALSE,GPR161
H09_55405991,ENSG00000170989,9105.342555,0.383535182,TRUE,3.85E-17,TRUE,TRUE,FALSE,FALSE,S1PR1
H09_6724,ENSG00000067057,11950.71518,0.335669422,TRUE,1.00E-10,TRUE,TRUE,FALSE,FALSE,PFKP
H09_75836284,ENSG00000037757,11824.27109,0.264240827,TRUE,3.31E-09,TRUE,TRUE,FALSE,FALSE,MRI1
H10_55205980,ENSG00000156261,818224.4864,0.250586068,TRUE,5.08E-07,TRUE,TRUE,FALSE,FALSE,CCT8
H10_55215982,ENSG00000149972,395685.1152,0.135744905,FALSE,0.000242372,TRUE,FALSE,TRUE,FALSE,CNTN5
H10_55235979,ENSG00000146856,36213.15445,0.265945184,TRUE,6.03E-07,TRUE,TRUE,FALSE,FALSE,AGBL3
H10_55245981,ENSG00000160180,31861.96132,0.357766734,TRUE,7.82E-12,TRUE,TRUE,FALSE,FALSE,TFF3
H10_55345985,ENSG00000204264,170485.0738,0.281073635,TRUE,1.78E-11,TRUE,TRUE,FALSE,TRUE,PSMB8
H10_55355986,ENSG00000137185,31541.66721,0.447559297,TRUE,2.03E-10,TRUE,TRUE,FALSE,FALSE,ZSCAN9
H10_55375988,ENSG00000166261,18704.44523,0.254568312,TRUE,1.93E-09,TRUE,TRUE,FALSE,FALSE,ZNF202
H10_55385989,ENSG00000177511,25259.05297,0.250010113,TRUE,5.13E-07,TRUE,TRUE,FALSE,FALSE,ST8SIA3
H10_55395990,ENSG00000198952,5757.596251,0.255462481,TRUE,2.63E-08,TRUE,TRUE,FALSE,FALSE,SMG5
H10_55405991,ENSG00000154118,122912.2538,0.474231031,TRUE,5.81E-24,TRUE,TRUE,FALSE,TRUE,JPH3
H10_6717,ENSG00000121297,319620.7751,0.130614969,FALSE,0.009917142,TRUE,FALSE,TRUE,FALSE,TSHZ3
H10_75836284,ENSG00000164346,959.5116718,0.411035354,TRUE,3.36E-15,TRUE,TRUE,FALSE,FALSE,NSA2
H11_55185977,ENSG00000115604,35008.94405,0.116228963,FALSE,0.407643955,FALSE,FALSE,TRUE,FALSE,IL18R1
H11_55195978,ENSG00000108091,336279.0432,0.140993205,FALSE,0.006415596,TRUE,FALSE,TRUE,FALSE,CCDC6
H11_55205980,ENSG00000119318,96915.04925,0.238032886,FALSE,3.36E-05,TRUE,FALSE,TRUE,FALSE,RAD23B
