,well_plate,result,var_cell,var_nuc,var_cyto,var_mt,wp_cell_levene_gtvariability_adj,wp_nuc_levene_gtvariability_adj,wp_cyto_levene_gtvariability_adj
23,B02_6720,TP,53216.897055751426,4475.769324035409,33781.9029383076,879.168788825344,1.0369101046848995e-39,6.272877161830075e-14,1.6076660024580868e-36
24,F04_6724,TP,83325.73649791516,10770.475283507414,49216.06185588535,2430.4375728199107,1.0369101046848995e-39,3.0901049447871966e-15,2.379247506471767e-33
25,H02_55405991,NA,5762214.700204283,623506.0625254493,3253647.122653887,17323.21159903123,1.111249257893683e-39,8.426869591571315e-21,2.492470376662549e-39
26,A08_55245981,NA,1406260.822666328,288175.6382902659,724577.0962475766,21556.4000179989,1.9193722838056846e-39,1.5586574887060015e-19,7.91884366916943e-30
27,C01_55405991,NA,2227325.7966483966,225826.46429626909,1372167.642073981,17213.678450565723,4.37954120070856e-39,1.7118812434667517e-28,1.261229499003721e-31
28,E02_55225983,NA,355241.77239203855,104295.46721936658,153649.622764005,19470.380496799677,5.8288291610729985e-39,3.326563875027842e-16,4.597004745810416e-17
29,C05_6720,TP,142420.4467030321,38704.68248052507,47833.64637289534,1668.6700119853901,1.1258100437486645e-38,2.9613842235998916e-23,2.536570554959381e-33
30,H05_75846286,NA,278419.53302529285,28189.633584827057,169661.93085826578,15519.761348625256,1.1335888992281985e-38,0.0001764249123518355,7.328064825692343e-30
31,H05_55395990,NA,1191198.2197637884,210339.1396264631,629940.3433139945,30632.875474586723,1.464709408745633e-38,1.0462112900459076e-16,2.3779989933171093e-24
32,F02_75846286,NA,120446.80773319905,32341.27055922844,51661.090615483066,12798.887472097713,3.339662938718701e-38,1.6820927482376015e-06,8.014460657043395e-21
33,B03_55405991,NA,1796559.9437885887,360252.62377119187,965036.5021900182,13786.098921021669,4.299324800753647e-38,4.290890989410096e-31,5.650507436725095e-29
34,H10_55405991,NA,269229.1928027675,122912.25379593382,61651.924916435,10891.648808862261,4.4972197508871134e-38,4.290890989410096e-31,1.652395620713481e-08
35,H06_55245981,NA,450204.55414510355,186563.69565779378,112267.15430700778,23822.21075498592,1.1559787436606298e-37,6.178747862304144e-28,3.059214559712584e-11
36,C02_6724,TP,362499.54442132916,139573.7737965265,90366.09201941096,3803.5524893966835,2.199556362995868e-37,7.327426028953793e-22,1.1970818863270813e-37
37,C09_55405991,NA,215635.1285971348,81296.12655807807,77983.7516561042,13161.82122975896,3.1384407464406794e-37,4.815824468590148e-21,1.6792874469001648e-11
38,B03_55345985,NA,1768410.8586532667,517337.73448728735,838348.3509105186,15367.441377047688,3.727546000841161e-37,3.644535831467826e-50,3.777395235796214e-11
39,B04_55225983,NA,1706891.049229958,270596.737849084,1171020.1369547846,30376.965222951283,7.250334884851885e-37,3.4013388311542098e-18,1.1819217398266332e-26
40,E01_55405991,NA,390067.3943132652,133790.7933860838,139269.92610488832,17503.788356740595,7.868225746080318e-37,5.41588212037783e-25,4.137443204320674e-11
41,D02_6724,TP,130311.89735909848,22391.99308808089,63120.45942730082,4196.65671813205,1.6386625966667578e-36,9.147244396473234e-13,8.83842781547627e-33
42,D07_55395990,NA,499002.4084964101,72982.13706749528,279328.79612697894,15683.59158611694,3.189407925746953e-36,4.561833567782587e-14,3.487256013800184e-27
43,E02_55385989,NA,542058.2835009184,161411.6626646461,211022.83320753885,17446.291606575036,3.4353484114323154e-36,7.179061346736072e-27,2.7171889590810765e-15
44,A01_55405991,NA,3131583.847790687,322980.6010301828,1922367.4365476703,16445.503833445255,5.5314381879498194e-36,1.2764772293559741e-18,4.403656328707072e-32
45,E04_55335984,NA,986238.2892428746,210982.9076068647,581808.636940705,46693.82666580008,4.742040491290291e-35,9.647749030739356e-11,1.6354449352788604e-24
46,D08_55245981,NA,1976477.2386179727,284310.8832188983,1276150.446369315,26957.640073724328,5.195511318261443e-35,7.448451638273075e-27,1.5568587651373362e-23
47,C02_55335984,NA,529188.625503469,188151.9719109887,216025.8803350981,20123.179876152226,8.383069060574222e-35,5.000118296204685e-23,4.269970021840398e-11
48,B06_55385989,NA,2051884.4158374346,214340.8083288263,1427931.045333943,17123.78341319966,8.973776749290861e-35,3.532515923615413e-23,1.8317964155541807e-26
49,E11_55345985,NA,2196306.9251130074,903606.816900397,576358.0045767219,24305.23281297171,9.102078830637019e-35,4.866746088985663e-37,4.497108430528512e-11
50,H04_55345985,NA,618942.3273974225,71882.83916219861,351531.56455596123,26270.04350987686,1.7739266443404525e-34,4.752243807212887e-10,2.0049178018410047e-22
51,F05_55335984,NA,696828.0170639761,218039.20935715665,314563.7793886353,20795.13526181045,3.128002428041268e-34,1.7683813371853075e-13,7.519375801766717e-29
52,A05_55215982,NA,564938.8942787473,129014.14595893331,303954.84543794167,22211.12174855708,8.201834636147203e-34,1.25385428971399e-13,1.4059328629877401e-21
53,C04_55405991,NA,357010.6339612497,73372.31095262979,190399.79976650205,21350.286452902445,9.242479450149524e-34,4.089466882600643e-06,1.0507321472989854e-19
54,F08_55245981,NA,954314.0937917266,160314.41060997665,574980.315576607,21517.77111786586,9.445877029946053e-34,2.4954831659340305e-10,2.7072300894174403e-25
55,E11_55215982,NA,735922.755148656,190504.0967928722,412754.8174004367,23865.78965628985,1.1709451061999155e-33,3.2842827535742227e-15,2.824390683315468e-20
