well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,perc_var_rng_wilcoxon_p_adj,pass_percvar_rng,mean_percvar_diff_from_random,pass_median_diff,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
A08_55395990,ENSG00000177990,0.001307216,0.184420342,TRUE,0.165567856,FALSE,2.26E-162,TRUE,0.089500293,TRUE,TRUE,FALSE,FALSE,DPY19L2
A08_55405991,ENSG00000067365,0.000815076,0.298943086,TRUE,2.44E-10,TRUE,2.20E-162,TRUE,0.202798492,TRUE,TRUE,FALSE,TRUE,METTL22
A08_6720,ENSG00000114346,0.0005201,0.113849075,FALSE,0.107526276,FALSE,2.68E-88,TRUE,0.019841173,FALSE,FALSE,TRUE,FALSE,ECT2
A08_6725,ENSG00000058600,0.003831802,0.176598519,TRUE,0.615235212,FALSE,2.33E-162,TRUE,0.081887159,TRUE,TRUE,FALSE,FALSE,POLR3E
A08_6745,ENSG00000188486,0.002354451,0.175758692,TRUE,0.046603309,TRUE,2.44E-162,TRUE,0.082454246,TRUE,TRUE,FALSE,FALSE,H2AFX
A09_55185977,ENSG00000167380,0.00109728,0.137074601,TRUE,0.184598693,FALSE,1.22E-136,TRUE,0.051571266,TRUE,TRUE,FALSE,TRUE,ZNF226
A09_55195978,ENSG00000135636,4.61E-05,0.113724891,FALSE,0.162106603,FALSE,9.67E-86,TRUE,0.028781,FALSE,FALSE,TRUE,FALSE,DYSF
A09_55205980,ENSG00000018869,2.67E-05,0.10939118,FALSE,0.302357884,FALSE,1.97E-57,TRUE,0.01688506,FALSE,FALSE,TRUE,FALSE,ZNF582
A09_55215982,ENSG00000148737,0.001332504,0.177295702,TRUE,0.004863069,TRUE,2.20E-162,TRUE,0.081630882,TRUE,TRUE,FALSE,TRUE,TCF7L2
A09_55235979,ENSG00000175931,2.27E-05,0.16121866,TRUE,0.732973499,FALSE,1.47E-161,TRUE,0.068745079,TRUE,TRUE,FALSE,FALSE,UBE2O
A09_55335984,ENSG00000104967,0.000257328,0.121350013,FALSE,0.135326209,FALSE,1.67E-114,TRUE,0.028109182,FALSE,FALSE,TRUE,FALSE,NOVA2
A09_55345985,ENSG00000077463,5.91E-05,0.129216727,TRUE,0.094571117,FALSE,8.27E-150,TRUE,0.033142314,FALSE,FALSE,TRUE,FALSE,SIRT6
A09_55365987,ENSG00000164941,0.004203385,0.322788808,TRUE,6.44E-06,TRUE,2.20E-162,TRUE,0.226709675,TRUE,TRUE,FALSE,TRUE,INTS8
A09_55385989,ENSG00000259120,0.004174234,0.378572672,TRUE,4.04E-08,TRUE,2.20E-162,TRUE,0.282863574,TRUE,TRUE,FALSE,TRUE,SMIM6
A09_55395990,ENSG00000105176,0.000357345,0.224760745,TRUE,0.115675245,FALSE,2.20E-162,TRUE,0.130874933,TRUE,TRUE,FALSE,FALSE,URI1
A09_55405991,ENSG00000172262,0.000497959,0.118284185,FALSE,0.094030682,FALSE,9.15E-107,TRUE,0.02283831,FALSE,FALSE,TRUE,FALSE,ZNF131
A09_75836284,ENSG00000103876,1.10E-05,0.200128212,TRUE,1.43E-05,TRUE,2.20E-162,TRUE,0.102722964,TRUE,TRUE,FALSE,TRUE,FAH
A10_55195978,ENSG00000118194,0.003112207,0.167045149,TRUE,0.189484971,FALSE,4.43E-162,TRUE,0.071598019,TRUE,TRUE,FALSE,FALSE,TNNT2
A10_55205980,ENSG00000145990,0.00066642,0.078577193,FALSE,0.252056337,FALSE,1321,FALSE,-0.017101834,FALSE,FALSE,TRUE,FALSE,GFOD1
A10_55215982,ENSG00000139132,0.000465606,0.129902422,TRUE,0.492129009,FALSE,1.51E-154,TRUE,0.033084317,FALSE,FALSE,TRUE,FALSE,FGD4
A10_55235979,ENSG00000156675,0.000215174,0.150183367,TRUE,0.015312237,TRUE,6.31E-161,TRUE,0.054866507,TRUE,TRUE,FALSE,TRUE,RAB11FIP1
A10_55335984,ENSG00000175573,0.006715392,0.147599455,TRUE,0.021050363,TRUE,5.04E-154,TRUE,0.053882121,TRUE,TRUE,FALSE,TRUE,C11orf68
A10_55355986,ENSG00000105393,0.000117885,0.136295343,TRUE,0.008605658,TRUE,2.95E-152,TRUE,0.041109196,FALSE,FALSE,TRUE,FALSE,BABAM1
A10_55375988,ENSG00000137947,0.004103174,0.099324672,FALSE,0.121793813,FALSE,1.28E-13,TRUE,0.005098678,FALSE,FALSE,TRUE,FALSE,GTF2B
A10_55385989,ENSG00000166816,0.000125967,0.130415931,TRUE,0.005725616,TRUE,5.13E-145,TRUE,0.035450659,FALSE,FALSE,TRUE,FALSE,LDHD
A10_55395990,ENSG00000142197,0.000743027,0.209827608,TRUE,0.003826305,TRUE,2.20E-162,TRUE,0.114834162,TRUE,TRUE,FALSE,TRUE,DOP1B
A10_55405991,ENSG00000167964,0.000249294,0.143794606,TRUE,8.23E-05,TRUE,1.14E-160,TRUE,0.047440652,FALSE,FALSE,TRUE,FALSE,RAB26
A10_6722,ENSG00000158161,0.000297761,0.207178561,TRUE,0.52684747,FALSE,2.20E-162,TRUE,0.109564841,TRUE,TRUE,FALSE,FALSE,EYA3
A10_75836284,ENSG00000277791,8.54E-05,0.203026417,TRUE,0.00080132,TRUE,2.20E-162,TRUE,0.105529155,TRUE,TRUE,FALSE,TRUE,PSMB3
A11_55185977,ENSG00000115165,0.000752664,0.11972454,FALSE,0.526070266,FALSE,9.56E-104,TRUE,0.028439321,FALSE,FALSE,TRUE,FALSE,CYTIP
A11_55195978,ENSG00000115539,0.002300423,0.077580204,FALSE,0.81764054,FALSE,1321,FALSE,-0.018160953,FALSE,FALSE,TRUE,FALSE,PDCL3
A11_55205980,ENSG00000075218,0.000391732,0.259041895,TRUE,1.36E-07,TRUE,2.20E-162,TRUE,0.163663582,TRUE,TRUE,FALSE,TRUE,GTSE1
A11_55215982,ENSG00000108578,0.002723909,0.042749177,FALSE,0.258160533,FALSE,1321,FALSE,-0.053211305,FALSE,FALSE,TRUE,FALSE,BLMH
A11_55245981,ENSG00000123607,0.001522108,0.217395219,TRUE,0.011419754,TRUE,2.21E-162,TRUE,0.124420166,TRUE,TRUE,FALSE,TRUE,TTC21B
A11_55335984,ENSG00000122484,0.002520211,0.10846205,FALSE,0.121793813,FALSE,1.07E-51,TRUE,0.014287558,FALSE,FALSE,TRUE,FALSE,RPAP2
A11_55345985,ENSG00000142552,0.000681062,0.119909013,FALSE,0.587655978,FALSE,1.64E-115,TRUE,0.023500277,FALSE,FALSE,TRUE,FALSE,RCN3
A11_55355986,ENSG00000178982,0.000501468,0.147426197,TRUE,0.502100278,FALSE,1.24E-160,TRUE,0.051366957,TRUE,TRUE,FALSE,FALSE,EIF3K
A11_55365987,ENSG00000203880,3.13E-05,0.13540089,TRUE,0.057273536,FALSE,3.94E-156,TRUE,0.038738057,FALSE,FALSE,TRUE,FALSE,PCMTD2
A11_55395990,ENSG00000157259,0.000686515,0.244024736,TRUE,2.68E-07,TRUE,2.20E-162,TRUE,0.148045794,TRUE,TRUE,FALSE,TRUE,GATAD1
A11_55405991,ENSG00000100196,0.001545175,0.130879736,TRUE,0.340002427,FALSE,1.19E-129,TRUE,0.036263039,FALSE,FALSE,TRUE,FALSE,KDELR3
A11_6736,ENSG00000120694,0.0003978,0.147083746,TRUE,0.225440425,FALSE,4.24E-160,TRUE,0.05215104,TRUE,TRUE,FALSE,FALSE,HSPH1
A11_75836284,ENSG00000174943,0.000428572,0.1401236,TRUE,0.012081891,TRUE,1.38E-161,TRUE,0.043514217,FALSE,FALSE,TRUE,FALSE,KCTD13
A12_55185977,ENSG00000198898,0.000161718,0.098654,FALSE,0.147604086,FALSE,2.91E-09,TRUE,0.004763106,FALSE,FALSE,TRUE,FALSE,CAPZA2
A12_55195978,ENSG00000042493,0.018896423,0.512399617,TRUE,1.24E-20,TRUE,2.20E-162,TRUE,0.41645007,TRUE,TRUE,FALSE,TRUE,CAPG
A12_55205980,ENSG00000125356,2.48E-05,0.096620104,FALSE,0.632866309,FALSE,0.015604427,FALSE,0.002317115,FALSE,FALSE,TRUE,FALSE,NDUFA1
A12_55215982,ENSG00000083812,0.001989622,0.146682659,TRUE,0.76847508,FALSE,2.47E-161,TRUE,0.049573929,FALSE,FALSE,TRUE,FALSE,ZNF324
A12_55225983,ENSG00000104889,0.000125135,0.100057644,FALSE,0.280511841,FALSE,1.25E-13,TRUE,0.004973945,FALSE,FALSE,TRUE,FALSE,RNASEH2A
A12_55235979,ENSG00000136193,0.000358475,0.146945681,TRUE,0.0038475,TRUE,1.93E-159,TRUE,0.053667728,TRUE,TRUE,FALSE,TRUE,SCRN1
A12_55335984,ENSG00000198848,0.001356515,0.192918208,TRUE,0.082780296,FALSE,2.20E-162,TRUE,0.096372389,TRUE,TRUE,FALSE,FALSE,CES1
A12_55345985,ENSG00000088833,0.002902497,0.08285447,FALSE,0.098323044,FALSE,1321,FALSE,-0.013191071,FALSE,FALSE,TRUE,FALSE,NSFL1C
A12_55365987,ENSG00000097096,1.28E-05,0.146193663,TRUE,0.731479684,FALSE,8.27E-157,TRUE,0.050510776,TRUE,TRUE,FALSE,FALSE,SYDE2
A12_55395990,ENSG00000160781,0.000113646,0.168807589,TRUE,0.007081997,TRUE,2.34E-162,TRUE,0.073753497,TRUE,TRUE,FALSE,TRUE,PAQR6
A12_55405991,ENSG00000070770,0.000464342,0.109551697,FALSE,0.118958128,FALSE,8.27E-64,TRUE,0.014206824,FALSE,FALSE,TRUE,FALSE,CSNK2A2
A12_6736,ENSG00000225830,1.00E-05,0.224697839,TRUE,0.005680489,TRUE,2.20E-162,TRUE,0.127378993,TRUE,TRUE,FALSE,FALSE,ERCC6
B01_55185977,ENSG00000102057,0.001388376,0.426102949,TRUE,1.10E-06,TRUE,2.20E-162,TRUE,0.334222501,TRUE,TRUE,FALSE,TRUE,KCND1
B01_55195978,ENSG00000156970,0.000230241,0.363236428,TRUE,6.58E-10,TRUE,2.20E-162,TRUE,0.267254985,TRUE,TRUE,FALSE,TRUE,BUB1B
B01_55205980,ENSG00000132688,0.002204216,0.138181879,TRUE,0.455776516,FALSE,3.79E-148,TRUE,0.044407821,FALSE,FALSE,TRUE,FALSE,NES
B01_55215982,ENSG00000182670,0.000148263,0.103053692,FALSE,0.569324079,FALSE,1.91E-23,TRUE,0.007274315,FALSE,FALSE,TRUE,FALSE,TTC3
B01_55225983,ENSG00000180881,0.004070509,0.201663341,TRUE,0.366919259,FALSE,2.20E-162,TRUE,0.104456108,TRUE,TRUE,FALSE,FALSE,CAPS2
B01_55235979,ENSG00000118939,0.000712452,0.129072438,TRUE,0.001998939,TRUE,1.65E-143,TRUE,0.034439736,FALSE,FALSE,TRUE,FALSE,UCHL3
B01_55335984,ENSG00000170775,0.000365023,0.111851338,FALSE,0.631359505,FALSE,5.74E-86,TRUE,0.014169765,FALSE,FALSE,TRUE,FALSE,GPR37
B01_55355986,ENSG00000128923,0.00085083,0.116185828,FALSE,0.024837682,TRUE,2.60E-101,TRUE,0.021474252,FALSE,FALSE,TRUE,FALSE,MINDY2
B01_55365987,ENSG00000177732,0.000958675,0.137385546,TRUE,3.85E-07,TRUE,1.95E-156,TRUE,0.041230684,FALSE,FALSE,TRUE,TRUE,SOX12
B01_55375988,ENSG00000143190,0.000136577,0.102470821,FALSE,0.098323044,FALSE,5.49E-27,TRUE,0.008323905,FALSE,FALSE,TRUE,FALSE,POU2F1
B01_55405991,ENSG00000160211,0.000351619,0.136376734,TRUE,0.007562736,TRUE,4.27E-155,TRUE,0.040357757,FALSE,FALSE,TRUE,FALSE,G6PD
B01_6722,ENSG00000067829,9.17E-05,0.210047466,TRUE,0.009589723,TRUE,2.20E-162,TRUE,0.113767253,TRUE,TRUE,FALSE,FALSE,IDH3G
B01_6735,ENSG00000124762,0.002174732,0.165974735,TRUE,0.0851251,FALSE,2.03E-160,TRUE,0.073172213,TRUE,TRUE,FALSE,FALSE,CDKN1A
B01_6736,ENSG00000109685,0.000167719,0.16305805,TRUE,0.000796288,TRUE,3.23E-162,TRUE,0.066493587,TRUE,TRUE,FALSE,FALSE,NSD2
B02_55195978,ENSG00000127241,2.27E-05,0.144439739,TRUE,0.189484971,FALSE,4.18E-156,TRUE,0.048856101,FALSE,FALSE,TRUE,FALSE,MASP1
B02_55215982,ENSG00000165732,0.009309395,0.178270939,TRUE,0.001854652,TRUE,2.20E-162,TRUE,0.080320764,TRUE,TRUE,FALSE,TRUE,DDX21
B02_55225983,ENSG00000179532,0.000399385,0.236686918,TRUE,3.61E-08,TRUE,2.20E-162,TRUE,0.140921883,TRUE,TRUE,FALSE,TRUE,DNHD1
B02_55235979,ENSG00000173848,0.000401439,0.253503248,TRUE,1.14E-07,TRUE,2.20E-162,TRUE,0.157903199,TRUE,TRUE,FALSE,TRUE,NET1
B02_55245981,ENSG00000103269,0.000135129,0.154366393,TRUE,0.005680489,TRUE,6.55E-162,TRUE,0.057801422,TRUE,TRUE,FALSE,TRUE,RHBDL1
B02_55335984,ENSG00000129347,0.001454001,0.164340652,TRUE,7.97E-05,TRUE,2.26E-162,TRUE,0.068106425,TRUE,TRUE,FALSE,TRUE,KRI1
B02_55345985,ENSG00000008324,0.001121156,0.217245479,TRUE,0.000369455,TRUE,2.20E-162,TRUE,0.120721452,TRUE,TRUE,FALSE,TRUE,SS18L2
B02_55355986,ENSG00000157916,1.34E-05,0.122663924,FALSE,0.310640719,FALSE,5.51E-130,TRUE,0.026944306,FALSE,FALSE,TRUE,TRUE,RER1
B02_55365987,ENSG00000185022,7.85E-05,0.100382837,FALSE,0.194129696,FALSE,4.15E-05,TRUE,0.002835256,FALSE,FALSE,TRUE,TRUE,MAFF
B02_55375988,ENSG00000148935,9.09E-05,0.153531687,TRUE,0.120031356,FALSE,6.18E-162,TRUE,0.059112205,TRUE,TRUE,FALSE,FALSE,GAS2
B02_55385989,ENSG00000119969,0.000403354,0.097823518,FALSE,0.149134233,FALSE,0.00106395,TRUE,0.002399572,FALSE,FALSE,TRUE,FALSE,HELLS
B02_55395990,ENSG00000169744,0.002045908,0.09757818,FALSE,0.064878673,FALSE,1.33E-05,TRUE,0.003144023,FALSE,FALSE,TRUE,FALSE,LDB2
