well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
B09_55335984,ENSG00000196361,0.00010728,0.141059408,TRUE,0.069025338,FALSE,FALSE,TRUE,FALSE,ELAVL3
B09_55345985,ENSG00000181274,0.000732846,0.182946278,TRUE,5.68E-05,TRUE,TRUE,FALSE,TRUE,FRAT2
B09_55355986,ENSG00000134258,0.00043475,0.166640823,TRUE,0.028401569,TRUE,TRUE,FALSE,FALSE,VTCN1
B09_55365987,ENSG00000132530,3.64E-05,0.183231158,TRUE,0.010664513,TRUE,TRUE,FALSE,TRUE,XAF1
B09_55375988,ENSG00000110031,0.000908131,0.106293954,FALSE,0.781655155,FALSE,FALSE,TRUE,FALSE,LPXN
B09_55385989,ENSG00000254470,0.000143821,0.127942965,FALSE,0.018575359,TRUE,FALSE,TRUE,FALSE,AP5B1
B09_55395990,ENSG00000186166,0.000614914,0.112730112,FALSE,0.068126257,FALSE,FALSE,TRUE,FALSE,CCDC84
B09_55405991,ENSG00000154447,0.002364758,0.15280067,TRUE,0.085330471,FALSE,FALSE,TRUE,FALSE,SH3RF1
B09_6720,ENSG00000119950,9.89E-05,0.229161633,TRUE,0.089005048,FALSE,FALSE,TRUE,FALSE,MXI1
B09_6724,ENSG00000065518,6.30E-05,0.138785378,TRUE,0.352488054,FALSE,FALSE,TRUE,FALSE,NDUFB4
B10_55185977,ENSG00000143627,2.59E-05,0.14750591,TRUE,0.051918251,FALSE,FALSE,TRUE,FALSE,PKLR
B10_55195978,ENSG00000100749,0.003792689,0.095434302,FALSE,0.226176267,FALSE,FALSE,TRUE,FALSE,VRK1
B10_55205980,ENSG00000130544,0.000164261,0.162956285,TRUE,0.323614269,FALSE,FALSE,TRUE,FALSE,ZNF557
B10_55215982,ENSG00000111300,0.000209264,0.078977576,FALSE,0.949967423,FALSE,FALSE,TRUE,FALSE,NAA25
B10_55225983,ENSG00000187994,0.003679054,0.04554405,FALSE,0.510113955,FALSE,FALSE,TRUE,FALSE,RINL
B10_55235979,ENSG00000155792,0.000100263,0.101643698,FALSE,0.03444773,TRUE,FALSE,TRUE,FALSE,DEPTOR
B10_55245981,ENSG00000185811,0.000698426,0.116159075,FALSE,0.171806367,FALSE,FALSE,TRUE,FALSE,IKZF1
B10_55335984,ENSG00000198356,0.000279593,0.151492788,TRUE,0.164113246,FALSE,FALSE,TRUE,FALSE,GET3
B10_55345985,ENSG00000144908,4.72E-05,0.107431802,FALSE,0.268487029,FALSE,FALSE,TRUE,FALSE,ALDH1L1
B10_55355986,ENSG00000174899,0.000959802,0.105685793,FALSE,0.274490743,FALSE,FALSE,TRUE,FALSE,SLC66A1L
B10_55365987,ENSG00000130921,0.000407413,0.170786376,TRUE,0.039818687,TRUE,TRUE,FALSE,FALSE,C12orf65
B10_55375988,ENSG00000163950,0.00204281,0.335134913,TRUE,1.26E-08,TRUE,TRUE,FALSE,TRUE,SLBP
B10_55385989,ENSG00000171988,0.000411388,0.106435569,FALSE,0.079944164,FALSE,FALSE,TRUE,FALSE,JMJD1C
B10_55395990,ENSG00000179111,0.000388678,0.121544617,FALSE,0.001443117,TRUE,FALSE,TRUE,FALSE,HES7
B10_55405991,ENSG00000212907,0.000182666,0.143828482,TRUE,0.394523058,FALSE,FALSE,TRUE,FALSE,MT-ND4L
B10_6722,ENSG00000100297,0.000519833,0.33374205,TRUE,4.70E-17,TRUE,TRUE,FALSE,FALSE,MCM5
B10_75836284,ENSG00000007202,0.000456473,0.130309174,FALSE,0.004300911,TRUE,FALSE,TRUE,FALSE,KIAA0100
B11_55185977,ENSG00000120071,0.000104164,0.075152713,FALSE,0.193014973,FALSE,FALSE,TRUE,FALSE,KANSL1
B11_55195978,ENSG00000170345,0.004440992,0.171941186,TRUE,2.99E-06,TRUE,TRUE,FALSE,TRUE,FOS
B11_55205980,ENSG00000067225,0.002073796,0.096275669,FALSE,0.340002427,FALSE,FALSE,TRUE,FALSE,PKM
B11_55215982,ENSG00000107937,0.000452716,0.095122602,FALSE,0.329751803,FALSE,FALSE,TRUE,FALSE,GTPBP4
B11_55225983,ENSG00000167674,0.002358719,0.149879874,TRUE,0.100035785,FALSE,FALSE,TRUE,TRUE,HDGFL2
B11_55235979,ENSG00000186185,0.003986192,0.638179429,TRUE,2.00E-13,TRUE,TRUE,FALSE,TRUE,KIF18B
B11_55245981,ENSG00000112981,0.000850903,0.188755659,TRUE,0.215191905,FALSE,FALSE,TRUE,FALSE,NME5
B11_55335984,ENSG00000176406,0.0001833,0.081279921,FALSE,0.831822747,FALSE,FALSE,TRUE,FALSE,RIMS2
B11_55345985,ENSG00000186871,0.001131506,0.169889409,TRUE,0.03495633,TRUE,TRUE,FALSE,FALSE,ERCC6L
B11_55355986,ENSG00000160908,0.00180217,0.255554116,TRUE,3.97E-09,TRUE,TRUE,FALSE,TRUE,ZNF394
B11_55365987,ENSG00000120519,0.001336346,0.37592988,TRUE,8.85E-09,TRUE,TRUE,FALSE,TRUE,SLC10A7
B11_55375988,ENSG00000161835,1.24E-05,0.1254862,FALSE,0.210240452,FALSE,FALSE,TRUE,FALSE,GRASP
B11_55385989,ENSG00000254656,0.000765682,0.107424544,FALSE,0.098030683,FALSE,FALSE,TRUE,FALSE,RTL1
