Well,Plate,Variable,Main,WellPlate
C02,6721,FALSE,0,C02_6721
C01,6721,FALSE,0,C01_6721
D12,6721,FALSE,0,D12_6721
D11,6721,FALSE,0,D11_6721
D10,6721,FALSE,0,D10_6721
D09,6721,FALSE,0,D09_6721
D08,6721,FALSE,0,D08_6721
D07,6721,FALSE,0,D07_6721
D06,6721,FALSE,0,D06_6721
D05,6721,FALSE,0,D05_6721
D04,6721,FALSE,0,D04_6721
D03,6721,FALSE,0,D03_6721
D02,6721,FALSE,0,D02_6721
D01,6721,FALSE,0,D01_6721
E12,6721,FALSE,0,E12_6721
E11,6721,FALSE,0,E11_6721
E10,6721,FALSE,0,E10_6721
E09,6721,FALSE,0,E09_6721
E08,6721,FALSE,0,E08_6721
E07,6721,FALSE,0,E07_6721
E06,6721,FALSE,0,E06_6721
E05,6721,FALSE,0,E05_6721
E04,6721,FALSE,0,E04_6721
E03,6721,FALSE,0,E03_6721
E02,6721,FALSE,0,E02_6721
F12,6721,FALSE,0,F12_6721
F11,6721,FALSE,0,F11_6721
F10,6721,FALSE,0,F10_6721
F09,6721,FALSE,0,F09_6721
F08,6721,FALSE,0,F08_6721
F07,6721,FALSE,0,F07_6721
F06,6721,FALSE,0,F06_6721
F05,6721,FALSE,0,F05_6721
F04,6721,FALSE,0,F04_6721
F03,6721,FALSE,0,F03_6721
F02,6721,FALSE,0,F02_6721
F01,6721,FALSE,0,F01_6721
G12,6721,FALSE,0,G12_6721
G11,6721,FALSE,0,G11_6721
G10,6721,FALSE,0,G10_6721
G09,6721,FALSE,0,G09_6721
G08,6721,FALSE,0,G08_6721
G07,6721,FALSE,0,G07_6721
G06,6721,FALSE,0,G06_6721
G05,6721,FALSE,0,G05_6721
G04,6721,FALSE,0,G04_6721
G03,6721,FALSE,0,G03_6721
G02,6721,FALSE,0,G02_6721
G01,6721,FALSE,0,G01_6721
H12,6721,FALSE,0,H12_6721
H10,6721,FALSE,0,H10_6721
H09,6721,FALSE,0,H09_6721
H08,6721,FALSE,0,H08_6721
H07,6721,FALSE,0,H07_6721
H06,6721,FALSE,0,H06_6721
H05,6721,FALSE,0,H05_6721
H04,6721,FALSE,0,H04_6721
H03,6721,FALSE,0,H03_6721
H02,6721,FALSE,0,H02_6721
H01,6721,FALSE,0,H01_6721
A12,6722,FALSE,0,A12_6722
A11,6722,FALSE,0,A11_6722
A09,6722,FALSE,0,A09_6722
A08,6722,FALSE,0,A08_6722
A07,6722,FALSE,0,A07_6722
A06,6722,FALSE,0,A06_6722
A05,6722,FALSE,0,A05_6722
A04,6722,FALSE,0,A04_6722
A03,6722,FALSE,0,A03_6722
A02,6722,FALSE,0,A02_6722
A01,6722,FALSE,0,A01_6722
