Well_Plate,Stage,StageAJC
N1_355,G1,G1
N2_355,G1,G1
N3_355,G1,G1
N4_355,G1,G1
N5_355,G1,G1
N6_355,G1,G1
N7_355,G1,G1
N8_355,G1,G1
N9_355,G1,G1
N10_355,G1,G1
N11_355,G1,G1
N12_355,G1,G1
N13_355,G1,G1
N14_355,G1,G1
N15_355,G1,G1
N16_355,G1,G1
N17_355,G1,G1
N18_355,G1,G1
N19_355,G1,G1
N20_355,G1,G1
N21_355,G1,G1
N22_355,G1,G1
N23_355,G1,G1
N24_355,G1,G1
A4_356,G1,G1
A5_356,G1,G1
B8_356,G1,G1
B13_356,G1,G1
C20_356,G1,G1
D11_356,G1,G1
D18_356,G1,G1
D21_356,G1,G1
D23_356,G1,G1
E3_356,G1,G1
E4_356,G1,G1
E6_356,G1,G1
E8_356,G1,G1
F14_356,G1,G1
G7_356,G1,G1
G13_356,G1,G1
G16_356,G1,G1
G20_356,G1,G1
I2_356,G1,G1
I18_356,G1,G1
J2_356,G1,G1
J15_356,G1,G1
J18_356,G1,G1
J21_356,G1,G1
K6_356,G1,G1
K21_356,G1,G1
L2_356,G1,G1
L9_356,G1,G1
M4_356,G1,G1
M5_356,G1,G1
M9_356,G1,G1
M17_356,G1,G1
N1_356,G1,G1
N2_356,G1,G1
N3_356,G1,G1
N4_356,G1,G1
N5_356,G1,G1
N6_356,G1,G1
N7_356,G1,G1
N8_356,G1,G1
N9_356,G1,G1
N10_356,G1,G1
N11_356,G1,G1
N12_356,G1,G1
N13_356,G1,G1
N14_356,G1,G1
N15_356,G1,G1
N16_356,G1,G1
N17_356,G1,G1
N18_356,G1,G1
N19_356,G1,G1
N20_356,G1,G1
N21_356,G1,G1
N22_356,G1,G1
N23_356,G1,G1
N24_356,G1,G1
A9_357,G1,G1
A22_357,G1,G1
B9_357,G1,G1
B16_357,G1,G1
C16_357,G1,G1
C20_357,G1,G1
D11_357,G1,G1
D12_357,G1,G1
D14_357,G1,G1
D21_357,G1,G1
E4_357,G1,G1
E6_357,G1,G1
F1_357,G1,G1
F20_357,G1,G1
F22_357,G1,G1
G16_357,G1,G1
G20_357,G1,G1
G24_357,G1,G1
H9_357,G1,G1
H17_357,G1,G1
H19_357,G1,G1
I5_357,G1,G1
I8_357,G1,G1
I15_357,G1,G1
J16_357,G1,G1
J19_357,G1,G1
K9_357,G1,G1
K10_357,G1,G1
K15_357,G1,G1
K21_357,G1,G1
L1_357,G1,G1
L3_357,G1,G1
L7_357,G1,G1
L19_357,G1,G1
M17_357,G1,G1
M18_357,G1,G1
M22_357,G1,G1
N1_357,G1,G1
N2_357,G1,G1
N3_357,G1,G1
N4_357,G1,G1
N5_357,G1,G1
N6_357,G1,G1
N7_357,G1,G1
N8_357,G1,G1
N9_357,G1,G1
N10_357,G1,G1
N11_357,G1,G1
N12_357,G1,G1
N13_357,G1,G1
N14_357,G1,G1
N15_357,G1,G1
N16_357,G1,G1
N17_357,G1,G1
N18_357,G1,G1
N19_357,G1,G1
N20_357,G1,G1
N21_357,G1,G1
N22_357,G1,G1
N23_357,G1,G1
N24_357,G1,G1
A7_356,G1,G2M
A20_356,G1,G2M
A22_356,G1,G2M
B9_356,G1,G2M
B16_356,G1,G2M
B17_356,G1,G2M
B19_356,G1,G2M
D9_356,G1,G2M
D12_356,G1,G2M
D14_356,G1,G2M
E1_356,G1,G2M
E12_356,G1,G2M
E13_356,G1,G2M
E14_356,G1,G2M
F2_356,G1,G2M
F20_356,G1,G2M
F22_356,G1,G2M
F24_356,G1,G2M
H17_356,G1,G2M
H19_356,G1,G2M
H21_356,G1,G2M
H23_356,G1,G2M
I4_356,G1,G2M
I8_356,G1,G2M
I15_356,G1,G2M
J12_356,G1,G2M
J13_356,G1,G2M
J19_356,G1,G2M
K4_356,G1,G2M
K9_356,G1,G2M
K12_356,G1,G2M
K18_356,G1,G2M
K24_356,G1,G2M
L7_356,G1,G2M
L17_356,G1,G2M
M2_356,G1,G2M
M10_356,G1,G2M
M16_356,G1,G2M
A7_357,G1,G2M
A20_357,G1,G2M
A21_357,G1,G2M
B8_357,G1,G2M
B13_357,G1,G2M
B17_357,G1,G2M
B23_357,G1,G2M
C8_357,G1,G2M
C24_357,G1,G2M
D9_357,G1,G2M
D19_357,G1,G2M
E1_357,G1,G2M
E3_357,G1,G2M
E8_357,G1,G2M
E12_357,G1,G2M
E13_357,G1,G2M
E14_357,G1,G2M
F2_357,G1,G2M
G7_357,G1,G2M
H7_357,G1,G2M
H22_357,G1,G2M
I2_357,G1,G2M
I4_357,G1,G2M
J12_357,G1,G2M
J15_357,G1,G2M
J18_357,G1,G2M
J21_357,G1,G2M
K3_357,G1,G2M
K4_357,G1,G2M
K6_357,G1,G2M
K12_357,G1,G2M
K14_357,G1,G2M
K18_357,G1,G2M
K24_357,G1,G2M
L2_357,G1,G2M
L9_357,G1,G2M
L17_357,G1,G2M
M4_357,G1,G2M
M9_357,G1,G2M
C16_356,G1,N/A
A9_356,G1,S-ph
A21_356,G1,S-ph
B23_356,G1,S-ph
C8_356,G1,S-ph
C13_356,G1,S-ph
C24_356,G1,S-ph
D2_356,G1,S-ph
D19_356,G1,S-ph
F1_356,G1,S-ph
G22_356,G1,S-ph
G24_356,G1,S-ph
H7_356,G1,S-ph
H9_356,G1,S-ph
H11_356,G1,S-ph
H22_356,G1,S-ph
I5_356,G1,S-ph
J16_356,G1,S-ph
K3_356,G1,S-ph
K10_356,G1,S-ph
K14_356,G1,S-ph
K15_356,G1,S-ph
L1_356,G1,S-ph
L3_356,G1,S-ph
L15_356,G1,S-ph
L19_356,G1,S-ph
M1_356,G1,S-ph
M7_356,G1,S-ph
M18_356,G1,S-ph
M22_356,G1,S-ph
A4_357,G1,S-ph
A5_357,G1,S-ph
B19_357,G1,S-ph
C13_357,G1,S-ph
D2_357,G1,S-ph
D18_357,G1,S-ph
D23_357,G1,S-ph
F14_357,G1,S-ph
F24_357,G1,S-ph
G13_357,G1,S-ph
G22_357,G1,S-ph
H11_357,G1,S-ph
H21_357,G1,S-ph
H23_357,G1,S-ph
I18_357,G1,S-ph
J2_357,G1,S-ph
J13_357,G1,S-ph
L15_357,G1,S-ph
M1_357,G1,S-ph
M2_357,G1,S-ph
M5_357,G1,S-ph
M7_357,G1,S-ph
M10_357,G1,S-ph
M16_357,G1,S-ph
A13_356,G2M,G1
B1_356,G2M,G1
B11_356,G2M,G1
C4_356,G2M,G1
C10_356,G2M,G1
C12_356,G2M,G1
D5_356,G2M,G1
D24_356,G2M,G1
E10_356,G2M,G1
E22_356,G2M,G1
F4_356,G2M,G1
F7_356,G2M,G1
F11_356,G2M,G1
F15_356,G2M,G1
F19_356,G2M,G1
G3_356,G2M,G1
G9_356,G2M,G1
G14_356,G2M,G1
G18_356,G2M,G1
G23_356,G2M,G1
H10_356,G2M,G1
H18_356,G2M,G1
I1_356,G2M,G1
I17_356,G2M,G1
J5_356,G2M,G1
J9_356,G2M,G1
J20_356,G2M,G1
J23_356,G2M,G1
