Well_Plate,Stage,StageAJC
B22_355,,G1
C1_355,,G1
D3_355,,G1
E2_355,,G1
E5_355,,G1
E17_355,,G1
E23_355,,G1
E24_355,,G1
F16_355,,G1
G12_355,,G1
I7_355,,G1
J1_355,,G1
J24_355,,G1
K19_355,,G1
A2_356,,G1
A11_356,,G1
D3_356,,G1
E24_356,,G1
F16_356,,G1
G4_356,,G1
I9_356,,G1
J1_356,,G1
A24_357,,G1
B12_357,,G1
D15_357,,G1
E17_357,,G1
E23_357,,G1
G19_357,,G1
H5_357,,G1
I9_357,,G1
K16_357,,G1
D15_355,,G2M
H5_355,,G2M
I9_355,,G2M
A24_356,,G2M
B12_356,,G2M
B22_356,,G2M
C1_356,,G2M
D15_356,,G2M
E17_356,,G2M
G12_356,,G2M
G19_356,,G2M
A2_357,,G2M
B22_357,,G2M
D3_357,,G2M
E5_357,,G2M
F16_357,,G2M
G4_357,,G2M
G12_357,,G2M
G4_355,,S-ph
G19_355,,S-ph
K16_355,,S-ph
E2_356,,S-ph
E5_356,,S-ph
E23_356,,S-ph
H5_356,,S-ph
I7_356,,S-ph
J24_356,,S-ph
K16_356,,S-ph
K19_356,,S-ph
A11_357,,S-ph
C1_357,,S-ph
E2_357,,S-ph
E24_357,,S-ph
I7_357,,S-ph
J1_357,,S-ph
J24_357,,S-ph
K19_357,,S-ph
P23_355,,
P24_355,,
P23_356,,
P24_356,,
P23_357,,
P24_357,,
