Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
ACOX2	51.32	medium	51.27	0.54	TRUE	0.99
ACOX3	51.69	medium	51.75	0.6	TRUE	0.99
ACP1	50.05	medium	49.76	0.49	TRUE	0.99
ACP2	50.35	medium	50.1	0.63	TRUE	0.68
ACP6	51.98	medium	52.1	0.51	TRUE	0.99
ACSF2	47.3	medium	46.81	0.36	TRUE	1
ACSF3	46.83	medium	46.24	0.35	TRUE	1
ACSL1	50.19	medium	49.94	0.46	TRUE	1
ACSL3	50.36	medium	50.12	0.47	TRUE	1
ACSL4	46.21	non-stable	45.54	0.33	TRUE	1
ACSL5	47.56	medium	47.11	0.37	TRUE	1
ACSL6	47.55	medium	47.11	0.38	TRUE	1
ACSM2B	48.67	medium	48.29	0.4	TRUE	1
ACSM3	46.41	non-stable	45.75	0.34	TRUE	1
ACSS1	50.03	medium	49.74	0.45	TRUE	1
ACSS2	50.39	medium	50.13	0.45	TRUE	1
ACSS3	50.87	medium	50.68	0.49	TRUE	1
ACTB	51.82	medium	51.91	0.59	TRUE	0.96
ACTC1	51.5	medium	51.5	0.57	TRUE	0.98
ACTL6A	47.63	medium	47.18	0.4	TRUE	0.99
ACTN1	53.36	medium	55	0.57	TRUE	0.98
ACTN4	52.52	medium	52.83	0.55	TRUE	0.99
ACTR10	50	medium	49.7	0.52	TRUE	0.98
ACTR1A	50.42	medium	50.16	0.48	TRUE	1
ACTR1B	50.78	medium	50.57	0.5	TRUE	1
ACTR2	51.67	medium	51.73	0.59	TRUE	0.98
ACTR3	53.53	stable	55.48	0.68	TRUE	0.92
ACTR3B	54.08	medium	56.48	0.61	TRUE	0.93
ACTR5	44.38	non-stable	43.47	0.27	TRUE	1
ACTR8	43.54	non-stable	42.45	0.27	TRUE	1
ACY1		non-melter		0.74	TRUE	0.68
ACYP1	51.17	medium	51.04	0.52	TRUE	1
ACYP2	51.81	medium	51.89	0.53	TRUE	1
ADA		non-melter		0.77	TRUE	0.56
ADAL	50.46	stable	50.21	0.68	TRUE	0.78
ADAM10	51.22	medium	51.12	0.58	TRUE	0.98
ADAM15	52.04	stable	52.15	0.7	TRUE	0.89
ADAM17	51	medium	50.83	0.61	TRUE	0.92
ADAM9		non-melter		0.73	TRUE	0.63
ADAP1	49.27	medium	48.94	0.42	TRUE	1
ADAR	47.48	medium	47.04	0.37	TRUE	1
ADAT2	49.42	medium	49.09	0.48	TRUE	0.99
ADAT3	50.31	medium	50.06	0.5	TRUE	1
ADCK4	46.49	medium	45.86	0.36	TRUE	1
ADCK5	51.05	medium	50.89	0.56	TRUE	0.98
ADCY9	50.08	medium	49.8	0.47	TRUE	0.98
ADD1		non-melter		0.76	TRUE	0.64
ADD3		non-melter		0.85	TRUE	0.41
ADFP	51.08	medium	50.94	0.58	TRUE	0.99
ADH4		non-melter		0.77	TRUE	0.54
ADH5	53.43	medium	55.29	0.61	TRUE	0.98
ADH6		non-melter		1.06	TRUE	0.36
ADI1	50.1	medium	49.83	0.47	TRUE	1
ADK	52.99	medium	53.82	0.6	TRUE	0.98
ADNP	45.35	non-stable	44.51	0.3	TRUE	1
ADNP2	44.49	non-stable	43.61	0.28	TRUE	1
ADO	51.52	medium	51.52	0.59	TRUE	0.99
ADPGK	52.38	medium	52.61	0.63	TRUE	0.98
ADPRHL2	49.84	medium	49.52	0.48	TRUE	0.99
ADRBK1	49.73	medium	49.4	0.43	TRUE	0.99
ADRM1	48.74	medium	48.36	0.4	TRUE	1
ADSL	51.57	medium	51.58	0.63	TRUE	0.76
ADSS	54.36	medium	57.43	0.61	TRUE	0.96
AFG3L2	50.01	medium	49.72	0.44	TRUE	1
AFMID	48.22	medium	47.82	0.4	TRUE	1
AFP	52.09	medium	52.21	0.62	TRUE	0.99
AFTPH	49.44	medium	49.12	0.44	TRUE	0.99
AGAP1	49.3	medium	48.98	0.42	TRUE	1
AGAP3	47.3	medium	46.82	0.36	TRUE	1
AGFG1	49.82	medium	49.49	0.44	TRUE	0.99
AGFG2	46.08	non-stable	45.37	0.32	TRUE	1
AGK	50.62	medium	50.37	0.47	TRUE	0.99
AGL	49.17	medium	48.86	0.42	TRUE	1
AGMAT		non-melter		0.72	TRUE	0.41
AGPAT1	50.69	medium	50.46	0.48	TRUE	1
AGPAT3	51.42	medium	51.41	0.5	TRUE	1
AGPAT5	50.44	medium	50.19	0.48	TRUE	0.99
AGPS	49.17	medium	48.85	0.42	TRUE	0.99
AGRN	51.06	medium	50.9	0.6	TRUE	0.97
AGT	52.14	medium	52.27	0.61	TRUE	0.99
AGTRAP	53.91	stable	56.15	0.73	TRUE	0.78
AGXT		non-melter		0.79	TRUE	0.34
AHCTF1	50.17	medium	49.91	0.48	TRUE	0.98
AHCY		non-melter		0.75	TRUE	0.74
AHCYL1	51.5	medium	51.5	0.57	TRUE	0.99
AHCYL2	56.03	stable	60.4	0.66	TRUE	0.78
AHNAK	49.94	medium	49.64	0.64	TRUE	0.44
AHR	43.74	non-stable	42.68	0.25	TRUE	1
AHSA1	50.24	medium	49.98	0.46	TRUE	1
AHSG	51.68	stable	51.74	0.66	TRUE	0.9
AIDA	48.85	medium	48.5	0.41	TRUE	0.99
AIF1L	50.92	medium	50.73	0.53	TRUE	0.98
AIFM1	52.15	medium	52.29	0.58	TRUE	0.96
AIFM2	51.15	medium	51.02	0.49	TRUE	1
AIG1		non-melter		0.72	TRUE	0.77
AIM1	46.83	medium	46.24	0.36	TRUE	1
AIP	48.14	medium	47.74	0.39	TRUE	1
AK1	49.48	medium	49.15	0.44	TRUE	1
AK2	52.57	medium	52.91	0.64	TRUE	0.95
AK3	51.62	medium	51.65	0.5	TRUE	1
AK3L1	49.67	medium	49.34	0.44	TRUE	1
AKAP1	48.2	medium	47.8	0.41	TRUE	0.99
AKAP10	46.34	medium	45.67	0.36	TRUE	0.99
AKAP12		non-melter		1.03	TRUE	0
AKAP13	46.86	medium	46.26	0.36	TRUE	1
AKAP2		non-melter		1.09	TRUE	0.2
AKAP8	46.37	non-stable	45.69	0.34	TRUE	1
AKAP8L	45.67	non-stable	44.81	0.31	TRUE	1
AKAP9	46.75	non-stable	46.14	0.35	TRUE	1
AKR1A1	51.02	medium	50.85	0.48	TRUE	1
AKR1B1	52.96	medium	53.7	0.56	TRUE	1
AKR1B10	52.62	medium	52.99	0.55	TRUE	1
AKR1C1	45.93	non-stable	45.15	0.32	TRUE	0.98
AKR1C2	47.35	medium	46.86	0.4	TRUE	0.99
AKR1C3	48.89	medium	48.54	0.42	TRUE	1
AKR1D1	47.75	medium	47.29	0.37	TRUE	1
AKR7A2	50.93	medium	50.77	0.5	TRUE	0.99
AKT1	47.61	medium	47.16	0.38	TRUE	0.99
AKT1S1	49.36	medium	49.03	0.53	TRUE	0.91
AKT2	48.59	medium	48.22	0.4	TRUE	0.99
AKTIP	48.18	medium	47.78	0.39	TRUE	0.99
ALAD		non-melter		0.83	TRUE	0.22
ALAS1	48.48	medium	48.1	0.41	TRUE	1
ALCAM		non-melter		0.75	TRUE	0.43
ALDH16A1	52.04	medium	52.16	0.63	TRUE	0.83
ALDH18A1	50.28	medium	50.03	0.47	TRUE	0.98
ALDH1A1		non-melter		0.84	TRUE	0.3
ALDH1A2	51.3	medium	51.23	0.49	TRUE	0.99
ALDH1B1	52.63	medium	53.01	0.53	TRUE	0.89
ALDH1L1	47.4	medium	46.94	0.36	TRUE	1
ALDH2	52.14	medium	52.27	0.51	TRUE	0.99
ALDH3A2	48.88	medium	48.53	0.41	TRUE	1
ALDH4A1	48.97	medium	48.64	0.41	TRUE	1
ALDH5A1	53.01	medium	53.89	0.57	TRUE	0.98
ALDH6A1	49.07	medium	48.74	0.42	TRUE	1
ALDH7A1	51.85	medium	51.95	0.51	TRUE	1
ALDH9A1	52.64	medium	53.03	0.57	TRUE	0.99
ALDOA	50.67	stable	50.44	0.7	TRUE	0.87
ALDOC	52.6	medium	52.97	0.63	TRUE	0.91
ALG1	50.13	medium	49.86	0.46	TRUE	1
ALG10B	51.58	medium	51.58	0.54	TRUE	0.97
ALG11	49.94	medium	49.63	0.47	TRUE	0.98
ALG13	50.72	medium	50.5	0.48	TRUE	1
ALG14	50.96	medium	50.79	0.52	TRUE	1
ALG2	49.8	medium	49.48	0.44	TRUE	1
ALG3	48.63	medium	48.26	0.4	TRUE	1
ALG5	51.25	medium	51.16	0.48	TRUE	1
ALG6	52.25	medium	52.41	0.53	TRUE	0.99
ALG8	50.71	medium	50.49	0.49	TRUE	0.98
ALG9	50.93	medium	50.75	0.49	TRUE	0.99
ALKBH1	48.53	medium	48.15	0.44	TRUE	1
ALKBH5	49.76	medium	49.42	0.61	TRUE	0.75
ALPHA-ENOLASE, LUNG SPECIFIC.	51.06	medium	50.9	0.59	TRUE	0.25
ALS2	48.52	medium	48.14	0.41	TRUE	0.99
ALS2CR4		non-melter		0.78	TRUE	0.31
AMBP	51.03	medium	50.86	0.59	TRUE	0.98
AMBRA1	47.16	medium	46.64	0.51	TRUE	0.85
AMDHD1	52.21	medium	52.35	0.54	TRUE	1
AMDHD2	51.65	medium	51.7	0.53	TRUE	1
AMFR	49.57	medium	49.24	0.44	TRUE	0.99
AMN	50.4	medium	50.14	0.51	TRUE	0.99
AMPD2	52.5	medium	52.81	0.58	TRUE	0.98
AMT	49.78	medium	49.45	0.44	TRUE	1
AMZ2	46.89	non-stable	46.31	0.34	TRUE	0.95
ANAPC1	48.35	medium	47.95	0.4	TRUE	0.99
ANAPC10	49.52	medium	49.18	0.44	TRUE	0.99
ANAPC2	48.46	medium	48.07	0.4	TRUE	1
ANAPC4	49.16	medium	48.85	0.42	TRUE	1
ANAPC5	48.82	medium	48.46	0.43	TRUE	0.99
ANAPC7	48.7	medium	48.33	0.4	TRUE	1
ANGEL2	47.51	medium	47.07	0.39	TRUE	0.99
ANK2	51.46	medium	51.46	0.51	TRUE	0.99
ANKFY1	46.3	non-stable	45.63	0.33	TRUE	1
ANKHD1-EIF4EBP3	44.94	non-stable	44.04	0.29	TRUE	1
ANKLE2	45.53	non-stable	44.67	0.33	TRUE	0.99
ANKMY2	49.55	medium	49.23	0.43	TRUE	1
ANKRD13A	49.14	medium	48.81	0.43	TRUE	1
ANKRD16	44.5	non-stable	43.63	0.27	TRUE	1
ANKRD17	46.97	medium	46.41	0.35	TRUE	1
ANKRD28	49.7	medium	49.38	0.43	TRUE	1
ANKRD46	51.98	medium	52.1	0.55	TRUE	1
ANKRD52	47.31	medium	46.82	0.37	TRUE	1
ANKRD54	49.54	medium	49.21	0.46	TRUE	0.98
ANKRD57	48.15	medium	47.74	0.41	TRUE	1
ANKS1A	47.6	medium	47.15	0.39	TRUE	0.99
ANKZF1	48.96	medium	48.63	0.46	TRUE	0.99
ANLN	45.29	non-stable	44.44	0.32	TRUE	0.99
ANO10	51.22	medium	51.11	0.49	TRUE	1
ANO6	51.79	medium	51.87	0.52	TRUE	0.99
ANP32A	52.78	medium	53.21	0.6	TRUE	0.99
ANP32B	52.42	medium	52.71	0.54	TRUE	0.96
ANP32D	50.21	medium	49.96	0.64	TRUE	0.85
ANP32E	44.43	non-stable	43.52	0.27	TRUE	1
ANPEP		non-melter		1.05	TRUE	0.22
ANXA11	46.73	non-stable	46.13	0.34	TRUE	1
ANXA2	51.87	medium	51.97	0.51	TRUE	1
ANXA3	50.77	medium	50.55	0.47	TRUE	1
ANXA4	49.03	medium	48.7	0.42	TRUE	1
ANXA5	48.39	medium	47.99	0.39	TRUE	1
ANXA6	49.46	medium	49.13	0.43	TRUE	1
ANXA7	50.04	medium	49.76	0.44	TRUE	0.99
AOX1	47.41	medium	46.95	0.46	TRUE	0.94
AP1B1	47.29	medium	46.8	0.36	TRUE	0.99
AP1G1	48.13	medium	47.72	0.4	TRUE	1
AP1G2	46.29	non-stable	45.61	0.33	TRUE	1
AP1GBP1	48.55	medium	48.17	0.41	TRUE	0.99
AP1M1	48.31	medium	47.9	0.41	TRUE	1
AP1S1	47.39	medium	46.92	0.35	TRUE	1
AP1S2	48.15	medium	47.74	0.39	TRUE	1
AP2A1	48.85	medium	48.5	0.41	TRUE	1
AP2A2	49.72	medium	49.4	0.44	TRUE	1
AP2B1	49.76	medium	49.43	0.44	TRUE	1
AP2M1	49.95	medium	49.64	0.44	TRUE	1
AP2S1	49.59	medium	49.25	0.43	TRUE	1
AP3B1	49.13	medium	48.81	0.41	TRUE	1
AP3D1	49.17	medium	48.85	0.42	TRUE	0.99
AP3M1	48.68	medium	48.3	0.4	TRUE	0.99
AP3M2	49.98	medium	49.68	0.49	TRUE	0.99
AP3S1	48.61	medium	48.23	0.4	TRUE	0.99
AP4B1	47.49	medium	47.05	0.39	TRUE	1
AP4S1	51.67	stable	51.73	0.68	TRUE	0.41
APAF1	47.31	medium	46.83	0.36	TRUE	0.99
APEH		non-melter		0.74	TRUE	0.57
APEX1	49.27	medium	48.94	0.42	TRUE	1
APH1A	50.39	stable	50.14	0.68	TRUE	0.76
API5	51.71	medium	51.78	0.5	TRUE	1
APIP		non-melter		0.79	TRUE	0.44
APLP2	50.82	medium	50.61	0.55	TRUE	0.99
APOA1		non-melter		0.73	TRUE	0.65
APOA1BP		non-melter		0.86	TRUE	0.24
APOA2		non-melter		0.72	TRUE	0.59
APOB	51.49	medium	51.49	0.63	TRUE	0.94
APOBEC3F	47.97	medium	47.53	0.38	TRUE	0.99
APOC1		non-melter		0.8	TRUE	0.21
APOC2		non-melter		0.76	TRUE	0.44
APOC3		non-melter		0.83	TRUE	0.28
APOE	51.65	medium	51.7	0.62	TRUE	0.98
APOH	51.67	medium	51.73	0.63	TRUE	0.96
APOL1	51.73	medium	51.8	0.61	TRUE	0.99
APOL2	47.46	medium	47.01	0.38	TRUE	1
APOM	51.13	medium	51	0.59	TRUE	0.98
APOO		non-melter		1.03	TRUE	0.11
APOOL	51.26	medium	51.17	0.64	TRUE	0.88
APPL1	49.55	medium	49.22	0.44	TRUE	1
APPL2	46.88	medium	46.29	0.37	TRUE	1
APRT	52.9	medium	53.43	0.6	TRUE	0.98
APTX	46.7	non-stable	46.1	0.33	TRUE	1
AQR	44.78	non-stable	43.92	0.29	TRUE	1
ARAP1	46.08	non-stable	45.36	0.34	TRUE	1
ARCN1	49.7	medium	49.37	0.44	TRUE	1
ARD1A	51.17	medium	51.05	0.54	TRUE	0.98
ARF3	51.99	medium	52.1	0.6	TRUE	0.98
ARF4	49.47	medium	49.15	0.43	TRUE	1
ARF5	51.55	medium	51.55	0.51	TRUE	1
ARF6	50.41	medium	50.16	0.48	TRUE	1
ARFGAP1	47.4	medium	46.93	0.35	TRUE	1
ARFGAP2	47.81	medium	47.35	0.37	TRUE	1
ARFGAP3	49.25	medium	48.92	0.43	TRUE	1
ARFGEF1	48.61	medium	48.23	0.41	TRUE	0.99
ARFGEF2	48.62	medium	48.24	0.41	TRUE	1
ARFIP1	49.11	medium	48.78	0.42	TRUE	1
ARFIP2	49.71	medium	49.39	0.44	TRUE	1
ARFRP1	51.13	medium	51	0.51	TRUE	1
ARG1	49.32	medium	49	0.6	TRUE	0.5
ARG2	51.5	medium	51.5	0.61	TRUE	0.89
ARGLU1	48.47	medium	48.08	0.5	TRUE	0.86
ARHGAP1	50.8	medium	50.59	0.48	TRUE	1
ARHGAP12	48.25	medium	47.85	0.39	TRUE	1
ARHGAP17	47.13	medium	46.61	0.36	TRUE	1
ARHGAP18	48.18	medium	47.78	0.39	TRUE	1
ARHGAP27	49.76	medium	49.43	0.45	TRUE	1
ARHGAP29	48.47	medium	48.08	0.42	TRUE	1
ARHGAP5	47.34	medium	46.85	0.36	TRUE	1
ARHGDIA	50.56	medium	50.31	0.47	TRUE	0.99
ARHGEF1	46.5	non-stable	45.86	0.34	TRUE	1
ARHGEF10L	48.63	medium	48.25	0.4	TRUE	1
ARHGEF11	46.31	non-stable	45.64	0.33	TRUE	1
ARHGEF12	46.58	non-stable	45.95	0.35	TRUE	1
ARHGEF16	47.91	medium	47.46	0.4	TRUE	1
ARHGEF18	47.12	medium	46.6	0.37	TRUE	1
ARHGEF2	46.18	non-stable	45.48	0.33	TRUE	1
ARHGEF7	47.42	medium	46.96	0.37	TRUE	1
ARID1A	46.11	non-stable	45.42	0.32	TRUE	1
ARID1B	46.28	non-stable	45.6	0.33	TRUE	1
ARID2	48.64	medium	48.27	0.42	TRUE	1
ARID3A	44.32	non-stable	43.38	0.25	TRUE	1
ARID3B	44.02	non-stable	43.02	0.24	TRUE	1
ARID4A	44.37	non-stable	43.42	0.28	TRUE	1
ARID4B	45.91	non-stable	45.13	0.32	TRUE	1
ARIH1	51.71	medium	51.78	0.52	TRUE	1
ARIH2	50.68	medium	50.46	0.49	TRUE	0.99
ARL1	48.99	medium	48.66	0.41	TRUE	1
ARL15	50.75	medium	50.53	0.53	TRUE	0.97
ARL2	50.5	medium	50.25	0.46	TRUE	1
ARL2BP	48.59	medium	48.21	0.42	TRUE	1
ARL3	52.95	medium	53.64	0.61	TRUE	0.95
ARL5B	47.66	medium	47.2	0.37	TRUE	0.99
ARL6	47.31	medium	46.83	0.37	TRUE	0.99
ARL6IP4	50.85	medium	50.66	0.65	TRUE	0.55
ARL6IP5	50.74	stable	50.52	0.7	TRUE	0.89
ARL6IP6	51.36	medium	51.31	0.61	TRUE	0.98
ARL8B		non-melter		1.04	TRUE	0.15
ARMC1	49.65	medium	49.31	0.44	TRUE	1
ARMC10	48.9	medium	48.55	0.43	TRUE	1
ARMC6	45.32	non-stable	44.47	0.3	TRUE	1
ARMC8	48.86	medium	48.52	0.42	TRUE	1
ARMC9	46.08	non-stable	45.37	0.34	TRUE	1
ARMCX3	48.19	medium	47.8	0.4	TRUE	1
ARMET		non-melter		1.04	TRUE	0.4
ARNT	49.25	medium	48.92	0.44	TRUE	1
ARPC1A	52.05	stable	52.17	0.66	TRUE	0.87
ARPC1B	50.81	medium	50.6	0.53	TRUE	0.97
ARPC2	53.07	stable	54.08	0.68	TRUE	0.94
ARPC3	52.88	medium	53.42	0.56	TRUE	0.99
ARPC4	52.43	medium	52.74	0.64	TRUE	0.95
ARPC5	51.29	medium	51.22	0.57	TRUE	0.98
ARPC5L	51.64	medium	51.68	0.65	TRUE	0.96
ARPP-19	51.06	medium	50.91	0.63	TRUE	0.88
ARRB1	52.47	medium	52.77	0.53	TRUE	1
ARRB2	48.89	medium	48.53	0.42	TRUE	0.99
ARRDC1	50.25	medium	50	0.51	TRUE	0.99
ARS2	47.47	medium	47.02	0.37	TRUE	1
ARSA	50.82	medium	50.62	0.64	TRUE	0.73
ARSB		non-melter		0.71	TRUE	0.6
ARSE	53.19	stable	54.42	0.72	TRUE	0.78
ARVCF	49.36	medium	49.03	0.47	TRUE	0.97
AS3MT	45.33	non-stable	44.47	0.3	TRUE	1
ASAH1		non-melter		0.76	TRUE	0.33
ASAP1	48.13	medium	47.73	0.4	TRUE	1
ASAP2	48.91	medium	48.56	0.42	TRUE	0.99
ASAP3	46.08	non-stable	45.36	0.33	TRUE	1
ASB9	51.32	medium	51.26	0.52	TRUE	0.99
ASCC1	50.11	medium	49.84	0.45	TRUE	0.98
ASCC2	49.22	medium	48.9	0.45	TRUE	1
ASCC3	48.39	medium	47.99	0.4	TRUE	0.99
ASF1A	50.04	medium	49.76	0.47	TRUE	0.99
ASF1B	48.18	medium	47.78	0.39	TRUE	1
ASGR1		non-melter		0.74	TRUE	0.6
ASGR2		non-melter		0.71	TRUE	0.44
ASH2L	48.34	medium	47.94	0.39	TRUE	1
ASL	52.79	medium	53.22	0.64	TRUE	0.97
ASMTL	48.78	medium	48.42	0.41	TRUE	1
ASNA1	52.02	medium	52.13	0.57	TRUE	0.99
ASNS	50.24	medium	49.99	0.46	TRUE	1
ASNSD1	45.26	non-stable	44.39	0.32	TRUE	1
ASPH	51.37	medium	51.33	0.54	TRUE	1
ASPSCR1	49.94	medium	49.63	0.46	TRUE	1
ASRGL1	51.81	stable	51.9	0.66	TRUE	0.95
ASS1	50.41	medium	50.16	0.51	TRUE	0.99
ASXL2	47.61	medium	47.16	0.44	TRUE	0.95
ATAD1	48.34	medium	47.93	0.39	TRUE	0.99
ATAD3A	48.75	medium	48.37	0.42	TRUE	1
ATAD3B	48.95	medium	48.6	0.46	TRUE	0.98
ATE1	50.6	medium	50.35	0.46	TRUE	0.99
ATF2		non-melter		0.75	TRUE	0.37
ATF7	50.39	medium	50.14	0.54	TRUE	0.97
ATG12	50.95	medium	50.79	0.48	TRUE	0.99
ATG16L1	51.23	medium	51.12	0.51	TRUE	1
ATG2A	49.83	medium	49.51	0.46	TRUE	1
ATG2B	50.47	medium	50.22	0.49	TRUE	0.99
ATG3	50.91	medium	50.73	0.5	TRUE	1
ATG4B	47.59	medium	47.14	0.37	TRUE	1
ATG5	50.85	medium	50.65	0.47	TRUE	0.99
ATG7	49.82	medium	49.5	0.44	TRUE	0.99
ATG9A	50.41	medium	50.16	0.46	TRUE	1
ATIC	51.84	medium	51.94	0.52	TRUE	1
ATL2	49.65	medium	49.31	0.43	TRUE	0.99
ATM	49.81	medium	49.49	0.45	TRUE	1
ATOX1		non-melter		0.76	TRUE	0.45
ATP11A	52.42	medium	52.72	0.58	TRUE	0.99
ATP11B	51.38	medium	51.34	0.53	TRUE	0.98
ATP11C	52	medium	52.12	0.55	TRUE	1
ATP13A1	50.46	medium	50.21	0.46	TRUE	1
ATP13A3	51.37	medium	51.32	0.52	TRUE	0.97
ATP1A1	53.35	medium	54.96	0.57	TRUE	0.99
ATP1B1	51.7	stable	51.76	0.67	TRUE	0.75
ATP1B3		non-melter		0.77	TRUE	0.68
ATP2A2	50.4	medium	50.15	0.46	TRUE	1
ATP2B1	51.05	medium	50.89	0.49	TRUE	1
ATP2B4	51.21	medium	51.1	0.51	TRUE	0.99
ATP2C1	51.75	medium	51.83	0.51	TRUE	1
ATP5A1	52.26	stable	52.42	0.66	TRUE	0.85
ATP5B		non-melter		0.74	TRUE	0.77
ATP5C1	51.88	medium	51.97	0.62	TRUE	0.85
ATP5D	51.18	stable	51.07	0.72	TRUE	0.8
ATP5F1	53.21	stable	54.51	0.73	TRUE	0.79
ATP5G3		non-melter		0.75	TRUE	0.72
ATP5H	55.87	stable	59.85	0.73	TRUE	0.89
ATP5I	51.3	medium	51.24	0.63	TRUE	0.95
ATP5J	51.58	medium	51.59	0.56	TRUE	0.95
ATP5L	52.22	stable	52.38	0.67	TRUE	0.9
