Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
ABCC2	49.37	medium	49.03	0.44	TRUE	0.99
ABCC3	50.57	medium	50.51	0.5	TRUE	0.98
ABCC4	51.99	medium	52.42	0.57	TRUE	0.96
ABCC5	50.73	medium	50.71	0.51	TRUE	0.99
ABCC6	49.67	medium	49.35	0.48	TRUE	0.99
ABCD1	47.76	medium	47.25	0.37	TRUE	1
ABCD3	49.98	medium	49.73	0.46	TRUE	1
ABCE1	51.58	medium	51.93	0.63	TRUE	0.94
ABCF1	49.63	medium	49.3	0.44	TRUE	1
ABCF2	50.03	medium	49.78	0.47	TRUE	0.93
ABCF3	45.68	non-stable	45.02	0.31	TRUE	0.99
ABCG2		non-melter		0.67	TRUE	0.56
ABHD10	52.04	stable	52.46	0.69	TRUE	0.73
ABHD12	51.18	medium	51.33	0.51	TRUE	1
ABHD14A	50.04	medium	49.79	0.48	TRUE	0.96
ABHD14B	51.72	medium	52.12	0.53	TRUE	0.99
ABHD4	47.52	medium	46.95	0.39	TRUE	1
ABHD5	50.39	medium	50.28	0.5	TRUE	0.98
ABHD6	47.42	medium	46.85	0.37	TRUE	1
ABI1	50.42	medium	50.31	0.53	TRUE	0.97
ABI2	51.08	medium	51.18	0.52	TRUE	0.99
ABL2	45.99	non-stable	45.41	0.33	TRUE	1
ABLIM1	49.34	medium	49	0.54	TRUE	0.87
ABR	46.62	medium	46.05	0.37	TRUE	0.99
ACAA1	50.54	medium	50.47	0.49	TRUE	1
ACAA2		non-melter		0.8	TRUE	0.34
ACACA	47.8	medium	47.3	0.37	TRUE	0.99
ACACB	48.22	medium	47.73	0.42	TRUE	0.99
ACAD10	48.47	medium	48.04	0.4	TRUE	1
ACAD11	49.89	medium	49.61	0.44	TRUE	1
ACAD8	52.32	medium	52.81	0.59	TRUE	0.99
ACAD9	51.1	medium	51.21	0.56	TRUE	0.99
ACADM	52.91	medium	53.54	0.58	TRUE	0.99
ACADS	51.95	medium	52.39	0.56	TRUE	0.99
ACADSB	53.38	stable	54.78	0.65	TRUE	0.97
ACADVL	51.91	medium	52.35	0.59	TRUE	0.97
ACAP2	48.75	medium	48.33	0.42	TRUE	1
ACAT1	52.42	medium	52.92	0.53	TRUE	1
ACAT2	51.82	stable	52.23	0.69	TRUE	0.73
ACBD3	49.09	medium	48.69	0.41	TRUE	1
ACBD5	46.83	non-stable	46.27	0.34	TRUE	1
ACBD6	48.71	medium	48.27	0.46	TRUE	0.94
ACBD7	50.81	medium	50.81	0.61	TRUE	0.8
ACIN1	47.85	medium	47.35	0.48	TRUE	0.86
ACLY	50.5	medium	50.43	0.46	TRUE	1
ACO1	48.85	medium	48.43	0.41	TRUE	1
ACO2	49.9	medium	49.62	0.45	TRUE	1
ACOT11	50.08	medium	49.84	0.47	TRUE	1
ACOT2	49.71	medium	49.39	0.44	TRUE	1
ACOT7		non-melter		0.79	TRUE	0.45
ACOT8	51.22	medium	51.38	0.53	TRUE	1
ACOT9	51.22	medium	51.38	0.49	TRUE	1
ACOX1	51.98	medium	52.41	0.65	TRUE	0.97
ACOX2	51.78	medium	52.18	0.59	TRUE	0.97
ACOX3	51.44	medium	51.7	0.61	TRUE	0.98
ACP1	49.12	medium	48.73	0.45	TRUE	1
ACP2	50.32	medium	50.16	0.65	TRUE	0.9
ACP6	51.62	medium	51.98	0.51	TRUE	1
ACSF2	46.94	non-stable	46.37	0.35	TRUE	1
ACSF3	46.96	medium	46.39	0.36	TRUE	1
ACSL1	50.14	medium	49.92	0.45	TRUE	1
ACSL3	49.71	medium	49.39	0.44	TRUE	1
ACSL4	45.89	non-stable	45.32	0.32	TRUE	1
ACSL5	47.64	medium	47.1	0.37	TRUE	1
ACSL6	48.5	medium	48.07	0.4	TRUE	0.99
ACSM2B	47.85	medium	47.34	0.39	TRUE	1
ACSM3	46.8	medium	46.24	0.36	TRUE	1
ACSS1	49.92	medium	49.65	0.45	TRUE	1
ACSS2	50.36	medium	50.24	0.46	TRUE	1
ACSS3	51.05	medium	51.14	0.49	TRUE	1
ACTB	50.98	medium	51.05	0.57	TRUE	0.98
ACTC1	50.68	medium	50.65	0.54	TRUE	0.99
ACTL6A	47.4	medium	46.83	0.38	TRUE	1
ACTN1	53.14	medium	54.21	0.57	TRUE	0.98
ACTN4	53.06	medium	53.9	0.56	TRUE	0.99
ACTR10	50.13	medium	49.9	0.55	TRUE	0.99
ACTR1A	50.94	medium	51.01	0.51	TRUE	1
ACTR1B	51.24	medium	51.4	0.53	TRUE	0.99
ACTR2	51.44	medium	51.72	0.59	TRUE	0.98
ACTR3	53.49	stable	54.92	0.65	TRUE	0.94
ACTR5	43.65	non-stable	43.09	0.25	TRUE	1
ACTR6	46.15	non-stable	45.55	0.32	TRUE	0.99
ACY1		non-melter		0.77	TRUE	0.45
ACYP1	51.12	medium	51.24	0.51	TRUE	1
ACYP2	51.37	medium	51.59	0.51	TRUE	0.99
ADA		non-melter		0.84	TRUE	0.23
ADAL		non-melter		0.75	TRUE	0.34
ADAM10	51.16	medium	51.3	0.61	TRUE	0.96
ADAM15	50.86	stable	50.89	0.71	TRUE	0.82
ADAM17	50.34	medium	50.2	0.65	TRUE	0.85
ADAM22	50.29	medium	50.13	0.64	TRUE	0.93
ADAM9	50.63	stable	50.59	0.71	TRUE	0.73
ADAP1	49.25	medium	48.88	0.43	TRUE	0.99
ADAR	46.6	non-stable	46.03	0.34	TRUE	0.99
ADARB1	48.94	medium	48.54	0.45	TRUE	0.99
ADAT2	50.04	medium	49.79	0.52	TRUE	0.99
ADAT3	50.4	medium	50.29	0.52	TRUE	1
ADCK4	46.81	medium	46.24	0.36	TRUE	0.99
ADCK5	50.71	medium	50.69	0.53	TRUE	0.99
ADD1		non-melter		0.73	TRUE	0.73
ADD3		non-melter		0.86	TRUE	0.39
ADFP	51.09	medium	51.19	0.57	TRUE	0.98
ADH4		non-melter		1	TRUE	-0.2
ADH5	52.43	medium	52.93	0.62	TRUE	0.95
ADH6		non-melter		1.06	TRUE	0.34
ADI1	49.88	medium	49.6	0.47	TRUE	0.97
ADK	53.18	medium	54.38	0.6	TRUE	0.97
ADNP	44.75	non-stable	44.13	0.28	TRUE	1
ADNP2	43.5	non-stable	42.96	0.23	TRUE	1
ADO	51.71	medium	52.1	0.63	TRUE	0.99
ADPGK	53.07	stable	53.95	0.65	TRUE	0.97
ADPRHL2	50.16	medium	49.94	0.49	TRUE	0.99
ADRBK1	49.53	medium	49.18	0.43	TRUE	1
ADRM1	49.17	medium	48.77	0.42	TRUE	1
ADSL	51.89	stable	52.33	0.68	TRUE	0.68
ADSS	54.11	medium	56.02	0.63	TRUE	0.92
AFF4	49.3	medium	48.97	0.46	TRUE	0.98
AFG3L2	49.87	medium	49.59	0.44	TRUE	1
AFMID	48.1	medium	47.59	0.39	TRUE	1
AFP	51.8	medium	52.19	0.61	TRUE	1
AFTPH	49.83	medium	49.53	0.49	TRUE	0.98
AGAP1	50	medium	49.76	0.47	TRUE	0.98
AGAP3	48.49	medium	48.05	0.41	TRUE	0.99
AGFG1	50.44	medium	50.34	0.47	TRUE	1
AGFG2	45.84	non-stable	45.26	0.31	TRUE	1
AGK	50.34	medium	50.2	0.47	TRUE	1
AGL	49.46	medium	49.12	0.44	TRUE	0.99
AGMAT		non-melter		0.76	TRUE	0.28
AGPAT1	49.59	medium	49.26	0.43	TRUE	1
AGPAT3	50.34	medium	50.21	0.45	TRUE	0.99
AGPAT5	50.34	medium	50.19	0.47	TRUE	0.99
AGPAT6	50.58	medium	50.52	0.47	TRUE	1
AGPS	49.2	medium	48.8	0.43	TRUE	1
AGRN	50.51	medium	50.44	0.61	TRUE	0.96
AGT	51.75	medium	52.14	0.62	TRUE	1
AGTPBP1	49.42	medium	49.08	0.47	TRUE	0.98
AGTRAP	52.95	stable	53.62	0.68	TRUE	0.55
AGXT		non-melter		0.73	TRUE	0.56
AHCTF1	50.77	medium	50.76	0.51	TRUE	0.99
AHCY		non-melter		0.82	TRUE	0.31
AHCYL1	51.79	medium	52.19	0.6	TRUE	0.98
AHCYL2	52.08	stable	52.52	0.66	TRUE	0.8
AHNAK		non-melter		0.75	TRUE	0.18
AHR	46.28	non-stable	45.72	0.34	TRUE	0.96
AHSA1	49.64	medium	49.31	0.44	TRUE	1
AHSG	50.4	stable	50.29	0.68	TRUE	0.9
AIDA	48.86	medium	48.44	0.41	TRUE	0.99
AIF1L	51.01	medium	51.09	0.55	TRUE	0.98
AIFM1	51.49	medium	51.78	0.57	TRUE	0.96
AIFM2	51.16	medium	51.29	0.5	TRUE	0.99
AIG1		non-melter		0.75	TRUE	0.64
AIM1	47.12	medium	46.55	0.37	TRUE	0.99
AIP	47.88	medium	47.38	0.38	TRUE	1
AK1	48.55	medium	48.12	0.4	TRUE	1
AK2	52.66	medium	53.22	0.61	TRUE	0.96
AK3	52.59	medium	53.12	0.54	TRUE	1
AK3L1	48.83	medium	48.4	0.42	TRUE	1
AKAP1	48.16	medium	47.68	0.41	TRUE	0.97
AKAP10	47.19	medium	46.62	0.39	TRUE	0.99
AKAP11	49.59	medium	49.25	0.46	TRUE	0.99
AKAP12		non-melter		1.06	TRUE	0.38
AKAP13	47.84	medium	47.33	0.41	TRUE	0.98
AKAP7	50.35	medium	50.22	0.54	TRUE	0.99
AKAP8	46.63	medium	46.07	0.36	TRUE	0.99
AKAP8L	45.44	non-stable	44.83	0.3	TRUE	1
AKAP9	47.69	medium	47.17	0.38	TRUE	0.98
AKIRIN2	48.71	medium	48.28	0.41	TRUE	1
AKR1A1	50.9	medium	50.96	0.48	TRUE	1
AKR1B1	53.66	medium	55.32	0.57	TRUE	0.99
AKR1B10	52.88	medium	53.51	0.56	TRUE	1
AKR1C1	46.63	medium	46.06	0.38	TRUE	0.98
AKR1C2	47.39	medium	46.82	0.41	TRUE	0.99
AKR1C3	47.75	medium	47.24	0.39	TRUE	0.99
AKR1CL1	50.22	medium	50.02	0.58	TRUE	0.91
AKR1D1	47.31	medium	46.74	0.36	TRUE	1
AKR7A2	51.26	medium	51.43	0.5	TRUE	1
AKT1	48.46	medium	48.02	0.42	TRUE	0.99
AKT1S1	46.84	medium	46.28	0.45	TRUE	0.93
AKT2	48.64	medium	48.2	0.4	TRUE	0.99
AKTIP	48.65	medium	48.22	0.41	TRUE	0.99
ALAD		non-melter		1.03	TRUE	0.04
ALAS1	48.62	medium	48.18	0.42	TRUE	1
ALCAM		non-melter		0.8	TRUE	0.18
ALDH16A1	51.4	medium	51.65	0.63	TRUE	0.89
ALDH18A1	50.84	medium	50.86	0.48	TRUE	0.97
ALDH1A1		non-melter		0.83	TRUE	0.26
ALDH1A2	51.4	medium	51.63	0.49	TRUE	0.99
ALDH1B1	51.02	medium	51.09	0.48	TRUE	0.85
ALDH1L1	47.74	medium	47.23	0.37	TRUE	1
ALDH2	52.11	medium	52.56	0.51	TRUE	1
ALDH3A2	48.99	medium	48.6	0.41	TRUE	1
ALDH4A1	48.12	medium	47.62	0.38	TRUE	1
ALDH5A1	52.67	medium	53.24	0.57	TRUE	0.97
ALDH6A1	48.23	medium	47.74	0.39	TRUE	1
ALDH7A1	51.97	medium	52.41	0.52	TRUE	1
ALDH9A1	52.24	medium	52.72	0.57	TRUE	0.99
ALDOA	50.54	stable	50.47	0.7	TRUE	0.86
ALDOC	52.4	medium	52.9	0.64	TRUE	0.9
ALG1	50.55	medium	50.49	0.47	TRUE	1
ALG11	49.83	medium	49.52	0.44	TRUE	1
ALG13	50.85	medium	50.88	0.5	TRUE	1
ALG14	51.61	medium	51.96	0.56	TRUE	1
ALG2	49.71	medium	49.39	0.44	TRUE	1
ALG3	50.1	medium	49.87	0.45	TRUE	0.99
ALG5	51.08	medium	51.18	0.48	TRUE	1
ALG6	52.03	medium	52.46	0.54	TRUE	1
ALG8	51.8	medium	52.21	0.53	TRUE	0.98
ALG9	51.47	medium	51.76	0.52	TRUE	1
ALKBH1	49.2	medium	48.8	0.48	TRUE	0.98
ALKBH4	48.76	medium	48.34	0.44	TRUE	0.99
ALKBH5	49.58	medium	49.25	0.62	TRUE	0.68
ALPHA-ENOLASE, LUNG SPECIFIC.	52.12	medium	52.57	0.63	TRUE	-0.03
ALS2	49.25	medium	48.88	0.46	TRUE	0.98
ALS2CR4		non-melter		0.79	TRUE	0.23
AMBP	51.47	medium	51.76	0.63	TRUE	0.97
AMBRA1	44.97	non-stable	44.39	0.29	TRUE	0.99
AMD1	50.4	medium	50.28	0.51	TRUE	1
AMDHD1	52.13	medium	52.58	0.54	TRUE	1
AMDHD2	51.66	medium	52.03	0.57	TRUE	1
AMFR	49.61	medium	49.27	0.47	TRUE	0.99
AMN	51.05	medium	51.14	0.53	TRUE	1
AMOTL2	48.35	medium	47.89	0.4	TRUE	0.99
AMPD2	52.14	medium	52.6	0.6	TRUE	0.97
AMT	50.26	medium	50.08	0.46	TRUE	1
AMZ2	48.12	medium	47.63	0.4	TRUE	0.99
ANAPC1	48.6	medium	48.16	0.42	TRUE	0.97
ANAPC10	49.08	medium	48.68	0.42	TRUE	0.99
ANAPC2	48.69	medium	48.25	0.4	TRUE	1
ANAPC4	49.49	medium	49.15	0.44	TRUE	1
ANAPC5	48.43	medium	48	0.4	TRUE	0.99
ANAPC7	48.17	medium	47.69	0.39	TRUE	0.99
ANK2	51.06	medium	51.15	0.5	TRUE	0.98
ANKFY1	46.29	non-stable	45.75	0.33	TRUE	1
ANKHD1-EIF4EBP3	45.79	non-stable	45.18	0.32	TRUE	0.98
ANKLE2	47.19	medium	46.62	0.38	TRUE	0.99
ANKMY2	49.15	medium	48.76	0.42	TRUE	1
ANKRD10	45.7	non-stable	45.04	0.31	TRUE	1
ANKRD13A	49.61	medium	49.28	0.46	TRUE	1
ANKRD17	47.71	medium	47.19	0.38	TRUE	0.98
ANKRD28	49.72	medium	49.4	0.44	TRUE	1
ANKRD46	51.56	medium	51.9	0.54	TRUE	1
ANKRD50	46.58	medium	46	0.37	TRUE	0.97
ANKRD52	47.89	medium	47.38	0.4	TRUE	0.99
ANKRD54	48.82	medium	48.39	0.45	TRUE	0.99
ANKRD57	48.5	medium	48.06	0.43	TRUE	1
ANKS1A	46.95	medium	46.38	0.36	TRUE	0.98
ANKZF1	48.46	medium	48.02	0.43	TRUE	1
ANLN	45.69	non-stable	45.03	0.32	TRUE	0.99
ANO10	51.12	medium	51.24	0.48	TRUE	1
ANO6	51.87	medium	52.3	0.52	TRUE	0.99
ANP32A	54.22	medium	56.33	0.62	TRUE	0.97
ANP32B	50.8	medium	50.8	0.49	TRUE	0.99
ANP32D	50.93	medium	50.99	0.49	TRUE	0.99
ANP32E	44.05	non-stable	43.54	0.26	TRUE	1
ANPEP		non-melter		1.05	TRUE	0.16
ANTXR2	50.35	stable	50.22	0.67	TRUE	0.8
ANXA11	46.91	non-stable	46.36	0.34	TRUE	1
ANXA2	51.53	medium	51.85	0.5	TRUE	0.99
ANXA3	50.46	medium	50.37	0.47	TRUE	1
ANXA4	48.79	medium	48.38	0.4	TRUE	1
ANXA5	48.35	medium	47.88	0.39	TRUE	1
ANXA6	49.25	medium	48.88	0.42	TRUE	1
ANXA7	50.08	medium	49.85	0.45	TRUE	1
AOX1	46.82	medium	46.26	0.45	TRUE	0.9
AP1B1	48.26	medium	47.77	0.4	TRUE	1
AP1G1	48.27	medium	47.79	0.39	TRUE	1
AP1G2	47.27	medium	46.69	0.37	TRUE	1
AP1GBP1	49.25	medium	48.87	0.45	TRUE	0.97
AP1M1	48.35	medium	47.88	0.41	TRUE	1
AP1S1	48.32	medium	47.85	0.38	TRUE	1
AP1S2	47.91	medium	47.4	0.37	TRUE	1
AP1S3	48.02	medium	47.51	0.38	TRUE	1
AP2A1	48.92	medium	48.52	0.41	TRUE	1
AP2A2	49.79	medium	49.47	0.45	TRUE	1
AP2B1	49.62	medium	49.29	0.43	TRUE	0.99
AP2M1	50.14	medium	49.92	0.45	TRUE	1
AP2S1	49.41	medium	49.07	0.43	TRUE	0.99
AP3B1	49.1	medium	48.72	0.41	TRUE	0.99
AP3D1	49.67	medium	49.34	0.44	TRUE	0.98
AP3M1	49.15	medium	48.76	0.42	TRUE	0.99
AP3M2	49.75	medium	49.43	0.46	TRUE	0.98
AP3S1	49.56	medium	49.22	0.43	TRUE	1
AP4B1	47.72	medium	47.21	0.4	TRUE	0.99
AP4E1	46.75	non-stable	46.2	0.34	TRUE	0.99
AP4S1	48.1	medium	47.6	0.4	TRUE	0.99
APAF1	47.27	medium	46.69	0.36	TRUE	0.97
APBB2	50.18	medium	49.97	0.46	TRUE	0.97
APEH		non-melter		0.78	TRUE	0.42
APEX1	49.14	medium	48.76	0.42	TRUE	1
APH1A	50.63	stable	50.58	0.71	TRUE	0.59
API5	51.45	medium	51.73	0.49	TRUE	1
APIP		non-melter		0.77	TRUE	0.3
APLP2	50.91	medium	50.97	0.56	TRUE	0.99
APOA1		non-melter		0.76	TRUE	0.48
APOA1BP		non-melter		1.06	TRUE	0.19
APOA2		non-melter		0.77	TRUE	0.55
APOB	51.12	stable	51.25	0.65	TRUE	0.9
APOBEC3C	50.46	medium	50.38	0.53	TRUE	0.98
APOBEC3F	49.26	medium	48.91	0.45	TRUE	1
APOC2		non-melter		0.76	TRUE	0.51
APOC3		non-melter		0.86	TRUE	0.23
APOE	51.77	medium	52.16	0.63	TRUE	0.97
APOH	50.8	medium	50.81	0.64	TRUE	0.96
APOL1	51.29	medium	51.47	0.57	TRUE	0.98
APOL2	47.67	medium	47.14	0.38	TRUE	0.99
APOM	51.42	medium	51.67	0.6	TRUE	0.99
APOO		non-melter		1.04	TRUE	0.16
APOOL	51.14	medium	51.26	0.64	TRUE	0.85
APP		non-melter		0.75	TRUE	0.69
APPL1	49.08	medium	48.67	0.44	TRUE	1
APPL2	46.66	medium	46.09	0.35	TRUE	1
APRT	52.5	medium	53.01	0.57	TRUE	0.98
APTX	47.16	medium	46.59	0.36	TRUE	1
AQR	44.69	non-stable	44.06	0.29	TRUE	0.99
ARAP1	46.08	non-stable	45.49	0.34	TRUE	0.99
ARCN1	49.67	medium	49.34	0.44	TRUE	1
ARD1A	51.15	medium	51.28	0.51	TRUE	0.99
ARF3	51.83	medium	52.26	0.55	TRUE	0.97
ARF4	49.61	medium	49.28	0.43	TRUE	0.99
ARF5	51.35	medium	51.55	0.5	TRUE	1
ARF6	50.56	medium	50.51	0.48	TRUE	1
ARFGAP1	47.18	medium	46.61	0.35	TRUE	1
ARFGAP2	47.91	medium	47.4	0.4	TRUE	1
ARFGAP3	49.29	medium	48.94	0.43	TRUE	1
ARFGEF1	48.58	medium	48.15	0.4	TRUE	0.98
ARFGEF2	49	medium	48.61	0.42	TRUE	0.99
ARFIP1	49.1	medium	48.71	0.42	TRUE	1
ARFIP2	49.77	medium	49.46	0.45	TRUE	1
ARFRP1	50.97	medium	51.04	0.5	TRUE	1
ARG1	49.89	medium	49.6	0.55	TRUE	0.92
ARG2	50.45	stable	50.36	0.68	TRUE	0.85
ARGLU1	48.61	medium	48.17	0.54	TRUE	0.67
ARHGAP1	50.44	medium	50.35	0.46	TRUE	1
ARHGAP12	48.04	medium	47.54	0.39	TRUE	1
ARHGAP17	47.37	medium	46.79	0.37	TRUE	1
ARHGAP18	48.28	medium	47.8	0.39	TRUE	1
ARHGAP27	49.44	medium	49.09	0.45	TRUE	0.98
ARHGAP29	48.35	medium	47.88	0.42	TRUE	0.98
ARHGAP5	47.43	medium	46.86	0.37	TRUE	0.99
ARHGDIA	50.32	medium	50.17	0.46	TRUE	0.99
ARHGEF1	47.08	medium	46.51	0.36	TRUE	1
ARHGEF10L	48.87	medium	48.46	0.41	TRUE	0.98
ARHGEF11	45.79	non-stable	45.2	0.31	TRUE	0.99
ARHGEF12	47.54	medium	46.98	0.37	TRUE	0.98
ARHGEF16	48.18	medium	47.7	0.4	TRUE	1
ARHGEF18	47.3	medium	46.72	0.37	TRUE	1
ARHGEF2	46.78	medium	46.23	0.35	TRUE	1
ARHGEF7	47.54	medium	46.97	0.37	TRUE	1
ARID1A	45.84	non-stable	45.24	0.31	TRUE	1
ARID1B	46.19	non-stable	45.61	0.33	TRUE	1
ARID2	45.47	non-stable	44.87	0.32	TRUE	0.98
ARID3A	44.26	non-stable	43.75	0.27	TRUE	1
ARID3B	43.36	non-stable	42.76	0.24	TRUE	1
ARID4B	45.84	non-stable	45.25	0.33	TRUE	0.99
ARIH1	51.43	medium	51.7	0.51	TRUE	1
ARIH2	50.45	medium	50.37	0.51	TRUE	0.99
ARL1	48.67	medium	48.23	0.4	TRUE	0.99
ARL15	50.08	medium	49.84	0.51	TRUE	0.97
ARL2	49.95	medium	49.68	0.44	TRUE	0.99
ARL2BP	48.24	medium	47.75	0.41	TRUE	0.99
ARL3	51.66	medium	52.04	0.56	TRUE	0.99
ARL5B	48.08	medium	47.58	0.39	TRUE	0.99
ARL6	48.03	medium	47.52	0.4	TRUE	0.99
ARL6IP1		non-melter		1.07	TRUE	0.47
ARL6IP4		non-melter		0.71	TRUE	0.37
ARL6IP5		non-melter		0.8	TRUE	0.45
ARL8B		non-melter		1.04	TRUE	0.07
ARMC1	49.91	medium	49.63	0.45	TRUE	1
ARMC10	47.99	medium	47.48	0.38	TRUE	1
ARMC6	45.3	non-stable	44.7	0.31	TRUE	0.99
ARMC7	48.35	medium	47.88	0.44	TRUE	0.97
ARMC8	48.74	medium	48.32	0.41	TRUE	1
ARMC9	45.26	non-stable	44.67	0.3	TRUE	1
ARMCX3	47.91	medium	47.4	0.39	TRUE	1
ARMET		non-melter		1.06	TRUE	0.42
ARNT	48.14	medium	47.65	0.43	TRUE	0.99
ARPC1A	51.13	medium	51.25	0.63	TRUE	0.93
ARPC1B	51	medium	51.07	0.56	TRUE	0.98
ARPC2	52.36	medium	52.85	0.64	TRUE	0.97
ARPC3	52.21	medium	52.69	0.54	TRUE	0.99
ARPC4	52.23	medium	52.71	0.61	TRUE	0.97
ARPC5	50.93	medium	51	0.59	TRUE	0.97
ARPC5L	50.27	medium	50.1	0.63	TRUE	0.98
ARPP-19	50.47	stable	50.4	0.68	TRUE	0.78
ARRB1	52.6	medium	53.14	0.53	TRUE	1
ARRB2	49.26	medium	48.91	0.42	TRUE	0.99
ARRDC1	50.74	medium	50.73	0.5	TRUE	1
ARS2	47.03	medium	46.48	0.35	TRUE	1
ARSA		non-melter		1.04	TRUE	0.13
ARSB		non-melter		0.75	TRUE	0.54
ARSE	50.34	medium	50.19	0.54	TRUE	0.98
ARV1	50.8	medium	50.79	0.49	TRUE	0.99
ARVCF	48.41	medium	47.97	0.41	TRUE	0.99
AS3MT	44.81	non-stable	44.18	0.27	TRUE	1
ASAH1		non-melter		0.82	TRUE	0.2
ASAP1	48.82	medium	48.39	0.42	TRUE	0.98
ASAP2	49.82	medium	49.52	0.5	TRUE	0.98
ASAP3	46	non-stable	45.43	0.32	TRUE	1
ASB9	51.22	medium	51.37	0.52	TRUE	0.99
ASCC1	50.58	medium	50.51	0.47	TRUE	0.99
ASCC2	49.92	medium	49.64	0.49	TRUE	0.99
ASCC3	49.46	medium	49.11	0.46	TRUE	0.99
ASF1A	50.32	medium	50.17	0.51	TRUE	0.99
ASF1B	47.75	medium	47.25	0.38	TRUE	0.98
ASGR1	52.66	stable	53.21	0.68	TRUE	0.68
ASGR2	50.87	stable	50.9	0.71	TRUE	0.63
ASH2L	48.11	medium	47.61	0.39	TRUE	0.99
ASL	51.99	medium	52.42	0.57	TRUE	1
ASMTL	49.8	medium	49.49	0.45	TRUE	1
ASNA1	51.37	medium	51.59	0.55	TRUE	0.99
ASNS	49.57	medium	49.23	0.43	TRUE	1
ASNSD1	45.77	non-stable	45.16	0.33	TRUE	0.99
ASPH	51.28	medium	51.46	0.54	TRUE	0.99
ASPHD1	47.21	medium	46.63	0.38	TRUE	0.99
ASPSCR1	50.31	medium	50.15	0.48	TRUE	1
ASRGL1	51.62	medium	51.98	0.63	TRUE	0.97
ASS1	50.51	medium	50.44	0.49	TRUE	0.99
ASXL2	46.71	medium	46.14	0.37	TRUE	0.98
ATAD1	48.49	medium	48.05	0.4	TRUE	1
ATAD2	49.57	medium	49.23	0.48	TRUE	0.88
ATAD3A	49.22	medium	48.84	0.44	TRUE	0.97
ATAD3B	49.78	medium	49.46	0.46	TRUE	0.99
ATE1	50.1	medium	49.86	0.44	TRUE	1
ATF2		non-melter		0.8	TRUE	0.31
ATF7	49.65	medium	49.32	0.51	TRUE	0.95
ATF7IP	46.68	non-stable	46.11	0.34	TRUE	1
ATG12	51.09	medium	51.19	0.48	TRUE	1
ATG16L1	51.49	medium	51.78	0.52	TRUE	1
ATG2A	50.12	medium	49.89	0.49	TRUE	0.98
ATG2B	49.97	medium	49.7	0.47	TRUE	0.99
ATG3	50.88	medium	50.92	0.5	TRUE	0.98
ATG4B	47.86	medium	47.35	0.37	TRUE	1
ATG5	51.87	medium	52.29	0.51	TRUE	0.99
ATG7	49.74	medium	49.43	0.43	TRUE	1
ATG9A	50.32	medium	50.16	0.46	TRUE	1
ATIC	51.77	medium	52.17	0.51	TRUE	1
ATL2	50.25	medium	50.06	0.45	TRUE	1
ATM	49.84	medium	49.54	0.45	TRUE	0.99
ATOX1		non-melter		0.79	TRUE	0.38
ATP11A	51.02	medium	51.1	0.52	TRUE	1
ATP11B	52.71	medium	53.29	0.58	TRUE	0.98
