Protein ID	Melting point [°C]	Protein stability class	AUC	Curve fit converged	R2 of curve fit
B7Z8H2_TRDMT1	43.52	non-stable	0.23	TRUE	0.99
B7Z9C6_SH3PXD2A		non-melter	0.69	TRUE	0.66
B7Z9I3_ATP6AP2	49.33	medium	0.43	TRUE	1
B7ZC38_SH3GLB2	47.56	medium	0.39	TRUE	0.99
B7ZKK9_PPP2R5E	48.08	medium	0.4	TRUE	1
B7ZKQ9_SCARB1	54.94	stable	0.69	TRUE	0.96
B7ZKW8_RCSD1		non-melter	0.76	TRUE	0.79
B7ZL88_COX18	54.25	medium	0.59	TRUE	0.99
B7ZLP8_TARSL2	56.2	stable	0.69	TRUE	0.65
B7ZLZ2_EDEM3	48.17	medium	0.42	TRUE	0.98
B8X2Z3_RLTPR	48.73	medium	0.47	TRUE	0.98
B8ZZD4_TAX1BP1	48.37	medium	0.45	TRUE	0.98
B8ZZN6_SUMO1	47.49	medium	0.47	TRUE	0.97
B8ZZQ6_PTMA		non-melter	0.87	TRUE	0.2
B8ZZT9_SNX13	48.31	medium	0.43	TRUE	1
B8ZZU6_ATF2	53.36	medium	0.65	TRUE	0.93
B8ZZY2_AGFG1	51.6	medium	0.51	TRUE	1
B9A018_USP39	51.74	medium	0.53	TRUE	0.97
B9A054_RHBDD1	50.37	medium	0.49	TRUE	0.98
B9ZVM7_ICA1	48.94	medium	0.45	TRUE	0.99
C0H5Y7_BAK1	50.41	medium	0.56	TRUE	0.97
C4AMC7_WASH3P	47.75	medium	0.41	TRUE	0.99
C4B7M2_SPG11	47.27	medium	0.39	TRUE	0.97
C6GKU9_MED30S	49.26	medium	0.51	TRUE	0.99
C9IY40_MRPL2	46.13	non-stable	0.35	TRUE	0.98
C9IYZ1_ASNSD1	46.51	medium	0.38	TRUE	0.99
C9J0A7_CHMP2B	52.11	medium	0.61	TRUE	0.99
C9J0I9_ZC3HC1	46.08	non-stable	0.32	TRUE	1
C9J0K6_SRI	53.4	medium	0.57	TRUE	0.99
C9J1X0_WDR91	46.99	medium	0.36	TRUE	0.98
C9J1X3_TNK2	49.32	medium	0.5	TRUE	0.98
C9J212_UBE2F	53.49	medium	0.57	TRUE	0.99
C9J2P0_UBE2E1	48.58	medium	0.42	TRUE	1
C9J2P9_CBLL1	47.94	medium	0.41	TRUE	0.99
C9J2U4_TAMM41	50.16	medium	0.5	TRUE	1
C9J2V2_IKBKG	49.08	medium	0.62	TRUE	0.81
C9J2Y9_POLR2B	45.9	non-stable	0.34	TRUE	0.99
C9J3M4_MOSPD3	46.9	medium	0.38	TRUE	0.99
C9J406_IMMT	51.84	medium	0.53	TRUE	0.87
C9J470_NCAPH	46.58	medium	0.39	TRUE	1
C9J494_MKRN2	47.14	medium	0.38	TRUE	1
C9J4K5_DONSON	49.88	medium	0.45	TRUE	0.99
C9J4Z0_SLC22A23	51.04	medium	0.55	TRUE	0.93
C9J4Z3_RPL37A	51.45	medium	0.52	TRUE	0.97
C9J5C3_PDCD10	50.69	medium	0.49	TRUE	1
C9J5J4_LIN9	45.73	non-stable	0.33	TRUE	1
C9J5N1_PTGES3L-AARSD1	48.74	medium	0.44	TRUE	1
C9J5X1_IGF1R	47.17	medium	0.38	TRUE	0.99
C9J6W2_KIF20B	44.45	non-stable	0.29	TRUE	0.99
C9J719_EBP	50.66	medium	0.53	TRUE	0.99
C9J7E8_MKLN1	47.44	medium	0.39	TRUE	0.96
C9J7H8_LDHB		non-melter	0.74	TRUE	0.27
C9J7K9_PLSCR1	51.91	medium	0.53	TRUE	0.99
C9J7Z4_TSEN2	48.15	medium	0.41	TRUE	0.99
C9J815_APOBR		non-melter	0.75	TRUE	0.93
C9J8B8_HDAC10	54.15	medium	0.58	TRUE	0.89
C9J8Q5_ALDH5A1	52.2	medium	0.53	TRUE	0.98
C9J929_PHF15	47.04	medium	0.37	TRUE	0.99
C9J9K3_RPSA	53.2	medium	0.56	TRUE	0.98
C9JA08_NMD3	49.61	medium	0.45	TRUE	1
C9JA28_SSR3	53.85	medium	0.59	TRUE	0.98
