Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
SPG7	49.12	medium	48.76	0.42	TRUE	1
SPHK1	50.22	medium	49.97	0.46	TRUE	1
SPIN1	50.2	medium	49.95	0.46	TRUE	1
SPIRE1	47.42	medium	46.98	0.37	TRUE	0.98
SPNS1		non-melter		0.74	TRUE	0.49
SPP1		non-melter		0.75	TRUE	0.31
SPPL2A		non-melter		0.86	TRUE	0.07
SPPL2B	48.7	medium	48.29	0.54	TRUE	0.62
SPR	51.95	medium	52.32	0.51	TRUE	1
SPRY1		non-melter		0.73	TRUE	0.33
SPRY4		non-melter		0.76	TRUE	0.47
SPRYD4	51.75	medium	52.02	0.53	TRUE	0.99
SPTAN1	51.46	medium	51.61	0.51	TRUE	0.99
SPTBN1	50.63	medium	50.47	0.47	TRUE	1
SPTLC1	49.84	medium	49.52	0.47	TRUE	0.99
SPTLC2	50.94	medium	50.9	0.47	TRUE	1
SPTLC3	48.81	medium	48.4	0.4	TRUE	0.99
SQLE	51.53	medium	51.72	0.52	TRUE	1
SQRDL	51.77	stable	52.04	0.66	TRUE	0.9
SQSTM1	49.22	medium	48.88	0.43	TRUE	0.99
SR140	45.6	non-stable	45.2	0.31	TRUE	0.99
SRA1	51.26	medium	51.33	0.51	TRUE	1
SRBD1	46.24	non-stable	45.9	0.33	TRUE	1
SRC	49.76	medium	49.43	0.44	TRUE	1
SRCAP	46.18	non-stable	45.83	0.33	TRUE	1
SRCRB4D	50.86	medium	50.79	0.52	TRUE	0.99
SRD5A3	50.2	medium	49.95	0.47	TRUE	1
SRFBP1	52.22	medium	52.73	0.57	TRUE	0.94
SRGAP2	48.14	medium	47.7	0.39	TRUE	0.99
SRM	51.55	medium	51.74	0.5	TRUE	1
SRP09	50.82	medium	50.74	0.6	TRUE	0.97
SRP14	50.56	medium	50.39	0.58	TRUE	0.97
SRP19	48.71	medium	48.3	0.41	TRUE	1
SRP54	48.82	medium	48.41	0.41	TRUE	1
SRP68	48.23	medium	47.8	0.38	TRUE	1
SRP72	48.41	medium	48	0.39	TRUE	1
SRPK1	50.17	medium	49.92	0.46	TRUE	1
SRPK2	51.24	medium	51.32	0.51	TRUE	1
SRPR	49.05	medium	48.68	0.42	TRUE	1
SRPRB	48.15	medium	47.72	0.4	TRUE	1
SRR	47.84	medium	47.4	0.38	TRUE	0.98
SRRM1	48.47	medium	48.06	0.41	TRUE	0.98
SRRM2	46.56	medium	46.21	0.44	TRUE	0.9
SRXN1	49.17	medium	48.83	0.45	TRUE	0.99
SS18L1	45.86	non-stable	45.45	0.31	TRUE	1
SSB	48.16	medium	47.73	0.38	TRUE	1
SSBP1		non-melter		0.79	TRUE	0.2
SSH3	47.29	medium	46.83	0.37	TRUE	0.99
SSR1	52.16	medium	52.61	0.63	TRUE	0.99
SSR3	51.81	stable	52.13	0.67	TRUE	0.94
