Well,Plate,Variable,Main
D06,6719,FALSE,0
D05,6719,FALSE,0
D04,6719,FALSE,0
D03,6719,FALSE,0
D02,6719,FALSE,0
D01,6719,FALSE,0
E12,6719,FALSE,0
E11,6719,FALSE,0
E10,6719,FALSE,0
E09,6719,FALSE,0
E08,6719,FALSE,0
E07,6719,FALSE,0
E06,6719,FALSE,0
E05,6719,FALSE,0
E04,6719,FALSE,0
E03,6719,FALSE,0
E02,6719,FALSE,0
E01,6719,FALSE,0
F12,6719,FALSE,0
F11,6719,FALSE,0
F10,6719,FALSE,0
F09,6719,FALSE,0
F08,6719,FALSE,0
F07,6719,FALSE,0
F06,6719,FALSE,0
F05,6719,FALSE,0
F04,6719,FALSE,0
F03,6719,FALSE,0
F01,6719,FALSE,0
G12,6719,FALSE,0
G11,6719,FALSE,0
G10,6719,FALSE,0
G09,6719,FALSE,0
G08,6719,FALSE,0
G07,6719,FALSE,0
G06,6719,FALSE,0
G05,6719,FALSE,0
G04,6719,FALSE,0
G03,6719,FALSE,0
G02,6719,FALSE,0
H12,6719,FALSE,0
H11,6719,FALSE,0
H10,6719,FALSE,0
H09,6719,FALSE,0
H08,6719,FALSE,0
H07,6719,FALSE,0
H05,6719,FALSE,0
H04,6719,FALSE,0
H03,6719,FALSE,0
H02,6719,FALSE,0
H01,6719,FALSE,0
A12,6720,FALSE,0
A11,6720,FALSE,0
A10,6720,FALSE,0
A09,6720,FALSE,0
A07,6720,FALSE,0
A06,6720,FALSE,0
A05,6720,FALSE,0
A04,6720,FALSE,0
A03,6720,FALSE,0
A02,6720,FALSE,0
A01,6720,FALSE,0
B12,6720,FALSE,0
B11,6720,FALSE,0
B10,6720,FALSE,0
B08,6720,FALSE,0
B06,6720,FALSE,0
B05,6720,FALSE,0
B04,6720,FALSE,0
B03,6720,FALSE,0
B01,6720,FALSE,0
C12,6720,FALSE,0
C11,6720,FALSE,0
C09,6720,FALSE,0
C08,6720,FALSE,0
C07,6720,FALSE,0
C06,6720,FALSE,0
C04,6720,FALSE,0
D12,6720,FALSE,0
D11,6720,FALSE,0
D10,6720,FALSE,0
D08,6720,FALSE,0
D05,6720,FALSE,0
D04,6720,FALSE,0
D03,6720,FALSE,0
D01,6720,FALSE,0
E12,6720,FALSE,0
E11,6720,FALSE,0
E10,6720,FALSE,0
E09,6720,FALSE,0
E07,6720,FALSE,0
E06,6720,FALSE,0
E04,6720,FALSE,0
E01,6720,FALSE,0
F12,6720,FALSE,0
F11,6720,FALSE,0
F10,6720,FALSE,0
F09,6720,FALSE,0
F07,6720,FALSE,0
F06,6720,FALSE,0
F05,6720,FALSE,0
F04,6720,FALSE,0
F03,6720,FALSE,0
F02,6720,FALSE,0
G12,6720,FALSE,0
G11,6720,FALSE,0
G10,6720,FALSE,0
G09,6720,FALSE,0
G08,6720,FALSE,0
G06,6720,FALSE,0
G05,6720,FALSE,0
G04,6720,FALSE,0
G03,6720,FALSE,0
G01,6720,FALSE,0
H12,6720,FALSE,0
H11,6720,FALSE,0
H10,6720,FALSE,0
H09,6720,FALSE,0
