well_plate,Compartments
A08_55335984,Nucleus
A08_55345985,Cell
A08_55355986,Nucleus
A08_55375988,Cell
A08_55385989,Nucleus
A08_55395990,Cell
A08_55405991,nucleus
A09_55185977,Nucleus
A09_55195978,Cell
A09_55205980,Cytosol
A09_55215982,nucleus
A09_55235979,Nucleus
A09_55335984,Nucleus
A09_55345985,Nucleus
A09_55365987,nucleus
A09_55385989,nucleus
A09_55395990,Cell
A09_55405991,Cell
A09_75836284,cytosol
A10_55195978,Nucleus
A10_55205980,Cell
A10_55215982,Cell
A10_55235979,Cell
A10_55335984,nucleus
A10_55355986,Nucleus
A10_55375988,Nucleus
A10_55385989,cytosol
A10_55395990,nucleus
A10_55405991,Cell
A10_75836284,Cell
A11_55185977,Cytosol
A11_55195978,Cell
A11_55205980,Cell
A11_55215982,Nucleus
A11_55245981,Cell
A11_55335984,Nucleus
A11_55345985,Cell
A11_55355986,Cytosol
A11_55365987,Cell
A11_55395990,nucleus
A11_55405991,Cell
A11_75836284,Nucleus
A12_55185977,Cell
A12_55195978,nucleus
A12_55205980,Cytosol
A12_55215982,Nucleus
A12_55225983,Nucleus
A12_55235979,cytosol
A12_55335984,Cell
A12_55345985,Nucleus
A12_55365987,Cell
A12_55395990,nucleus
A12_55405991,Cell
B01_55185977,nucleus
B01_55195978,cytosol
B01_55205980,Cell
B01_55215982,Nucleus
B01_55225983,Nucleus
B01_55235979,nucleus
B01_55335984,Nucleus
B01_55355986,nucleus
B01_55365987,nucleus
B01_55375988,Cell
B01_55405991,Cytosol
B02_55195978,Cell
B02_55215982,nucleus
B02_55225983,nucleus
B02_55235979,nucleus
B02_55245981,nucleus
B02_55335984,nucleus
B02_55345985,Cell
B02_55355986,Cell
B02_55365987,Cell
B02_55375988,Nucleus
B02_55385989,Cell
B02_55395990,Nucleus
B02_55405991,Nucleus
B02_75836284,Nucleus
B02_75846286,nucleus
B03_55185977,Cytosol
B03_55195978,Nucleus
B03_55215982,Cytosol
B03_55225983,Nucleus
B03_55235979,Cytosol
B03_55245981,Cell
B03_55335984,Cytosol
B03_55345985,nucleus
B03_55355986,Cell
B03_55365987,nucleus
B03_55375988,nucleus
B03_55395990,nucleus
B03_55405991,Cell
B03_75836284,Cell
B04_55185977,Cell
B04_55205980,nucleus
B04_55215982,Cell
B04_55225983,Cell
B04_55335984,Cell
B04_55365987,nucleus
B04_55375988,Nucleus
B04_55385989,Nucleus
B04_55395990,Cell
B04_55405991,Cell
B04_75836284,Cell
B05_55185977,Cell
B05_55195978,Nucleus
B05_55205980,Nucleus
B05_55215982,nucleus
B05_55225983,nucleus
B05_55235979,Cell
B05_55345985,Cell
B05_55355986,Cell
B05_55365987,Cell
B05_55375988,nucleus
B05_55385989,Cytosol
B05_55395990,nucleus
B05_55405991,nucleus
B06_55185977,Nucleus
B06_55195978,Nucleus
B06_55205980,nucleus
B06_55215982,Nucleus
B06_55225983,nucleus
B06_55235979,Cell
B06_55345985,nucleus
B06_55355986,Nucleus
B06_55365987,Nucleus
B06_55375988,cytosol
B06_55385989,Cell
B06_55395990,nucleus
B06_55405991,nucleus
B06_75836284,Cell
B06_75846286,cytosol
B07_55185977,Nucleus
B07_55195978,Nucleus
B07_55205980,nucleus
B07_55215982,Nucleus
B07_55225983,Cell
B07_55235979,Cytosol
B07_55245981,Nucleus
B07_55335984,Cell
B07_55345985,Cell
B07_55355986,Cell
B07_55365987,cytosol
B07_55385989,Cell
B07_55395990,Cell
B07_55405991,nucleus
B07_75846286,Cell
B08_55185977,Cell
B08_55195978,Cell
B08_55205980,Nucleus
B08_55215982,Cell
B08_55225983,Cell
B08_55335984,Nucleus
B08_55345985,Cell
B08_55355986,Cell
B08_55385989,Nucleus
B08_55395990,nucleus
B08_55405991,Nucleus
B09_55185977,Cell
B09_55195978,nucleus
B09_55205980,nucleus
B09_55215982,nucleus
B09_55225983,Cell
B09_55235979,Nucleus
B09_55245981,Cell
B09_55335984,Cell
B09_55345985,Cell
B09_55355986,Cell
B09_55365987,Cell
B09_55375988,Cytosol
B09_55385989,Cell
B09_55395990,Nucleus
B09_55405991,Cell
B10_55185977,Cytosol
B10_55195978,Nucleus
B10_55205980,Cell
B10_55215982,Cell
B10_55225983,Nucleus
B10_55235979,Cell
B10_55245981,Cell
B10_55335984,Nucleus
B10_55345985,Cytosol
B10_55355986,Nucleus
B10_55365987,Cell
B10_55375988,nucleus
B10_55385989,Nucleus
B10_55395990,nucleus
B10_55405991,Cell
B10_75836284,nucleus
B11_55185977,Nucleus
B11_55195978,nucleus
B11_55205980,Cytosol
B11_55215982,Cell
B11_55225983,Cell
B11_55235979,nucleus
B11_55245981,Nucleus
B11_55335984,Cytosol
B11_55345985,Cell
B11_55355986,nucleus
B11_55365987,nucleus
B11_55375988,Cell
B11_55385989,Cytosol
B11_55395990,nucleus
B11_75836284,Nucleus
B12_55205980,Cell
B12_55215982,Cell
B12_55235979,Cytosol
B12_55245981,Nucleus
B12_55355986,Nucleus
B12_55365987,nucleus
B12_55375988,Cell
B12_55385989,nucleus
B12_75836284,Cell
C01_55185977,Cell
C01_55205980,nucleus
