well_plate,Compartments
H10_55245981,Nucleus
H10_55345985,Cell
H10_55355986,Nucleus
H10_55375988,Cell
H10_55385989,Cell
H10_55395990,Cell
H10_55405991,nucleus
H10_75836284,Nucleus
H11_55185977,Cell
H11_55195978,Cytosol
H11_55205980,Cell
H11_55215982,Nucleus
H11_55225983,Cell
H11_55235979,Cell
H11_55245981,Cell
H11_55335984,Cell
H11_55345985,Cell
H11_55375988,Cell
H11_55385989,Nucleus
H11_75836284,Cell
