well_plate,IF main antibody location,IF additional antibody location
A09_55225983,Cell Junctions,
B09_55225983,Nucleoli,Nucleus;Mitochondria
C09_55225983,Nucleoli;Mitochondria,Nucleus;Cytosol
D09_55225983,Nucleoplasm,
E09_55225983,Nucleus,Nucleoli;Plasma membrane
F09_55225983,Cytosol,Plasma membrane
G09_55225983,Nucleoplasm,Cytosol
H09_55225983,Intermediate filaments,Nucleoplasm
A10_55225983,Nucleoplasm,
B10_55225983,Nucleoplasm;Vesicles,
C10_55225983,Intermediate filaments,
D10_55225983,Nucleoplasm,Plasma membrane
E10_55225983,Nucleoli;Cytosol,Golgi apparatus
F10_55225983,Nucleoplasm;Plasma membrane,Cytosol
G10_55225983,Nucleoplasm,Cytosol
H10_55225983,Mitochondria,
A11_55225983,Plasma membrane,Nucleoplasm;Cytosol
B11_55225983,Nucleus,Mitochondria
C11_55225983,Nucleoplasm,Cytosol
D11_55225983,Mitochondria,
E11_55225983,Nucleus;Nucleoli,
F11_55225983,Plasma membrane;Cytosol,Nucleoplasm;Centrosome
G11_55225983,Nucleoli,Nucleus;Cytosol
H11_55225983,Plasma membrane;Cytosol,
A12_55225983,Nucleoplasm,Cytosol
B12_55225983,Golgi apparatus,
C12_55225983,Nucleus;Cytosol,Nucleoli
D12_55225983,Intermediate filaments,Cytosol
E12_55225983,Nucleoplasm,Plasma membrane;Cytosol
F12_55225983,Nuclear speckles,Cell Junctions
G12_55225983,Nucleoli;Cytosol,Nucleus
A01_55335984,Nucleus;Nucleoli,
B01_55335984,Nuclear membrane,Nucleoli;Cytosol
C01_55335984,Nucleus,Nucleoli fibrillar center;Cytosol
D01_55335984,Nucleus,
E01_55335984,Golgi apparatus;Vesicles,
F01_55335984,Nucleoplasm,Plasma membrane;Cytosol
G01_55335984,Nuclear speckles,Cytosol
H01_55335984,Mitochondria,
A02_55335984,Golgi apparatus,Nucleoli;Vesicles
B02_55335984,Nucleoli,
C02_55335984,Nucleoli,Nucleus
D02_55335984,Nuclear membrane,Nucleoplasm
E02_55335984,Nucleus,Cytosol
F02_55335984,Nucleoli,Nucleus
G02_55335984,Nucleoplasm,Plasma membrane;Cytosol
H02_55335984,Nucleus,
A03_55335984,Golgi apparatus,
B03_55335984,Cytosol,
C03_55335984,Actin filaments,
D03_55335984,Golgi apparatus,
E03_55335984,Vesicles,Nucleoplasm
F03_55335984,Nuclear speckles,Cytosol;Cytoplasmic bodies
G03_55335984,Actin filaments,Microtubule organizing center
H03_55335984,Nucleoplasm,
A04_55335984,Nucleoplasm,Plasma membrane;Focal adhesion sites
B04_55335984,Mitochondria,Nucleoplasm
C04_55335984,Nucleoplasm,
D04_55335984,Cytosol,
E04_55335984,Microtubules,
F04_55335984,Cell Junctions,
G04_55335984,Plasma membrane;Cytosol,
H04_55335984,Nucleoplasm,Nucleoli fibrillar center
A05_55335984,Nucleoplasm,Cytosol
B05_55335984,Nucleus,Midbody
C05_55335984,Nucleoplasm,
D05_55335984,Nucleus;Nucleoli,
E05_55335984,Intermediate filaments,Cytosol
F05_55335984,Nucleoplasm,Microtubules;Cytosol
G05_55335984,Nucleoplasm,
H05_55335984,Nucleus,
A06_55335984,Cytosol,Microtubule organizing center
B06_55335984,Nucleus,Microtubule organizing center
C06_55335984,Mitochondria,
D06_55335984,Nuclear speckles,
E06_55335984,Nucleus,
F06_55335984,Nucleus,Cytosol
G06_55335984,Nucleoli;Endoplasmic reticulum,
H06_55335984,Nucleoplasm;Mitochondria,
A07_55335984,Vesicles;Cytosol,
B07_55335984,Vesicles,Cytosol
C07_55335984,Plasma membrane;Cytosol,
D07_55335984,Endoplasmic reticulum,
E07_55335984,Nucleoplasm,
F07_55335984,Nucleus,
G07_55335984,Nucleus;Mitochondria,Vesicles;Cell Junctions;Cytosol
H07_55335984,Golgi apparatus,Cytosol
A08_55335984,Nucleoplasm,
B08_55335984,Nucleoplasm,Nuclear membrane;Nucleoli
C08_55335984,Actin filaments,
D08_55335984,Vesicles;Intermediate filaments,
E08_55335984,Nuclear speckles,Nuclear membrane
F08_55335984,Nucleoli,Nucleus
G08_55335984,Mitochondria,
H08_55335984,Cytosol,
A09_55335984,Nucleoplasm;Golgi apparatus,Nuclear bodies
B09_55335984,Vesicles,
C09_55335984,Nucleus,Nucleoli
D09_55335984,Mitochondria,
E09_55335984,Nucleus,
F09_55335984,Nucleoplasm,Golgi apparatus
G09_55335984,Nucleoplasm;Cytosol,
H09_55335984,Nucleoli,
A10_55335984,Nucleus;Nucleoli,
B10_55335984,Nucleoli,Nucleus
C10_55335984,Vesicles,
D10_55335984,Nucleus,Mitochondria;Cytosol
E10_55335984,Nucleoplasm;Intermediate filaments,
F10_55335984,Plasma membrane,Nuclear speckles;Cytosol
G10_55335984,Endoplasmic reticulum,
H10_55335984,Nucleoplasm;Cytosol,
A11_55335984,Cytosol,Nucleoli
B11_55335984,Cytosol,
C11_55335984,Nucleoplasm,
D11_55335984,Mitochondria,
E11_55335984,Mitochondria,
F11_55335984,Cytosol,
G11_55335984,Nucleoplasm,Cytosol
H11_55335984,Golgi apparatus,Nucleoli;Vesicles;Cytosol
A12_55335984,Endoplasmic reticulum,
B12_55335984,Golgi apparatus;Plasma membrane,
C12_55335984,Nucleus,
D12_55335984,Nuclear speckles,Cytosol
E12_55335984,Mitochondria,
F12_55335984,Plasma membrane,
G12_55335984,Intermediate filaments;Cytosol,
A01_55345985,Golgi apparatus,
B01_55345985,Nucleoplasm,Vesicles
C01_55345985,Nuclear speckles,Microtubules;Cytosol
D01_55345985,Cytosol,
E01_55345985,Nucleoplasm,Cytosol
F01_55345985,Cytosol,
G01_55345985,Nuclear bodies,Cytosol
H01_55345985,Cytosol,Nucleoplasm
A02_55345985,Mitochondria,Nuclear bodies
B02_55345985,Nucleoli;Mitochondria,Nucleus
C02_55345985,Nucleoli,Nucleus
D02_55345985,Nucleoli,Nucleus;Nuclear bodies
E02_55345985,Vesicles;Plasma membrane;Cytosol,
F02_55345985,Cytosol,
G02_55345985,Nuclear speckles,Cytosol
H02_55345985,Actin filaments,Mitochondria;Cytosol
A03_55345985,Nuclear membrane,
B03_55345985,Nucleoplasm,
C03_55345985,Nucleoplasm,
D03_55345985,Nucleus,Nucleoli
E03_55345985,Vesicles,
F03_55345985,Nucleoli,
G03_55345985,Nucleus,
H03_55345985,Nucleoplasm,
A04_55345985,Nucleoplasm,Vesicles
B04_55345985,Plasma membrane,
C04_55345985,Nucleoplasm;Vesicles,
D04_55345985,Mitochondria,Nucleoplasm;Nuclear speckles
E04_55345985,Vesicles,Golgi apparatus
F04_55345985,Nucleus,
G04_55345985,Cytosol,Nucleoplasm
H04_55345985,Nucleoplasm;Plasma membrane;Cytosol,
A05_55345985,Nucleus;Nucleoli,
B05_55345985,Vesicles,
C05_55345985,Nucleoli;Mitochondria,
D05_55345985,Nucleoli;Nucleoli fibrillar center,Cytosol
E05_55345985,Nucleus;Nuclear bodies,
F05_55345985,Nucleoplasm,Nucleoli;Cell Junctions
G05_55345985,Nucleus,Nuclear membrane;Nucleoli
H05_55345985,Nucleus,Nucleoli
A06_55345985,Nucleoplasm,
B06_55345985,Nucleoplasm;Nuclear bodies,Cytosol
C06_55345985,Cytosol,
D06_55345985,Nucleoplasm;Cytosol,
E06_55345985,Mitochondria,
F06_55345985,Nucleoplasm,
G06_55345985,Nucleus;Nucleoli,
H06_55345985,Nuclear bodies,
A07_55345985,Nucleus;Vesicles,
B07_55345985,Vesicles,
C07_55345985,Nucleoli;Plasma membrane,Nucleus
D07_55345985,Vesicles,
E07_55345985,Nucleoli,Plasma membrane
F07_55345985,Nucleoplasm,
G07_55345985,Golgi apparatus,
H07_55345985,Nucleoplasm,
A08_55345985,Mitochondria,
B08_55345985,Plasma membrane,Focal adhesion sites
C08_55345985,Nucleoplasm,Mitochondria
D08_55345985,Nucleoplasm;Nuclear bodies;Mitochondria,
E08_55345985,Cytosol,Nucleoli
F08_55345985,Nucleoli,Vesicles
G08_55345985,Nucleoli fibrillar center,Nucleus;Intermediate filaments
H08_55345985,Nuclear membrane;Cytosol,
A09_55345985,Nucleoplasm,
B09_55345985,Nucleus,Mitochondria
C09_55345985,Nucleoli,Nucleus
D09_55345985,Nucleoplasm,Nucleoli
E09_55345985,Nucleoplasm;Vesicles,
F09_55345985,Cytosol,
G09_55345985,Intermediate filaments,
H09_55345985,Microtubule organizing center,Nucleoplasm
A10_55345985,Nucleoplasm,Golgi apparatus;Cytosol
B10_55345985,Cytosol,
C10_55345985,Nuclear membrane;Intermediate filaments,Aggresome
D10_55345985,Nucleoplasm;Midbody,Cytosol
E10_55345985,Nucleoplasm,Vesicles
F10_55345985,Nuclear speckles,Cytosol
G10_55345985,Nuclear membrane,Nucleoplasm;Cytosol
H10_55345985,Vesicles;Cytokinetic bridge,
A11_55345985,Endoplasmic reticulum;Vesicles,
B11_55345985,Centrosome,Nucleoplasm;Plasma membrane;Cytosol
C11_55345985,Nucleoplasm,
D11_55345985,Golgi apparatus,
E11_55345985,Nucleoplasm,
F11_55345985,Nucleus,Nucleoli;Nuclear bodies;Cytosol
G11_55345985,Nucleoplasm,
H11_55345985,Actin filaments,
A12_55345985,Nucleoplasm;Cytosol,Plasma membrane
B12_55345985,Golgi apparatus,
C12_55345985,Golgi apparatus,Nucleus;Nucleoli
D12_55345985,Nucleoplasm,Nuclear bodies;Vesicles
E12_55345985,Nucleoplasm,Golgi apparatus
F12_55345985,Nuclear speckles,Mitochondria
G12_55345985,Golgi apparatus;Cytosol,
A01_55355986,Cytosol,Nucleus
B01_55355986,Nucleoplasm,
C01_55355986,Golgi apparatus,Nucleoplasm;Cytosol
D01_55355986,Nuclear speckles,Intermediate filaments
E01_55355986,Nucleus;Nuclear membrane;Nucleoli;Mitochondria,
F01_55355986,Vesicles;Cytosol,
G01_55355986,Focal adhesion sites,Cytosol
H01_55355986,Nucleoplasm;Cytosol,Golgi apparatus
A02_55355986,Nucleoplasm,
B02_55355986,Golgi apparatus,
C02_55355986,Nuclear bodies,
D02_55355986,Nucleoplasm,Golgi apparatus;Actin filaments
E02_55355986,Cytosol,Intermediate filaments
F02_55355986,Nucleoplasm,Golgi apparatus
G02_55355986,Nucleoplasm;Cytoplasmic bodies,Aggresome;Cytosol
H02_55355986,Nucleus,
A03_55355986,Mitochondria,
B03_55355986,Nucleoplasm,Cytosol
C03_55355986,Plasma membrane;Cell Junctions,Cytosol
D03_55355986,Nucleoplasm,Nuclear speckles
E03_55355986,Nuclear membrane,
F03_55355986,Nucleoli,Cytokinetic bridge
G03_55355986,Microtubule organizing center,Vesicles
H03_55355986,Nucleus,Nucleoli
A04_55355986,Nucleus;Vesicles,Cytosol
B04_55355986,Nucleus,
C04_55355986,Cytoplasmic bodies,Plasma membrane;Actin filaments
D04_55355986,Nucleoplasm,Cytosol
E04_55355986,Nucleoplasm,Nuclear bodies
F04_55355986,Mitochondria,Nucleoli;Intermediate filaments
G04_55355986,Cytosol,
H04_55355986,Cytosol,
A05_55355986,Nucleoli fibrillar center,Nucleus
B05_55355986,Endoplasmic reticulum,
C05_55355986,Nucleoplasm,
D05_55355986,Nucleoplasm;Nuclear bodies,
E05_55355986,Nucleoli,Vesicles;Cytosol
F05_55355986,Nucleus;Nucleoli,
G05_55355986,Nucleoplasm,Nuclear speckles;Mitochondria
H05_55355986,Nucleus,Nucleoli;Nuclear bodies
A06_55355986,Nucleoplasm,Cytosol
B06_55355986,Nucleus;Nucleoli,Vesicles
C06_55355986,Nuclear speckles,Nucleoplasm;Nuclear bodies
D06_55355986,Nuclear speckles,
E06_55355986,Mitochondria,
F06_55355986,Nucleus;Nucleoli,Golgi apparatus
G06_55355986,Golgi apparatus,Cytosol
H06_55355986,Nucleus,Nucleoli fibrillar center
A07_55355986,Cytosol,
B07_55355986,Nucleus,Cytosol
C07_55355986,Nuclear bodies,
D07_55355986,Mitochondria,
E07_55355986,Nucleoli,Nucleus
F07_55355986,Plasma membrane;Actin filaments,Nucleoli
G07_55355986,Nucleoplasm,Cytosol
H07_55355986,Nucleus;Nucleoli,
A08_55355986,Nucleus;Cytosol,
B08_55355986,Golgi apparatus,Nucleoplasm
C08_55355986,Nucleus;Nucleoli fibrillar center,Microtubules;Cytokinetic bridge
D08_55355986,Mitochondria,Nucleus
E08_55355986,Nucleoli,Vesicles
F08_55355986,Vesicles,Nucleoplasm;Cytosol
G08_55355986,Nucleoplasm,Cytosol
H08_55355986,Nucleoli;Nucleoli fibrillar center,Nucleus
A09_55355986,Cytosol,
B09_55355986,Plasma membrane,Cell Junctions;Focal adhesion sites
C09_55355986,Mitochondria,
D09_55355986,Nucleoplasm,Golgi apparatus
E09_55355986,Vesicles,
F09_55355986,Vesicles,
G09_55355986,Mitochondria,Nucleoplasm
H09_55355986,Vesicles,
A10_55355986,Nuclear bodies,Nucleus;Cytosol
B10_55355986,Nuclear bodies,Nucleoplasm;Golgi apparatus;Cytosol
C10_55355986,Nucleoplasm,
D10_55355986,Nuclear bodies,Nucleus;Vesicles
E10_55355986,Cytosol,Nucleus
F10_55355986,Nucleoli,Nucleus
G10_55355986,Golgi apparatus;Cytosol,
H10_55355986,Nucleoplasm,Nuclear bodies;Cytosol
A11_55355986,Cytosol,
B11_55355986,Nucleoplasm,Cytosol
C11_55355986,Nucleus,Nucleoli
D11_55355986,Nucleoplasm,Vesicles
E11_55355986,Cytosol,Aggresome
F11_55355986,Plasma membrane,Nucleoplasm
G11_55355986,Nucleoli,Cytosol
H11_55355986,Nucleoplasm,Cytosol
A12_55355986,Vesicles,
B12_55355986,Nucleoplasm,Nucleoli;Cytosol
C12_55355986,Nucleus,Cytosol
D12_55355986,Nucleoplasm,Cytosol
E12_55355986,Nucleoli,Cytosol
F12_55355986,Nuclear bodies,
G12_55355986,Nucleoplasm,Cytosol
A01_55365987,Cytosol,
B01_55365987,Nucleoplasm,
C01_55365987,Focal adhesion sites;Cytosol,Plasma membrane
D01_55365987,Vesicles,Cytosol
E01_55365987,Cytosol,Nuclear bodies;Centrosome
F01_55365987,Nuclear bodies,Nucleoplasm
G01_55365987,Nucleus;Nucleoli,Cytosol
H01_55365987,Nucleoplasm,Vesicles
A02_55365987,Nucleoplasm,
B02_55365987,Nucleus,Mitochondria
C02_55365987,Cytosol,
D02_55365987,Nucleoplasm,
E02_55365987,Nucleoplasm,
F02_55365987,Vesicles,
G02_55365987,Nucleus;Cytosol,Vesicles
H02_55365987,Golgi apparatus,Cytosol
A03_55365987,Nucleoli,Nucleus
B03_55365987,Nucleoli,Nucleus
C03_55365987,Vesicles;Intermediate filaments,Cytosol
D03_55365987,Nuclear bodies,Golgi apparatus;Vesicles
E03_55365987,Nucleoplasm,Plasma membrane;Microtubule organizing center
F03_55365987,Nucleoplasm,
G03_55365987,Mitochondria,
H03_55365987,Nucleoplasm,
A04_55365987,Nucleus,Cytosol
B04_55365987,Nucleoplasm;Nuclear bodies,
C04_55365987,Intermediate filaments,Nucleoplasm
D04_55365987,Nucleoplasm;Vesicles,
E04_55365987,Nucleoplasm,
F04_55365987,Nucleoplasm,Cytosol
G04_55365987,Intermediate filaments,
H04_55365987,Nucleus,
A05_55365987,Mitochondria,Cytosol
B05_55365987,Vesicles,
C05_55365987,Cytosol,
D05_55365987,Golgi apparatus,
E05_55365987,Mitochondria,Nuclear bodies
F05_55365987,Golgi apparatus,Nucleoplasm;Cytosol
G05_55365987,Microtubules,Vesicles
H05_55365987,Actin filaments,
A06_55365987,Microtubules,Nucleoli
B06_55365987,Nucleoplasm,
C06_55365987,Nuclear bodies,Nucleoplasm
D06_55365987,Nucleus;Nucleoli,Cytosol
E06_55365987,Nucleoplasm;Mitochondria,
F06_55365987,Cytosol,
G06_55365987,Nucleus,Cytokinetic bridge
H06_55365987,Nuclear bodies,
A07_55365987,Nucleoli,Nucleus
B07_55365987,Cytosol,
C07_55365987,Nucleoplasm,Cytosol
D07_55365987,Cytosol,
E07_55365987,Nucleoplasm,
F07_55365987,Nucleoplasm,
G07_55365987,Nucleoli fibrillar center,Nucleus;Microtubules
H07_55365987,Nucleus;Nuclear membrane,
A08_55365987,Vesicles,
B08_55365987,Golgi apparatus,
C08_55365987,Cytosol,Plasma membrane
D08_55365987,Nucleus,Cytosol
E08_55365987,Nuclear bodies,
F08_55365987,Nucleoplasm,
G08_55365987,Nucleoplasm,Cytosol
H08_55365987,Nucleoplasm,
A09_55365987,Nucleoplasm,
B09_55365987,Nucleus,Mitochondria;Rods & Rings
C09_55365987,Nucleoplasm,
D09_55365987,Nucleoplasm,
E09_55365987,Mitochondria,Nucleoplasm
F09_55365987,Nuclear speckles,Vesicles
G09_55365987,Nucleus;Nucleoli;Nuclear bodies,
H09_55365987,Mitochondria,Nucleus
A10_55365987,Vesicles,
B10_55365987,Nucleus;Cytosol,Mitochondria
C10_55365987,Intermediate filaments,
D10_55365987,Nucleoli,Cytosol
E10_55365987,Nucleoplasm,Cytosol
F10_55365987,Plasma membrane;Cytosol,Cytoplasmic bodies
G10_55365987,Mitochondria,
H10_55365987,Nucleoplasm;Nuclear membrane,
A11_55365987,Mitochondria,Nucleoplasm
B11_55365987,Nucleoli,
C11_55365987,Nucleoli,
D11_55365987,Cytosol,
E11_55365987,Nucleoli;Golgi apparatus;Cytosol,Nucleoplasm;Nuclear bodies
F11_55365987,Midbody ring,Intermediate filaments;Centrosome
G11_55365987,Nucleoplasm,Nuclear bodies;Focal adhesion sites;Cytosol
H11_55365987,Endoplasmic reticulum,
A12_55365987,Nucleoli;Golgi apparatus,
B12_55365987,Nucleus,Cytosol
C12_55365987,Nucleoplasm,
D12_55365987,Nucleoplasm;Vesicles,Plasma membrane
E12_55365987,Nucleus,Vesicles
F12_55365987,Nucleus;Microtubules,
G12_55365987,Nucleoplasm,Nuclear bodies;Cytosol
A01_55375988,Vesicles;Cytosol,
B01_55375988,Nucleoplasm,Endoplasmic reticulum;Vesicles
C01_55375988,Nucleus,Cytosol
D01_55375988,Golgi apparatus,Vesicles
E01_55375988,Nucleoplasm,Cytosol
F01_55375988,Cytosol,
G01_55375988,Nucleus;Vesicles,
H01_55375988,Nucleus;Golgi apparatus,Cytosol
A02_55375988,Nucleus,
B02_55375988,Nucleus;Nucleoli,Plasma membrane;Cytosol
C02_55375988,Endoplasmic reticulum;Cytosol,Nucleoli
D02_55375988,Nucleoplasm,Nuclear bodies;Intermediate filaments
E02_55375988,Nucleus;Nucleoli,
F02_55375988,Golgi apparatus,
G02_55375988,Mitochondria,
H02_55375988,Nucleoplasm,
A03_55375988,Nucleus,
B03_55375988,Nucleoplasm;Centrosome,
C03_55375988,Cytosol,
D03_55375988,Nucleus,
E03_55375988,Nucleoplasm,Intermediate filaments
F03_55375988,Cytosol,
G03_55375988,Nucleoplasm,
H03_55375988,Nucleus,Golgi apparatus;Cytosol
A04_55375988,Nuclear bodies,Nucleoli;Cytosol
B04_55375988,Nucleus;Nucleoli,
C04_55375988,Nucleus;Nucleoli,Golgi apparatus
D04_55375988,Mitochondria,Cytosol
E04_55375988,Nucleus,Plasma membrane;Cytosol
F04_55375988,Nucleus,
G04_55375988,Nucleus;Cytosol,
H04_55375988,Nucleoplasm;Cytosol,
A05_55375988,Nucleus,Golgi apparatus;Centrosome;Cytosol
B05_55375988,Nucleus,Nucleoli
C05_55375988,Nucleoplasm,
D05_55375988,Nucleoplasm;Nuclear bodies,
E05_55375988,Nucleoplasm,
F05_55375988,Microtubules,Nucleus;Cytosol
G05_55375988,Vesicles,
H05_55375988,Nucleus;Mitochondria,
A06_55375988,Nucleoli,Nucleus
B06_55375988,Cytosol,Plasma membrane
C06_55375988,Nucleoplasm,
D06_55375988,Nucleus;Nucleoli,
E06_55375988,Mitochondria,
F06_55375988,Nucleus,
G06_55375988,Golgi apparatus,
H06_55375988,Nucleus,
A07_55375988,Nucleoplasm,
B07_55375988,Plasma membrane,Aggresome
C07_55375988,Mitochondria,
D07_55375988,Vesicles,
E07_55375988,Nucleus,Cytosol
F07_55375988,Mitochondria,
G07_55375988,Nucleoplasm,
H07_55375988,Nucleus,
A08_55375988,Golgi apparatus,
B08_55375988,Nucleoplasm;Cytosol,
C08_55375988,Cytosol,
D08_55375988,Nucleus;Nucleoli,
E08_55375988,Nucleoplasm,
F08_55375988,Nucleus;Cytosol,
G08_55375988,Plasma membrane;Cytosol,Nuclear membrane;Vesicles
H08_55375988,Nuclear speckles,Cytosol
A09_55375988,Cytosol,Nucleus
B09_55375988,Focal adhesion sites,Nuclear speckles;Cytosol
C09_55375988,Vesicles;Cytosol,
D09_55375988,Vesicles,Nucleus
E09_55375988,Nucleoplasm,
F09_55375988,Nucleus,
G09_55375988,Nucleoplasm;Nuclear bodies,Vesicles
H09_55375988,Golgi apparatus,Nucleoli
A10_55375988,Nucleus;Nuclear bodies,
B10_55375988,Nucleus,Nucleoli;Cytosol
C10_55375988,Nucleoplasm,Golgi apparatus
D10_55375988,Nucleus;Nucleoli;Nuclear bodies,Cytosol
E10_55375988,Nucleoplasm,
F10_55375988,Nucleus,Cytokinetic bridge
G10_55375988,Nucleus,Cytosol
H10_55375988,Nucleoplasm;Mitochondria,
A11_55375988,Nucleus;Midbody,
B11_55375988,Vesicles,Nuclear bodies
C11_55375988,Nucleus,
D11_55375988,Nucleoplasm;Centrosome,Cytosol
E11_55375988,Actin filaments,
F11_55375988,Mitochondria,
G11_55375988,Nucleus,Nucleoli
H11_55375988,Nucleoli,Nucleus;Cytosol
A12_55375988,Vesicles,Nucleus
B12_55375988,Nucleus;Cytosol,Nucleoli
C12_55375988,Nucleus,
D12_55375988,Nucleoplasm,
E12_55375988,Midbody;Mitotic spindle,Nucleus
F12_55375988,Nucleoli,Vesicles;Mitochondria
G12_55375988,Lipid droplets,Nucleoplasm
A01_55385989,Vesicles,
B01_55385989,Cytosol,
C01_55385989,Golgi apparatus,Nucleus;Nuclear speckles
D01_55385989,Nucleus,Nucleoli
E01_55385989,Mitochondria,
F01_55385989,Mitochondria,
G01_55385989,Nucleus,
H01_55385989,Nucleus,
A02_55385989,Nucleoplasm,
B02_55385989,Nucleus,Golgi apparatus;Vesicles
C02_55385989,Nucleoplasm,
D02_55385989,Cytosol,Nuclear bodies
E02_55385989,Nucleus,
F02_55385989,Centrosome,Nucleoplasm
G02_55385989,Mitochondria,Nucleoplasm
H02_55385989,Nucleoplasm,Cell Junctions
A03_55385989,Centrosome,
B03_55385989,Nucleoplasm,
C03_55385989,Endoplasmic reticulum,
D03_55385989,Mitochondria,
E03_55385989,Nucleus,
F03_55385989,Nuclear bodies,Nucleoplasm;Aggresome
G03_55385989,Nucleoplasm,Cytosol
H03_55385989,Nucleus,Nucleoli
A04_55385989,Centrosome,
B04_55385989,Nucleus,Nuclear membrane
C04_55385989,Nucleus,Nucleoli;Nuclear bodies;Cytosol
D04_55385989,Plasma membrane;Cytosol,
E04_55385989,Nucleus;Nucleoli,Cytosol
F04_55385989,Nucleus;Nuclear membrane,
G04_55385989,Nucleoplasm,
H04_55385989,Golgi apparatus,Vesicles
A05_55385989,Nucleoplasm,Cytosol
B05_55385989,Vesicles;Cytosol,
C05_55385989,Mitochondria,
D05_55385989,Nucleoplasm,Nucleoli;Midbody
E05_55385989,Endoplasmic reticulum;Cytosol,
F05_55385989,Nucleoplasm,
G05_55385989,Golgi apparatus;Vesicles,Nucleoplasm
H05_55385989,Intermediate filaments,
A06_55385989,Nucleoplasm,
B06_55385989,Microtubules,Nucleoplasm;Cytokinetic bridge
C06_55385989,Nucleoplasm,Nuclear bodies
D06_55385989,Cytosol,Vesicles
E06_55385989,Plasma membrane;Actin filaments;Focal adhesion sites,
F06_55385989,Nucleoli;Cytosol,Nucleus
G06_55385989,Vesicles,Cytosol
H06_55385989,Cytosol,
A07_55385989,Nuclear bodies,Nucleoplasm;Cytosol
B07_55385989,Vesicles;Mitochondria,
C07_55385989,Vesicles,Mitochondria
D07_55385989,Nucleoli,Cytosol
E07_55385989,Nucleoli,Nucleus;Cytosol
F07_55385989,Nucleus,Nucleoli
G07_55385989,Nucleoplasm,
H07_55385989,Nucleus,
A08_55385989,Nucleoplasm,
B08_55385989,Nucleus,Nucleoli;Nucleoli fibrillar center
C08_55385989,Vesicles,
D08_55385989,Nucleus,
E08_55385989,Nuclear speckles,Cytosol
F08_55385989,Nucleoplasm,Nuclear speckles;Cytosol
G08_55385989,Nucleus;Nuclear membrane;Vesicles,
H08_55385989,Nucleus,Nucleoli
A09_55385989,Nucleus,
B09_55385989,Nucleoplasm,Vesicles
C09_55385989,Mitochondria,
D09_55385989,Nucleoplasm,Cytosol;Cytoplasmic bodies
E09_55385989,Actin filaments;Cytosol,
F09_55385989,Mitochondria,
G09_55385989,Mitochondria,
H09_55385989,Nucleoplasm,Mitochondria
A10_55385989,Cytosol,
B10_55385989,Nucleoplasm,
C10_55385989,Lipid droplets;Mitochondria,Nucleoplasm
D10_55385989,Nuclear membrane,Nucleus
E10_55385989,Cytosol,
F10_55385989,Nucleus,Nuclear membrane
G10_55385989,Intermediate filaments,
H10_55385989,Golgi apparatus,
A11_55385989,Nucleoplasm,Centrosome
B11_55385989,Cytosol,
C11_55385989,Nuclear speckles,
D11_55385989,Mitochondria,
E11_55385989,Nucleoplasm,Midbody
F11_55385989,Nucleoplasm,Nuclear bodies;Vesicles
G11_55385989,Nucleoplasm,Plasma membrane
H11_55385989,Nuclear bodies,
A12_55385989,Mitochondria,Nucleus;Cytokinetic bridge
B12_55385989,Nucleoplasm;Golgi apparatus,Vesicles
C12_55385989,Intermediate filaments,
D12_55385989,Golgi apparatus,Nucleus;Cell Junctions
E12_55385989,Endoplasmic reticulum,
F12_55385989,Nucleoplasm,Nuclear membrane;Nucleoli
G12_55385989,Nucleoplasm,
A01_55395990,Nucleus;Mitochondria,
B01_55395990,Nucleus,Nucleoli
C01_55395990,Nucleoplasm,
D01_55395990,Vesicles,
E01_55395990,Nuclear bodies,
F01_55395990,Nuclear speckles,Cytosol
G01_55395990,Nucleoplasm,
H01_55395990,Cytosol,Nucleus
A02_55395990,Vesicles,
B02_55395990,Nucleus;Nucleoli,Plasma membrane
C02_55395990,Nucleoplasm,
D02_55395990,Nucleus,
E02_55395990,Nucleoli,
F02_55395990,Nucleoplasm,Nucleoli
G02_55395990,Nucleoplasm,
H02_55395990,Nucleoplasm;Cytosol,
A03_55395990,Vesicles,Nucleoplasm;Cytosol
B03_55395990,Nucleoli,
C03_55395990,Nucleoplasm,
D03_55395990,Nucleoplasm;Golgi apparatus;Cytosol,
E03_55395990,Cell Junctions,Microtubule organizing center;Centrosome;Cytosol
F03_55395990,Nucleus;Vesicles,Cytosol
G03_55395990,Vesicles,Nucleus;Cytosol
H03_55395990,Golgi apparatus,Nucleoplasm
A04_55395990,Nucleus,Nucleoli
B04_55395990,Nucleoplasm,Nuclear membrane;Vesicles
C04_55395990,Nucleus,Mitochondria
D04_55395990,Plasma membrane,Nucleus
E04_55395990,Nucleus,Nucleoli;Nucleoli fibrillar center;Vesicles;Cytosol
F04_55395990,Nucleus;Nucleoli,
G04_55395990,Nucleus,Microtubule organizing center
H04_55395990,Vesicles,
A05_55395990,Nucleus,
B05_55395990,Nucleus,
C05_55395990,Nucleoli;Microtubules,
D05_55395990,Nucleoplasm;Mitochondria,
E05_55395990,Nucleus,Nucleoli
F05_55395990,Plasma membrane;Actin filaments,
G05_55395990,Golgi apparatus;Cytosol,
H05_55395990,Nucleoplasm,Endoplasmic reticulum;Plasma membrane;Cytosol
A06_55395990,Vesicles,Nucleus
B06_55395990,Nucleoli,Nucleus;Nuclear bodies
C06_55395990,Nuclear bodies,Nucleus;Midbody;Cytosol
D06_55395990,Nucleoplasm,Cytosol
E06_55395990,Cytosol,Plasma membrane
F06_55395990,Nucleus,Nucleoli;Cytosol
