well_plate,IF main antibody location,IF additional antibody location
B07_55245981,Nucleus;Nuclear membrane,
C07_55245981,Mitochondria,
D07_55245981,Nucleus;Nucleoli,
E07_55245981,Nucleus,Nucleoli;Cytosol
F07_55245981,Nucleoplasm;Cytoplasmic bodies,
G07_55245981,Vesicles,
H07_55245981,Cytosol,Vesicles
A08_55245981,Plasma membrane;Cytosol,
B08_55245981,Plasma membrane;Cytosol,
C08_55245981,Mitochondria,
D08_55245981,Plasma membrane;Microtubules,Nucleoplasm
E08_55245981,Nucleoplasm,
F08_55245981,Plasma membrane;Cytosol,
G08_55245981,Nuclear bodies;Endoplasmic reticulum;Cytosol,Nucleoli
H08_55245981,Centrosome,Nucleoplasm;Mitochondria
A09_55245981,Plasma membrane;Cytosol,Nucleoplasm
B09_55245981,Focal adhesion sites,
C09_55245981,Nucleus,Nuclear bodies
D09_55245981,Nucleus,Nuclear bodies
E09_55245981,Nucleoli,Cytosol
F09_55245981,Cytosol,Nucleus;Nuclear bodies;Mitotic spindle
G09_55245981,Vesicles,
H09_55245981,Nucleoli,Cytosol
A10_55245981,Nucleoplasm,Cell Junctions;Centrosome
B10_55245981,Nucleoplasm,Nucleoli;Vesicles
C10_55245981,Nuclear bodies,Nucleoplasm;Cytosol
D10_55245981,Intermediate filaments,
E10_55245981,Nuclear membrane,
F10_55245981,Nucleus,Nuclear bodies;Cytosol
G10_55245981,Nuclear speckles,Cytoplasmic bodies
H10_55245981,Nucleus,Nucleoli
A11_55245981,Mitochondria,
B11_55245981,Nuclear bodies,Nucleoplasm
C11_55245981,Plasma membrane,
D11_55245981,Cytosol,
E11_55245981,Nucleoplasm,Cytokinetic bridge;Mitotic spindle
F11_55245981,Nucleoplasm,
G11_55245981,Plasma membrane;Actin filaments;Cytosol,
H11_55245981,Vesicles;Cytosol,
A12_55245981,Cytosol,
B12_55245981,Nucleus,
C12_55245981,Vesicles,Microtubules
D12_55245981,Nucleoplasm,Cytosol
E12_55245981,Cytosol,
F12_55245981,Mitochondria,
G12_55245981,Mitochondria,Cytosol
A01_55215982,Nucleus,Vesicles;Cytosol
B01_55215982,Nucleus;Nucleoli,Cytosol
C01_55215982,Vesicles,
D01_55215982,Mitochondria,Nucleoplasm
E01_55215982,Nuclear membrane,Nucleus
F01_55215982,Mitochondria,
G01_55215982,Cytosol,
H01_55215982,Nucleoplasm,
A02_55215982,Mitochondria;Cytosol,
B02_55215982,Nucleus;Nucleoli,
C02_55215982,Nucleus,Nuclear membrane;Nucleoli fibrillar center
D02_55215982,Nucleoplasm,
E02_55215982,Vesicles,Plasma membrane
F02_55215982,Nucleus,Nuclear bodies;Actin filaments
G02_55215982,Nucleoli,Nuclear bodies
H02_55215982,Mitochondria,Nucleoplasm
A03_55215982,Nucleus,Nucleoli
B03_55215982,Cytosol,
C03_55215982,Nucleus,
D03_55215982,Nucleus;Plasma membrane,Nuclear membrane;Nuclear bodies
E03_55215982,Mitochondria,
F03_55215982,Cytosol,
G03_55215982,Nucleoli,
H03_55215982,Mitochondria,
A04_55215982,Nucleoplasm;Golgi apparatus,
B04_55215982,Mitochondria,Nucleoplasm
C04_55215982,Mitochondria,Nucleoplasm
D04_55215982,Nucleus;Nucleoli,Nuclear bodies
E04_55215982,Aggresome,Intermediate filaments
F04_55215982,Nucleoplasm;Cell Junctions,
G04_55215982,Nucleoplasm;Cytosol,
H04_55215982,Nucleus,Nucleoli
A05_55215982,Nuclear bodies;Cytosol,Nucleus
B05_55215982,Nucleoplasm,Midbody
C05_55215982,Mitochondria,
